Date Time,Elapsed,UT,UT,UT,E,E,E,E,R,R,R,R,C,C,C,C,X,X,X,T,T,T,D,D,D,ER,ER,ER,EC,EC,EC,EX,EX,EX,ET,ET,ED,ED,ED,
1/20/23 9:31,232,0.3436848,0.3144474,0.2841222,0.4008331,0.3253849,0.4527706,0.3662544,0.1717721,0.2057818,0.2192698,0.2271184,0.03346551,0.01769302,0.02304412,0.02258227,0.1040717,0.0975751,0.0848266,0.2920821,0.2567616,0.2867139,0.05738094,0.03279841,0.04540525,0.6263516,0.5652066,0.5836378,0.06042931,0.01309605,0.008600581,0.07796944,0.129637,0.1161269,0.790586,0.763525,0.01942851,0.02673787,0.004926302,
1/20/23 13:31,236,0.3454829,0.3237308,0.2952554,0.4086815,0.3013425,0.4720957,0.3756996,0.1629876,0.2025405,0.2183295,0.2303607,0.03262023,0.01793768,0.02386729,0.02222791,0.1081901,0.09954363,0.08729902,0.2855877,0.2607445,0.278948,0.04937509,0.03738333,0.03819298,0.5913981,0.5777645,0.5613054,0.05382307,0.01386998,0.007124706,0.08956964,0.119613,0.1262218,0.8042029,0.7749341,0.02253299,0.01524829,0.01436515,
1/20/23 17:31,240,0.3597192,0.3296617,0.3047222,0.4317683,0.2957169,0.4454267,0.3493218,0.161946,0.2082124,0.2234519,0.2344521,0.03177251,0.01811383,0.02377619,0.02191412,0.1158894,0.1024213,0.09113612,0.2919683,0.258736,0.2749807,0.04969897,0.03355626,0.02781244,0.6284187,0.5772237,0.5428237,0.05372723,0.01359376,0.005380965,0.0905332,0.117489,0.1135108,0.8359683,0.8133695,0.02703823,0.0489232,0.006863841,
1/20/23 21:31,244,0.364284,0.3369541,0.3120947,0.4084857,0.276363,0.4155858,0.3406866,0.1622306,0.2134503,0.2287058,0.243273,0.03264409,0.01813516,0.02510188,0.02220073,0.1192198,0.1109292,0.09680492,0.2785378,0.2548371,0.2813229,0.0466148,0.03637969,0.02499848,0.6892685,0.5680854,0.5575658,0.04885081,0.01628346,0.00456225,0.08629962,0.1443024,0.112768,0.8172098,0.7643254,0.03748756,0.02559281,0.005302784,
1/21/23 1:31,248,0.3687315,0.347458,0.3187729,0.4058557,0.2620692,0.4155934,0.335325,0.170399,0.2220305,0.2345273,0.246627,0.03420381,0.01894712,0.02387844,0.02271661,0.1219467,0.1171468,0.1036599,0.2805517,0.2533468,0.2827143,0.04243074,0.03930519,0.01822536,0.6487523,0.6226695,0.5334111,0.04921046,0.01295372,0.004147369,0.08210455,0.1380171,0.100556,0.8095,0.7546968,0.04078073,0.005770338,0,
1/21/23 5:31,252,0.3737041,0.3491271,0.3194751,0.4167182,0.2527831,0.4145514,0.3224877,0.1756186,0.2288253,0.2388737,0.2639737,0.0349102,0.01877839,0.02447511,0.02184775,0.1268004,0.1203551,0.1108395,0.2748533,0.2496166,0.2885578,0.04170642,0.02836213,0.01720575,0.6044911,0.528627,0.5397196,0.04840568,0.01307756,0.003977098,0.09088536,0.1486864,0.1064422,0.8217214,0.7474173,0.03443534,0.01839148,0.00478121,
1/21/23 9:31,256,0.380142,0.3537461,0.3179531,0.4104244,0.2563466,0.3780258,0.3183275,0.1811398,0.2348076,0.2427112,0.2678707,0.03532454,0.01740619,0.02423412,0.0216929,0.1306618,0.1244576,0.1154279,0.2824033,0.2516776,0.2896841,0.04576925,0.0240526,0.01674365,0.5897725,0.5218762,0.4998098,0.04966771,0.01239369,0.003757489,0.0773533,0.1333771,0.1116509,0.8603038,0.7655626,0.02675164,0.01612082,0.002642594,
1/21/23 13:31,260,0.381521,0.3571082,0.3176213,0.390274,0.2557361,0.3794055,0.3208024,0.1859054,0.241266,0.2491403,0.2690511,0.03707198,0.0179542,0.02409312,0.02276736,0.1302293,0.1281813,0.1194707,0.2760742,0.2558444,0.29841,0.04297179,0.01943531,0.0151869,0.6068466,0.5396135,0.5023512,0.05051301,0.0117323,0.003612091,0.09827846,0.1375172,0.1160931,0.794257,0.7611364,0.04482901,0.006364726,0.01677738,
1/21/23 17:31,264,0.3783076,0.3518815,0.3176497,0.4041106,0.2470861,0.3751455,0.3198904,0.1878907,0.2484611,0.2525948,0.2737845,0.03785802,0.01804328,0.02377361,0.02216139,0.1312818,0.1344717,0.1278892,0.2772005,0.258722,0.310591,0.04338927,0.0187694,0.0149431,0.5880516,0.5386374,0.4977903,0.04827285,0.01293225,0.003289498,0.07280557,0.1311485,0.1113089,0.7848584,0.7940408,0.03618645,0.004618209,0.03183923,
1/21/23 21:31,268,0.3756666,0.3504985,0.3177958,0.4237235,0.2560618,0.3661237,0.2928813,0.1950012,0.2486054,0.2585621,0.2798314,0.03908446,0.01645089,0.02402245,0.02142711,0.1329829,0.1382372,0.1310254,0.2740512,0.2618997,0.307781,0.04299163,0.01667545,0.01547982,0.5684301,0.5288903,0.4835161,0.04679196,0.01274758,0.003907824,0.07918946,0.1205911,0.104306,0.8450694,0.7889251,0.04095204,0.0119788,0.01755883,
1/22/23 1:31,272,0.371891,0.3403902,0.312885,0.4244651,0.2505369,0.3473139,0.2860605,0.2026954,0.2508268,0.2622,0.2823019,0.04015928,0.01725757,0.02361969,0.02144453,0.1323297,0.1411369,0.1329896,0.2751042,0.2716765,0.3155548,0.04774647,0.01421285,0.01522694,0.5628198,0.5372487,0.4893951,0.04760025,0.01345719,0.004835152,0.07947342,0.1338281,0.1066777,0.8055906,0.7449956,0.04639373,0.01089249,0.01089249,
1/22/23 5:31,276,0.3611509,0.3392277,0.3072159,0.429022,0.2592967,0.3515341,0.2688469,0.209245,0.2532931,0.2652497,0.2832169,0.04200991,0.01687185,0.02350545,0.02102185,0.1332015,0.1405731,0.134784,0.27612,0.2760098,0.3187292,0.04670234,0.0132547,0.01731266,0.5712022,0.5189533,0.4506608,0.04681823,0.013289,0.004094329,0.08499178,0.1236813,0.1133834,0.8439221,0.7600253,0.05257766,0.00785639,0.02133745,
1/22/23 9:31,280,0.350923,0.3272683,0.3007599,0.4421726,0.2577216,0.3530208,0.266664,0.2135462,0.2564273,0.2655285,0.2869959,0.04101464,0.01650321,0.02206891,0.02172225,0.128356,0.1374774,0.1333523,0.2823173,0.2822941,0.3325448,0.04025991,0.01208167,0.01647305,0.5801832,0.5440173,0.4582798,0.04746151,0.0140026,0.004113601,0.09090392,0.1263726,0.1206588,0.8261042,0.7519701,0.05203653,0.01214674,0.03844894,
1/22/23 13:31,284,0.3380865,0.322871,0.2898807,0.4668018,0.2500761,0.3737683,0.252056,0.2175213,0.254757,0.2630164,0.281479,0.03981892,0.01571913,0.0211452,0.02174395,0.1242618,0.1340735,0.1307709,0.2912222,0.2915744,0.3392905,0.04005381,0.01188613,0.0158814,0.5803905,0.548731,0.4429993,0.04554304,0.01497151,0.004040521,0.08447019,0.1298075,0.1197819,0.8557047,0.7502874,0.06062823,0.007534351,0.02987517,
1/22/23 17:31,288,0.3294403,0.3140343,0.2895273,0.4745319,0.2404141,0.3518661,0.2496284,0.2209916,0.2534197,0.2591365,0.2781135,0.03843835,0.01567926,0.02002897,0.02101038,0.1218017,0.1301714,0.1279959,0.2974324,0.2962025,0.346352,0.03426054,0.01127197,0.01396234,0.6001495,0.5539229,0.4439193,0.04504384,0.01411198,0.00409,0.09368134,0.1185027,0.1101768,0.845464,0.7622105,0.01455563,0.01455563,0.04214672,
1/22/23 21:31,292,0.3278241,0.3063023,0.2842221,0.4772591,0.2452689,0.3421059,0.2399394,0.2235786,0.2500366,0.2564457,0.2733872,0.03868192,0.01484347,0.018686,0.02061068,0.1185042,0.1283699,0.1239223,0.3019709,0.3018199,0.3515829,0.03400885,0.00928444,0.01290668,0.5731804,0.5750095,0.3970491,0.04924393,0.01542361,0.003865664,0.05252347,0.1152137,0.1249174,0.849921,0.7706679,0.01427551,0.01427551,0.02054804,
1/23/23 1:31,296,0.3231648,0.3060159,0.2821278,0.4840444,0.2529637,0.3390565,0.2367381,0.2281174,0.2450243,0.2536606,0.2690668,0.03802597,0.01411948,0.0181499,0.01996093,0.1155356,0.1255342,0.1225639,0.3110901,0.3019973,0.3598237,0.0327093,0.01165444,0.008470655,0.5953113,0.5287708,0.4064523,0.04862837,0.01707798,0.004235984,0.05930094,0.1374321,0.1197925,0.8704821,0.7985913,0.0210162,0.0210162,0.02187046,
