Elapsed,CALU6 WT-5uME,CALU6 WT-5uME,CALU6 WT-5uME,CALU6 WT-5uMAE,CALU6 WT-5uMAE,CALU6 WT-5uMAE,CALU6 WT-E,CALU6 WT-E,CALU6 WT-E,CALU6 WT-E,CALU6 WT-E,CALU6 WT-AE,CALU6 WT-AE,CALU6 WT-AE,CALU6 WT-AE,CALU6 WT-UT,CALU6 WT-UT,CALU6 WT-UT,CALU6 WT-UT,CALU6 WT-UT,CALU6 WT-UT,HCC4006 WT-50nME,HCC4006 WT-50nME,HCC4006 WT-50nME,HCC4006 WT-50nME,HCC4006 WT-50nMAE,HCC4006 WT-50nMAE,HCC4006 WT-50nMAE,HCC4006 WT-50nMAE,HCC4006 WT-E,HCC4006 WT-E,HCC4006 WT-E,HCC4006 WT-E,HCC4006 WT-E,HCC4006 WT-AE,HCC4006 WT-AE,HCC4006 WT-AE,HCC4006 WT-AE,HCC4006 WT-UT,HCC4006 WT-UT,HCC4006 WT-UT,HCC4006 WT-UT,HCC4006 WT-UT,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-AE,PC9 KO-AE,PC9 KO-AE,PC9 KO-AE,PC9 KO-AE,PC9 KO-AE,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-AE,PC9 WT-AE,PC9 WT-AE,PC9 WT-AE,PC9 WT-AE,PC9 WT-AE,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT
20,0.1474234,0.2601549,0.2201875,0.2728741,0.2237387,0.1995977,0.2129999,0.2313702,0.1357285,0.09888548,0.3358214,0.2289288,0.3010954,0.220068,0.106756,0.1692765,0.2062049,0.1137047,0.1367358,0.08413461,0.1857688,0.3666548,0.5458677,0.6048712,0.4299094,0.3162048,0.3503503,0.7304755,0.3321508,0.6473312,0.6050078,0.3775814,0.3303752,0.6702087,0.9035934,0.854936,0.3420871,0.5541992,0.1670229,0.3320995,0.2632792,0.4424238,0.2971686,0.09309782,0.2400431,0.1059707,0.1160095,0.1946979,0.2209729,0.07769818,0.152733,0.2320702,0.1265434,0.08681504,0.0739251,0.2048732,0.05850838,0.2548794,0.2716448,0.05082564,0.1728618,0.1551232,0.1000806,0.01085828,0.03694548,0.01596304,0.09502704,0.02453357,0.1296848,0.1058341,0.1055097,0.1058341,0.1650083,0.02253606,0.02074341,0.0367406,0.1861786,0.09806599,0.05680111,0.06578138,0.1318189,0.07226904,0.07098858,0.04811106,0.07660552,0.03431627,0.04152098,0.05188415,0.02574574,0.07940545,0.009202223
22,0.1514184,0.2665059,0.1918296,0.28293,0.1810738,0.223107,0.1575817,0.2467698,0.124102,0.09390024,0.3457407,0.2208875,0.3111683,0.2633134,0.1068243,0.1853249,0.2128462,0.1105633,0.1326384,0.07452264,0.1838225,0.4081587,0.5461579,0.6241805,0.4383263,0.2931395,0.3778887,0.7456361,0.3757717,0.6274585,0.6314193,0.3925713,0.335736,0.6136978,0.8744673,0.9463266,0.3825837,0.4907397,0.2086975,0.3914274,0.3699499,0.4899202,0.3335166,0.09082714,0.2461723,0.128797,0.1335091,0.2112414,0.2315751,0.08589311,0.1652473,0.2134267,0.1376577,0.1101023,0.07998592,0.2083732,0.06719843,0.2649182,0.1624815,0.03668938,0.1752008,0.1561988,0.09629042,0.0122241,0.04705255,0.01577524,0.0985611,0.02198973,0.1216606,0.1380333,0.1578207,0.09757088,0.1523403,0.03233583,0.03846495,0.02825543,0.1841298,0.1655717,0.05591333,0.07341291,0.1184167,0.09116859,0.06651551,0.05779133,0.07742501,0.03472602,0.02258728,0.06801791,0.02429455,0.07800549,0.009458315
24,0.162362,0.2453016,0.1685765,0.2588915,0.1542183,0.2098073,0.1915736,0.274718,0.1168631,0.07957618,0.2995247,0.2070415,0.3130292,0.2683498,0.1096584,0.2157827,0.222185,0.1242727,0.1322628,0.0873955,0.2250874,0.3672523,0.5271901,0.6166855,0.4064514,0.2620499,0.4014491,0.6926423,0.3701547,0.6403996,0.6433532,0.4257778,0.3833008,0.6617576,0.8587774,0.8415681,0.3852471,0.4529748,0.1937759,0.3823276,0.3649134,0.5300754,0.4554674,0.08981985,0.2535477,0.1719057,0.1479014,0.2355189,0.2505258,0.1103584,0.1850176,0.1821153,0.1666132,0.120824,0.07896157,0.2054366,0.07088614,0.2647304,0.1635401,0.03132854,0.118468,0.158606,0.09002472,0.01038024,0.05632307,0.01574109,0.09470266,0.04054783,0.1093852,0.1360529,0.1427625,0.09733186,0.1509404,0.04944274,0.03930152,0.03378701,0.2255484,0.1640864,0.06571309,0.08205174,0.139126,0.1017025,0.06018152,0.06340827,0.0696569,0.05174756,0.02675303,0.07819329,0.006760817,0.06374972,0.01029488
26,0.1769763,0.2487332,0.1604499,0.2531209,0.1482087,0.2328555,0.1754057,0.3028539,0.1155144,0.07829572,0.4047441,0.2105756,0.2875566,0.294676,0.1488916,0.3036904,0.2094658,0.1060731,0.1383748,0.09057105,0.2262484,0.3775985,0.5727573,0.5481896,0.4275022,0.251738,0.3981028,0.725422,0.4326923,0.6881863,0.6991299,0.387347,0.3883714,0.6410825,0.8401681,0.9385414,0.3780082,0.4542211,0.2337604,0.3829081,0.3469016,0.5404727,0.4411945,0.09352463,0.255255,0.2093292,0.1490624,0.2653279,0.270262,0.1147632,0.2033879,0.1866395,0.1844713,0.1244776,0.09886841,0.2189071,0.07484702,0.2840056,0.2251045,0.02398724,0.1283189,0.1543549,0.08056641,0,0.0555548,0.02786276,0.09178321,0.03223339,0.1096925,0.1350115,0.1500867,0.109556,0.1529208,0.06540578,0.0514744,0.03148219,0.2229021,0.1592889,0.08655895,0.08464679,0.1065512,0.1032903,0.06108637,0.07428362,0.05826937,0.05750109,0.01854103,0.08403218,0.00677789,0.06417655,0.01437527
28,0.1576841,0.2505941,0.2007587,0.2366457,0.1303165,0.2337945,0.1802885,0.2777227,0.1151217,0.0903491,0.4139805,0.2002807,0.302649,0.3061148,0.1538939,0.3672182,0.2252069,0.09420754,0.1514013,0.09243198,0.2464113,0.3926908,0.5525602,0.5176976,0.4283558,0.3380067,0.4416726,0.7170564,0.4556722,0.6625601,0.6769865,0.4332215,0.4002882,0.5988274,0.8369755,0.7340096,0.4184877,0.601081,0.1926833,0.3312288,0.3482162,0.5534139,0.4695012,0.1110242,0.283647,0.1931784,0.1581451,0.2601719,0.3026149,0.1467405,0.2775179,0.2232094,0.1393309,0.1241361,0.1182972,0.1823201,0.08370779,0.3035197,0.2656182,0.03725278,0.1060902,0.1517428,0.08099323,0,0.04442335,0.02412383,0.09021252,0.03976248,0.1051683,0.1465527,0.1486526,0.1255361,0.1838908,0.09946595,0.04237461,0.05581088,0.2168071,0.1896273,0.1029659,0.08555165,0.1264239,0.1088389,0.06501311,0.06673746,0.06829108,0.07605919,0.01813128,0.08249563,0.007119345,0.06605455,0.01179728
30,0.1610304,0.2512258,0.2218606,0.2552891,0.1117754,0.2649523,0.1927516,0.2793447,0.111912,0.0746763,0.4237632,0.2338116,0.2911078,0.3095976,0.1503599,0.3856056,0.2159705,0.1220191,0.1966271,0.1025049,0.2272044,0.3745424,0.6087809,0.5066174,0.4624843,0.3369141,0.4430213,0.7103297,0.5041589,0.6807255,0.6652576,0.4301826,0.4128367,0.5985543,0.7948057,0.7843913,0.4364483,0.4378824,0.1922223,0.3021197,0.3446822,0.5559235,0.4671622,0.1062609,0.287181,0.1903785,0.1720082,0.2868055,0.3471236,0.1479185,0.2751277,0.2412041,0.1667327,0.1453576,0.1370602,0.2223216,0.1062268,0.3409091,0.210456,0.02405553,0.09541971,0.1497282,0.07342999,0.02685547,0.04602819,0.03156755,0.1047585,0.04925494,0.11379,0.1476453,0.1382382,0.1207728,0.1810738,0.1194923,0.04737693,0.05534992,0.2335726,0.2162949,0.1110242,0.08367365,0.1282336,0.1153266,0.06052297,0.05495725,0.07670796,0.07556408,0.01889956,0.07296902,0.006999836,0.07121052,0.01266799
32,0.1488404,0.2643548,0.2381481,0.2394456,0.09021252,0.27943,0.1727252,0.3035368,0.1393479,0.07249098,0.4008857,0.2695278,0.3125854,0.3007539,0.1524086,0.4089782,0.185803,0.1091974,0.2125048,0.09506118,0.2359798,0.3703596,0.5856643,0.5438531,0.461016,0.3343531,0.4677086,0.6676136,0.4595819,0.6546041,0.7772037,0.4464188,0.4231998,0.6307364,0.775633,0.7404973,0.5055076,0.5138733,0.1854274,0.3320995,0.3226583,0.5287949,0.4530772,0.1186387,0.2955126,0.2094829,0.1986929,0.3073952,0.3900957,0.1605353,0.2617597,0.3014368,0.2362359,0.1549525,0.12318,0.2086463,0.1235727,0.3567526,0.2068195,0.02477259,0.1002172,0.1514013,0.08847109,0.03773082,0.03011637,0.0235092,0.1223435,0.04481602,0.1199533,0.1445722,0.1332018,0.1201582,0.202705,0.1099657,0.0512866,0.06320339,0.2298678,0.2021245,0.1185875,0.08628578,0.1327749,0.1505818,0.05307924,0.06692526,0.08128347,0.09485631,0.01324847,0.07102273,0.0162362,0.06929837,0.01309481
34,0.1459551,0.2910054,0.2165681,0.2685547,0.1024195,0.2643206,0.1626864,0.3344385,0.148277,0.07465923,0.3940395,0.2753667,0.2973223,0.290681,0.1505989,0.3985297,0.1849152,0.1253312,0.2309092,0.1156168,0.2281093,0.3846154,0.5496066,0.6190416,0.4655232,0.3260728,0.5209073,0.625,0.4506358,0.6304632,0.7136418,0.4582502,0.3966517,0.6281414,0.7607626,0.7269244,0.530229,0.4555357,0.1926662,0.4016881,0.3084879,0.8791452,0.4952128,0.1361383,0.3300508,0.2302946,0.211617,0.2764081,0.3945688,0.1642571,0.2690669,0.2842275,0.2631255,0.1680131,0.1739374,0.2178998,0.1434966,0.4212877,0.1970539,0.0196849,0.1030342,0.1514184,0.09487339,0.04249413,0.04339898,0.02511404,0.1362236,0.05405239,0.1101364,0.1481575,0.143582,0.1223947,0.1921711,0.1103072,0.08189808,0.06972519,0.2168925,0.1783592,0.1030512,0.08517605,0.1399114,0.1481916,0.04826472,0.05763767,0.08080542,0.107695,0.01796055,0.06110344,0.02574574,0.07436898,0.01806299
36,0.1457673,0.3036563,0.2081,0.2815471,0.1243581,0.2724131,0.1949881,0.3541405,0.15695,0.07307146,0.3751229,0.3212925,0.2994393,0.2892298,0.1654693,0.3844788,0.1994441,0.1270385,0.2524209,0.110273,0.2112755,0.4132293,0.5539773,0.5995445,0.4896983,0.3297947,0.5014955,0.6216366,0.4709182,0.6343729,0.7647918,0.4746059,0.4056832,0.6270999,0.7583383,0.7411119,0.5055076,0.4920372,0.222424,0.3847519,0.2727033,0.7163222,0.4515577,0.1783251,0.3586989,0.2309604,0.211156,0.2833568,0.42349,0.1661522,0.2699034,0.2930541,0.2783032,0.1933491,0.1624645,0.1933662,0.1617986,0.4226706,0.2273069,0.01726057,0.1046561,0.1627377,0.1061243,0.04718914,0.04449164,0.02888713,0.1524769,0.06864961,0.1108364,0.1603475,0.144982,0.1247337,0.2155779,0.1151217,0.1091462,0.08025909,0.2190266,0.1833103,0.1225483,0.08992228,0.1359163,0.1551744,0.04544771,0.05867911,0.08608091,0.1204313,0.02053854,0.07546164,0.03742351,0.07139833,0.01790933
38,0.1464332,0.3174169,0.1998709,0.3149243,0.1332188,0.2628694,0.221468,0.4105489,0.1685253,0.1183826,0.3770692,0.3340971,0.2681279,0.3039124,0.1803397,0.3778546,0.21679,0.1230264,0.2464966,0.1594597,0.1976173,0.3985297,0.5808839,0.551109,0.4573283,0.3747815,0.5120465,0.647297,0.4902104,0.6155587,0.82511,0.4270241,0.4055295,0.667477,0.7287853,0.7580822,0.4751523,0.4658305,0.2363896,0.4078173,0.2838348,0.8113493,0.4703036,0.2041391,0.3567868,0.2705351,0.2096024,0.2874201,0.4317191,0.1799641,0.2673937,0.313917,0.2408968,0.2178998,0.1395187,0.1938955,0.1819445,0.3899591,0.2264532,0.01862639,0.1107511,0.1768398,0.1103925,0.03528942,0.02550672,0.02234825,0.1321432,0.06289609,0.09649529,0.1704375,0.1449308,0.14336,0.2298166,0.1100852,0.1194752,0.1073024,0.2359627,0.2216387,0.1556866,0.08766868,0.1268165,0.1544061,0.07080078,0.0616327,0.08976863,0.1118096,0.02113609,0.07704941,0.01295823,0.05640844,0.02610427
40,0.1565744,0.3095123,0.2243533,0.3143097,0.1272434,0.2718326,0.2279898,0.4350142,0.1749276,0.1432576,0.3631208,0.3725449,0.2753838,0.2971003,0.1761056,0.4066392,0.194493,0.1651449,0.2332994,0.184403,0.209278,0.3742522,0.527873,0.5470116,0.481418,0.3388945,0.5689501,0.6371046,0.6208172,0.5865179,0.8221393,0.4489968,0.3966517,0.6941276,0.7512019,0.7747623,0.4953835,0.543597,0.2943516,0.3925201,0.2832202,0.9177638,0.4373019,0.2696986,0.3956102,0.2807276,0.2255825,0.2900493,0.4508406,0.1914882,0.2685035,0.294898,0.2793105,0.3035197,0.1596475,0.1997002,0.1879029,0.3653744,0.2400944,0.01753373,0.1143876,0.1906516,0.117068,0.04087221,0.04500382,0.02407261,0.1645815,0.06653259,0.1108194,0.1761227,0.1765666,0.1789739,0.2383017,0.1215752,0.1223605,0.1036829,0.2794471,0.2167217,0.1707106,0.09912451,0.1613206,0.1694472,0.0670277,0.05709134,0.08421998,0.1017025,0.02379944,0.09755381,0.0124119,0.06591796,0.02579696
42,0.1510087,0.3121585,0.2223899,0.3235973,0.1285238,0.2743594,0.2248142,0.4642769,0.1932296,0.1420625,0.3485918,0.3361799,0.2967247,0.2984662,0.1696521,0.3907104,0.2209046,0.1536891,0.2282971,0.1623279,0.2055903,0.4086197,0.5735939,0.5450653,0.4582502,0.3225388,0.5354874,0.5995957,0.5921861,0.5420263,0.8782233,0.4401872,0.4813326,0.7697429,0.7548384,0.8340048,0.4982176,0.5542504,0.2684181,0.4238486,0.3080611,0.6523165,0.404249,0.2503722,0.4053758,0.3023075,0.2254971,0.3046294,0.5022126,0.223585,0.2441918,0.3029222,0.2883079,0.3561551,0.2411187,0.1909077,0.2016465,0.400954,0.2479649,0.01763617,0.1172046,0.2139389,0.1125266,0.03552844,0.03877226,0.02449943,0.1599377,0.07795427,0.1315969,0.1869298,0.2078781,0.1875102,0.2477088,0.1260653,0.161645,0.104878,0.2785935,0.221707,0.1819616,0.1123047,0.1545939,0.1509062,0.08106151,0.05104758,0.08655895,0.1153095,0.02229704,0.1037,0.01237776,0.06055712,0.02132389
