Elapsed,WT UT 1uM,WT UT 2uM,WT UT 4uM,WT UT 8uM,WT UT 16uM,WT UT 32uM,WT UT 1uM,WT UT 2uM,WT UT 4uM,WT UT 8uM,WT UT 16uM,WT UT 32uM,WT E 1uM,WT E 2uM,WT E 4uM,WT E 8uM,WT E 16uM,WT E 32uM,WT E 1uM,WT E 2uM,WT E 4uM,WT E 8uM,WT E 16uM,WT E 32uM,WT EA 1uM,WT EA 2uM,WT EA 4uM,WT EA 8uM,WT EA 16uM,WT EA 32uM,WT EA 1uM,WT EA 2uM,WT EA 4uM,WT EA 8uM,WT EA 16uM,WT EA 32uM,WT UT 0uM,WT E 0uM,WT EA 0uM,WT UT 0.5uM,WT E 0.5uM,WT EA 0.5uM,WT UT 0uM,WT E 0uM,WT EA 0uM,WT UT 0.5uM,WT E 0.5uM,WT EA 0.5uM,KO UT 1uM,KO UT 2uM,KO UT 4uM,KO UT 8uM,KO UT 16uM,KO UT 32uM,KO UT 1uM,KO UT 2uM,KO UT 4uM,KO UT 8uM,KO UT 16uM,KO UT 32uM,KO E 1uM,KO E 2uM,KO E 4uM,KO E 8uM,KO E 16uM,KO E 32uM,KO E 1uM,KO E 2uM,KO E 4uM,KO E 8uM,KO E 16uM,KO E 32uM,KO EA 1uM,KO EA 2uM,KO EA 4uM,KO EA 8uM,KO EA 16uM,KO EA 32uM,KO EA 1uM,KO EA 2uM,KO EA 4uM,KO EA 8uM,KO EA 16uM,KO EA 32uM,KO UT 0uM,KO E 0uM,KO EA 0uM,KO UT 0.5uM,KO E 0.5uM,KO EA 0.5uM,KO UT 0uM,KO E 0uM,KO EA 0uM,KO UT 0.5uM,KO E 0.5uM,KO EA 0.5uM
30,14.73875,17.29268,18.94106,15.88604,15.16267,5.597666,20.14219,16.73456,15.24913,16.86742,12.33467,5.555788,17.61242,20.80228,19.18269,16.20508,12.13628,8.793673,19.9757,19.54791,17.98985,17.07722,11.88022,7.972847,15.34623,19.16214,19.46489,17.34522,12.44306,8.942837,20.89664,18.28545,18.52488,14.64942,11.53587,6.864192,16.30774,17.02152,19.30384,16.65835,15.20067,17.40125,14.94714,15.97306,16.01893,14.54928,12.64099,9.051504,17.09477,23.67278,24.28442,25.33521,15.49407,9.720739,20.11399,22.39789,20.99339,19.8787,17.07458,5.520293,14.89664,20.49888,15.01268,15.63717,10.20428,8.755292,20.13938,15.93956,17.53541,13.19435,10.19273,5.820586,12.40554,16.19277,14.64629,13.59605,9.859526,7.570339,16.98141,16.01666,14.08594,12.33564,10.5899,5.666401,13.9103,13.04177,12.59388,16.84546,14.46693,14.53582,15.13185,11.7085,13.33213,11.71257,13.93462,11.18362
33,15.99536,18.79949,20.66095,16.54005,15.91122,5.685643,21.91901,18.37732,16.96729,18.33779,13.21646,5.609446,18.68598,22.5493,20.85601,16.65372,12.33692,8.562712,21.75507,21.22077,19.5068,17.81972,12.30888,7.869967,17.20896,20.42462,20.57566,17.97768,12.51841,8.914084,22.69273,19.37346,19.70821,15.49663,12.01011,7.013545,17.70697,18.73803,21.55849,18.19578,16.77473,19.244,16.61736,17.38177,17.26044,16.2306,13.8371,9.681952,18.25719,25.20837,26.71513,25.57283,15.99417,9.584038,21.98401,23.92555,23.11479,21.35648,17.43152,5.349103,15.51625,21.3749,15.50023,15.54165,10.07753,8.437346,20.61556,16.4568,18.39762,13.4684,10.22138,5.751048,12.93361,17.25014,15.06122,13.4181,9.997114,7.517517,17.88649,16.3348,14.25937,12.56151,10.38014,5.717824,15.37555,13.71775,13.53618,17.61249,15.55965,15.67454,15.69961,12.26793,13.93174,12.89602,14.9383,11.41057
36,17.83137,21.17206,23.51689,18.00431,16.96274,5.751731,23.93428,20.61684,19.25327,20.27033,13.70737,5.702391,20.37927,23.98861,22.56945,17.63351,12.66395,8.646282,23.77306,22.88933,20.92321,19.19027,12.17037,8.110813,18.63764,22.40132,21.68282,19.27896,12.61842,9.064565,25.15731,21.14519,21.23426,16.27298,12.17669,7.072635,19.37514,19.90605,23.05433,20.4204,17.9241,20.96516,18.32874,18.80171,19.14348,17.91319,14.92101,10.49699,19.5431,27.45615,28.59295,27.20881,16.65414,9.263052,23.73771,25.8554,24.87839,22.47655,18.59771,5.131119,16.12308,22.1467,16.04547,15.6224,10.29338,8.512671,21.80497,17.18787,18.83017,13.65134,10.28742,5.674665,13.42992,17.75477,15.62334,13.52204,10.01024,7.296304,18.90283,16.98811,14.7088,12.47926,10.51908,5.569479,16.49218,14.40529,14.19306,18.57557,16.11641,15.88189,17.26772,13.07267,14.58991,13.53626,15.50773,12.07171
39,19.90197,23.5273,25.83139,19.44168,17.7275,6.000704,26.91807,22.89242,21.21794,21.14449,14.0507,5.791646,21.6375,25.81763,23.42135,18.31596,12.60609,8.488769,26.19451,25.02197,22.25611,19.70881,12.24587,8.021419,20.04519,23.61333,22.49562,19.63514,12.34015,9.099223,27.15879,23.34152,22.88002,16.84624,12.18856,6.96895,21.60825,21.96045,24.98298,23.02516,19.74029,23.27503,20.27139,20.97612,20.50489,19.68644,16.00188,11.46083,21.20785,30.00996,31.23889,28.07332,17.1827,9.145287,26.02184,27.844,26.58394,23.36791,19.18005,4.982365,17.07759,23.2228,16.15016,15.64762,10.12813,8.22998,22.86904,17.52668,18.58163,13.72453,10.06337,5.588771,14.06347,18.61036,15.82082,13.42469,10.03175,7.196515,19.48495,17.36102,14.88829,12.69921,10.39105,5.57752,18.0641,15.18765,14.95501,20.66314,16.64317,16.72973,18.58429,13.94731,15.27648,14.82881,15.74749,12.09872
42,22.4213,25.89654,28.43538,20.98483,18.63291,6.100665,30.30806,25.61062,23.99926,22.39824,14.83842,5.891829,23.05553,27.67018,25.03751,18.97835,12.78409,8.481667,27.82479,26.55593,23.6471,20.59181,12.48108,8.146033,21.26863,25.67321,25.18925,20.31948,12.92982,8.837481,29.15546,25.46813,24.68921,18.13073,11.84727,7.027289,24.37855,23.49035,27.35625,25.78022,21.60636,24.72991,22.56928,22.91523,22.40972,22.28085,17.42672,12.08224,23.04952,33.57696,33.889,29.78879,18.01771,9.341454,29.18378,31.10559,29.02897,24.64226,19.50712,5.205967,18.09992,24.12008,16.55275,16.50428,10.30709,8.232303,23.80605,18.89184,19.26351,13.80042,9.967731,5.788899,14.39007,18.44455,15.94056,13.49357,9.833797,7.196088,20.11559,18.2273,14.98754,12.86162,10.42911,5.528077,19.51401,15.80986,15.11804,22.76653,17.46783,17.34105,20.37348,14.80727,15.76865,16.56004,16.87056,13.14079
45,24.83149,29.12538,31.14268,22.95315,19.36346,6.190125,33.59641,28.34759,26.46689,24.69952,15.40427,5.911515,24.03907,29.66472,26.44656,20.03747,12.92615,8.224108,30.25266,28.14873,24.70141,21.72623,12.60295,8.085664,22.7614,27.07613,25.85194,21.77442,12.43797,8.60879,30.85233,26.1836,25.55939,18.42034,11.56311,6.796686,26.68457,24.85657,29.70978,29.00163,22.49776,27.23561,25.9494,23.84893,23.85334,24.57997,18.20203,13.0285,25.37049,36.35546,36.42748,31.22241,18.56915,9.132208,31.93496,34.86184,31.1463,26.23281,20.22051,4.91887,18.58673,24.37609,16.35923,15.7811,10.14904,8.129608,24.16577,18.76298,19.68176,13.98429,9.889588,5.273352,14.80727,19.54795,16.1166,13.60545,9.838099,7.159618,21.13945,18.47733,15.41516,12.28985,10.15244,5.519781,21.24026,16.06619,15.25179,25.75647,17.74475,17.74218,22.34788,15.2542,15.70043,17.92277,17.17282,13.23449
48,27.48555,31.93815,34.0586,24.63669,19.98598,5.871292,37.22291,30.88345,28.2905,25.59915,15.57397,6.050539,25.60175,30.94721,26.96811,20.34022,12.44646,7.889634,31.00741,29.25226,25.84941,21.96251,12.19583,7.837442,22.83244,27.61015,26.99207,21.74929,12.04253,8.437225,31.72338,27.63947,25.7636,18.44498,11.3532,6.394231,29.0857,25.74917,30.46595,31.96399,23.74327,28.09087,28.61468,25.37908,25.21926,27.69907,19.01024,13.68092,28.511,40.37824,38.77716,32.71018,19.27208,8.45551,34.78558,37.25061,33.59844,27.05977,20.19405,4.853429,18.54721,24.37691,16.65674,16.08096,10.10629,7.941947,24.19707,18.82642,19.64644,13.6597,9.671586,5.10749,14.40351,19.83637,15.59471,13.02026,9.465655,6.90317,20.87004,18.63208,15.1898,12.38018,9.916412,5.258669,23.08065,16.07415,15.10242,28.58955,17.54529,17.65736,24.68919,15.80983,16.09913,19.12949,17.09459,13.30959
51,30.89915,35.48491,35.91565,26.57919,20.44792,5.897276,41.44016,33.88668,31.15572,28.1243,15.89839,5.872931,26.77992,32.00766,27.88622,21.11905,12.47538,7.87642,32.68427,30.47382,26.47618,22.39558,12.19557,8.156312,24.73522,29.3577,27.36915,22.57906,11.80392,8.077621,33.47398,28.265,26.55655,19.02723,11.00492,6.243991,31.24264,27.39925,33.04119,36.40567,24.55331,29.58421,31.70599,26.54245,27.13088,31.12322,20.2171,14.62585,31.17821,43.59654,42.57059,34.69263,19.41183,8.620809,38.56005,41.7328,36.6053,28.81591,20.94866,4.902515,18.67723,24.43909,16.62189,15.47758,9.709421,7.679862,24.62281,18.8533,20.03862,13.56974,9.485733,5.122667,14.69687,19.21791,16.08223,12.9288,9.268329,6.824209,21.18029,18.77658,15.30704,12.46019,9.890871,5.162174,25.45993,16.14094,15.496,30.58742,17.6401,18.18206,27.52153,15.67658,15.82298,21.71414,17.69197,13.40986
54,33.73605,38.94811,39.98367,28.25162,21.38395,5.787942,44.45529,37.52235,34.57412,30.24264,16.44275,5.495247,27.91833,32.64479,28.97852,21.47323,12.48337,7.913467,33.96916,31.53078,27.93793,23.2162,11.90967,7.586866,25.66616,30.46227,28.56973,22.86453,11.69753,7.693418,34.30386,29.77604,27.30546,19.1367,11.09606,6.021838,34.87091,29.16857,34.31023,41.24172,26.18403,30.95725,35.95232,27.67129,28.33839,34.24341,21.38423,15.34839,34.20688,47.4314,44.78365,36.29591,19.84244,8.238004,42.11401,45.83039,39.76311,30.42122,21.10674,4.780684,18.84337,25.24295,16.51451,15.94915,9.629982,7.529843,24.8569,19.06267,19.63355,13.87716,9.356679,5.096922,15.05583,19.68928,16.16708,12.90065,9.242292,6.712314,21.20839,19.00418,15.31052,12.2101,9.631517,5.164632,27.71245,16.08552,15.79533,33.60258,18.11038,18.75179,31.35578,16.25184,16.4393,24.66463,17.67916,13.64584
57,36.89819,43.59816,43.01085,29.81404,22.40139,5.646563,49.14603,41.27847,38.23886,31.92602,17.38023,6.0153,28.15124,33.30245,29.73163,21.56864,12.53095,7.510431,35.05726,32.32604,28.69297,24.16394,12.48836,7.799781,26.24284,32.32178,28.18543,23.24918,11.59323,7.677454,35.96502,31.4161,27.5003,19.72059,10.75345,6.222,38.51316,30.3033,36.26142,45.90515,27.57922,33.21634,40.17733,29.06526,30.05565,38.91192,22.72485,15.64516,36.25744,52.20163,49.6643,38.07607,20.33268,8.252926,46.99426,49.52031,43.53821,33.10719,21.95918,4.688439,19.01454,24.72079,16.54457,15.58426,9.538233,7.431623,25.25891,19.46115,20.08169,13.66192,8.995488,4.906321,15.02918,19.63819,16.37355,12.58956,8.849381,6.510684,21.73476,19.3714,15.7975,12.00192,9.420395,5.012258,30.35799,16.47097,15.79206,36.89876,17.89257,18.50968,34.30297,16.42278,15.9831,26.14544,18.30271,13.43333
60,40.15483,46.91797,45.9633,32.09207,22.96513,5.52427,54.12931,45.42235,41.62024,33.62338,17.72553,6.659798,29.0164,34.78119,30.20959,22.84444,12.67796,7.340011,36.80957,33.66363,29.1464,24.03723,12.11691,7.716142,27.39833,33.12761,28.95586,23.68983,11.5793,7.520725,37.92885,32.79845,28.08325,19.97019,10.8904,6.009068,42.64978,32.14693,39.01724,51.03393,28.27241,34.44667,44.72908,30.56756,31.76724,44.36899,23.81964,16.76143,40.34187,56.47159,53.49778,39.51293,20.23116,8.32738,50.81532,53.62147,45.84399,34.59192,22.14217,4.614633,18.95422,25.76624,17.13567,16.10683,9.388658,7.167165,25.32722,19.83859,20.67531,13.68987,9.177433,4.793574,15.60806,20.13061,16.58321,12.46476,8.909529,6.463085,22.11402,19.30985,15.74521,12.40981,9.286239,4.74471,33.26013,16.3168,15.5577,40.49673,18.66332,18.50948,37.01757,16.8913,16.97575,29.52215,18.35121,13.53177
63,43.44551,51.45822,50.27688,34.38903,23.87394,5.520872,58.2355,49.29354,45.09184,35.26217,18.00883,6.987629,30.9088,36.03186,30.70676,23.32769,12.5343,7.373917,37.7882,35.059,30.10145,25.0414,12.41098,7.441184,29.23358,33.54531,28.7989,23.7893,11.76432,7.364169,38.86081,33.32919,29.36021,20.13069,10.70504,5.798442,46.82949,32.46336,39.32825,56.30401,28.58497,36.18011,50.18029,31.89199,32.85897,48.53075,23.78768,17.65068,43.6876,60.6367,57.12228,42.51463,21.05907,8.029205,56.25707,59.06585,49.24603,37.14482,22.89445,4.621428,19.59729,25.76408,17.34873,16.04649,9.399941,7.171469,25.88102,20.58599,22.25251,13.53236,8.966516,4.647361,15.94339,20.63668,17.57857,12.86119,8.820442,6.278478,22.49668,19.96024,16.16662,12.44786,9.462925,4.745906,35.10991,16.24575,16.18297,44.04233,19.06993,18.92112,40.45835,17.06343,17.01809,33.75208,18.50806,13.94955
66,47.42141,55.76117,53.7355,36.3599,24.78466,5.479625,63.56345,52.41223,48.42442,36.92459,18.81626,7.046308,30.45425,37.50779,31.84598,23.51118,12.64346,7.26139,38.77122,35.86806,30.90109,26.32037,12.50667,7.151306,30.07878,34.07894,29.27084,24.61831,11.85491,7.294768,40.25057,34.58725,30.82711,20.63908,10.75417,5.740616,50.27122,34.01653,40.96827,61.84,30.69778,37.81332,55.28381,33.16773,35.10178,55.90529,25.43238,18.03332,47.28751,65.66972,60.99931,44.60485,21.74103,7.74467,61.51073,64.0818,52.74277,39.36978,24.01064,4.619943,18.92004,26.74661,18.55153,16.61578,9.41828,7.161413,25.46622,20.86652,22.036,13.66779,8.66754,4.718384,16.38325,20.99517,17.14938,12.65966,8.837752,6.328346,22.98427,20.0113,16.48158,12.80077,9.509276,4.715567,38.74623,16.91669,16.49417,49.75603,19.35054,19.43044,44.88612,17.50534,17.17362,37.06509,18.67431,14.0281
69,51.09119,60.62629,57.9337,39.02744,26.06492,5.331638,67.05684,56.67252,51.97277,39.65749,19.96264,6.30721,31.68327,38.61282,32.82114,24.53815,13.15162,7.31249,40.897,37.43959,31.58799,26.27349,13.0677,6.845106,29.75502,36.92039,30.8427,24.87511,11.99745,7.489995,41.61054,36.59031,31.61945,21.71472,10.99399,5.767506,53.72002,34.92485,42.22828,68.16467,30.96586,39.54848,61.70875,34.63737,36.52111,61.79295,26.54883,19.71876,51.08606,70.32942,64.65237,47.9417,22.22227,7.829247,66.9324,68.91331,57.65337,41.70968,23.972,4.588871,19.62631,27.38641,17.72314,16.61232,9.493859,7.396402,27.05307,21.2557,22.12423,13.8307,8.882229,4.492461,17.02784,21.78253,18.67027,12.94782,8.664465,6.548621,24.15882,20.56625,17.19803,12.95237,9.677291,4.618679,41.68987,17.13468,16.60766,52.28238,19.82384,19.21605,49.0962,17.86742,17.58082,40.73258,19.47016,14.57622
72,54.75142,65.90028,62.03136,41.44452,27.33914,5.432316,70.66696,60.58542,56.28739,41.94731,20.70847,6.330396,33.18719,39.73381,34.2337,25.19901,13.28006,7.279421,41.31557,39.033,32.4174,27.44744,13.17999,6.788509,32.14379,37.76797,32.37858,25.12903,11.91442,7.11967,44.75653,38.0374,32.72902,21.85306,10.91216,5.65807,57.10067,35.78299,45.78517,74.34553,32.52039,41.03749,67.8195,36.36546,38.59042,69.24904,27.58053,20.55233,54.54312,75.15918,67.90126,50.70669,23.35895,7.613875,71.58549,72.55589,60.21979,43.96827,25.40357,4.472383,19.9409,28.63645,18.37865,16.65695,9.111159,7.29318,27.22255,22.26023,22.42434,14.38589,9.10571,4.587812,17.07071,21.87815,19.1634,12.94801,8.730487,6.48166,24.59485,21.15931,17.78773,13.41809,9.415855,4.567136,43.76457,16.88021,16.58712,55.73474,20.46134,20.2447,53.85785,17.85416,17.76449,44.59795,19.50981,14.50259
