Elapsed,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM
30,4.7473,5.848759,4.247637,3.04318,2.060289,2.028162,5.264392,4.969322,5.302059,3.917723,3.139379,1.876988,6.353089,6.197977,6.118175,6.815245,4.031557,3.179769,8.874167,7.150274,7.170161,5.313441,2.840552,1.767677,7.425927,8.046655,8.188267,5.803544,3.987653,3.957582,11.43746,8.856154,8.648147,5.672674,3.801059,2.713561,4.942711,9.966909,5.966705,3.704533,3.974291,3.135046,9.646441,7.655756,7.709805,4.717715,2.73244,2.125492,6.286036,6.995602,6.578996,5.916527,6.248042,4.832709,8.905384,8.610026,10.35699,7.107592,5.43921,2.729951,6.236145,10.14062,7.918579,5.701038,3.934469,4.533003,11.55212,7.942147,7.216759,5.754427,4.879019,2.322155,5.806987,9.318675,6.842273,5.324018,2.87425,3.36389,9.83227,8.856784,9.709171,5.513412,4.984506,2.675364,5.010418,8.729436,4.044896,2.428712,1.859589,2.629078,6.628105,6.139627,8.83223,5.618087,3.165102,2.50497
33,5.271517,5.919115,4.11318,3.379612,2.160403,2.342946,6.13002,5.348504,5.613587,4.25754,3.286766,2.056123,7.178964,6.639191,6.3416,6.96308,4.115372,3.185111,9.365218,8.070473,7.693331,5.44,2.943588,1.930976,8.252499,8.777134,9.088253,5.921801,4.132741,4.041861,12.26806,9.680094,9.215115,6.052843,3.963387,2.959705,5.21816,10.48584,6.559282,3.801863,4.26298,3.310463,10.02526,8.04566,8.427272,4.880718,3.023223,2.297836,6.543545,7.391219,7.562721,6.122425,6.549805,5.123925,9.844463,9.32432,10.94704,7.947784,5.634515,2.960593,6.98529,10.80111,8.871739,6.380808,4.248753,4.830577,12.74763,8.727638,7.9293,6.210117,5.38743,2.294254,6.582471,9.579653,7.537333,5.578372,3.234273,3.607105,10.88491,9.961082,10.38556,5.725175,5.188695,2.988099,5.283074,9.1106,4.092631,2.449184,2.208359,2.791057,6.914927,6.899805,9.278778,5.487265,3.292875,2.89281
36,5.729273,6.288478,4.912648,3.515944,2.437453,2.471356,6.536109,5.772592,6.140264,4.490707,3.447941,2.243484,7.796246,7.383237,6.84351,7.591852,4.531242,3.544163,10.1331,8.724163,8.096082,5.871045,3.11462,2.138983,8.751995,9.492558,9.511544,6.368925,4.391124,4.234761,13.32393,10.74403,10.29597,6.329035,4.323751,3.194452,5.651982,11.16271,7.398336,3.91666,4.452359,3.538654,11.25398,8.678985,8.68859,5.036627,3.398354,2.516739,6.900904,7.989397,8.083456,6.689134,7.196195,5.516349,10.66896,10.11183,11.59076,8.656206,5.864565,3.123649,7.292395,11.62168,9.036109,6.370738,4.400784,5.155612,12.78998,9.084922,8.407747,6.407691,5.45324,2.413247,6.913258,10.40157,7.763565,5.746444,3.117693,3.801681,11.51133,10.26086,11.24952,6.03618,5.327539,3.020704,5.571642,9.708958,4.766065,2.513431,2.036797,3.181446,7.08888,7.505934,10.0322,6.049884,3.43986,2.909443
39,6.605219,6.716147,5.536958,3.651182,2.539229,2.536369,7.11971,6.753275,6.748381,4.77706,3.610815,2.365178,8.422779,8.061223,7.35932,7.865524,4.481936,3.680654,11.54503,9.286737,8.742207,6.115337,3.309925,2.197751,9.227141,10.47469,10.4819,6.927424,4.642588,4.375629,14.52125,11.26638,11.32772,6.891283,4.503752,3.324402,6.102255,11.9177,7.666569,3.969988,4.67133,3.77155,11.84179,9.174125,9.217377,5.197915,3.399743,2.628918,7.593907,8.334129,8.985612,7.341785,7.496138,5.787943,11.6889,10.74207,12.2278,9.362358,6.344743,3.359868,8.316123,12.3089,10.08995,6.589186,4.544635,5.458893,14.59154,9.773067,8.8864,6.676713,5.518959,2.580933,7.570173,11.2792,8.30717,5.9967,3.173198,3.913147,12.08481,10.97685,11.77745,6.281414,5.489609,3.114825,6.056,10.14979,5.140497,2.563086,2.179973,3.280286,8.042884,8.179792,10.74519,6.276618,3.491898,3.088396
42,7.457029,7.271088,5.718316,3.910393,2.745248,2.722363,7.749778,7.469549,7.756152,4.79373,3.719246,2.262051,9.218438,8.841213,7.617961,8.178055,4.6947,3.9283,12.49104,9.655267,9.360082,6.354925,3.327726,2.390916,9.937801,11.27807,11.17013,7.481675,4.708344,4.779624,16.31199,12.27298,12.25042,7.166852,4.404911,3.296562,6.282575,12.33107,7.784431,4.137127,4.836951,4.105721,12.57649,9.444641,9.704685,5.402826,3.385143,2.672207,8.284976,9.189582,9.387595,8.062354,8.133984,6.007263,12.71991,11.70143,13.13235,9.891735,6.718348,3.515329,8.760896,13.18198,10.27431,6.716739,4.455697,5.557915,15.66443,10.34292,9.160293,6.785341,5.317963,2.65449,7.800845,11.61894,8.631113,6.183485,3.204043,3.962173,13.17328,11.64455,11.94254,6.343308,5.482416,3.160989,6.436138,10.90653,5.177253,2.674719,2.152459,3.374285,8.739855,8.577269,10.92809,6.466429,3.69454,3.144402
45,8.129787,7.869295,6.321789,4.29,2.77815,2.789994,8.500328,8.04607,8.406276,5.147273,3.978616,2.306402,9.947119,9.688015,8.075694,8.326291,4.72075,4.002283,13.38081,10.60733,10.00699,6.539394,3.659226,2.550209,10.55622,12.69974,11.87981,7.966504,4.644529,4.85668,17.62552,13.44292,13.13343,7.490757,4.571162,3.358639,6.560087,12.84378,8.163448,4.159663,4.913999,4.094027,13.09761,9.993155,9.977047,5.569737,3.485668,2.789956,9.255201,10.43336,10.44394,8.569416,8.731455,6.150735,13.66078,12.42864,14.40621,10.49147,7.304338,3.630581,8.889441,14.04024,10.82595,6.918402,4.488886,5.58187,16.81264,10.80414,9.532267,6.913569,5.507881,2.771882,8.086469,11.89118,9.065383,6.43497,3.301176,4.058622,14.09296,12.08735,12.55535,6.552492,5.47592,3.195476,7.030908,11.26611,5.380768,2.872649,2.286325,3.504714,9.264217,8.808199,11.12826,6.60207,3.769706,3.283754
48,8.855744,9.043197,6.921415,4.5986,2.951836,2.830802,9.542851,8.790026,9.435734,5.324557,4.382596,2.299474,10.49175,10.06653,8.657307,8.301334,4.445021,4.036618,14.32586,10.99887,10.52136,6.708513,3.515405,2.628812,11.95869,13.75134,13.00286,8.111744,4.688092,5.085584,19.22142,15.13981,14.06252,7.815755,4.486823,3.491154,7.096506,13.63714,8.580387,4.292921,4.842999,4.189658,13.86714,10.18519,10.17807,5.540266,3.247825,2.848505,10.89535,11.6429,11.27213,9.185848,9.361031,6.401644,15.60529,14.84031,15.98226,11.40006,7.84031,3.748945,9.902123,14.30751,11.03117,7.143096,4.583629,5.707085,17.91608,11.43413,9.896661,7.135955,5.43078,2.651727,9.019886,12.67911,9.646244,6.702094,3.308308,4.101084,14.83308,12.69527,13.11795,6.72567,5.393303,3.056572,7.307775,11.7072,5.526599,2.997091,2.390567,3.342082,9.866218,9.090772,11.72306,6.768276,3.906697,3.224667
51,9.519853,9.819317,7.892491,4.783464,3.189012,2.863938,10.3262,9.333813,10.20276,5.611114,4.461615,2.486516,11.49607,10.73846,9.128165,8.414737,4.381875,4.078685,15.64596,11.44889,11.04325,6.798885,3.50661,2.80388,13.13157,14.95569,13.66467,8.311306,4.79354,5.218122,20.66069,15.81737,15.1953,8.01295,4.567823,3.512104,7.198987,14.12503,8.791308,4.38881,4.883874,4.293976,14.63084,10.68443,10.29589,5.758524,3.271636,3.172553,11.85269,12.53693,12.32974,9.69977,10.00986,6.446466,17.48524,16.03861,18.12446,12.50912,8.387161,3.796817,9.968275,15.07479,11.41698,7.415622,4.59492,5.773092,19.25072,11.86895,10.06811,7.38587,5.388591,2.751478,9.319131,13.13573,10.10895,6.825541,3.195218,4.293794,14.96641,13.21096,13.66053,6.855947,5.478402,3.019429,7.361733,12.10227,5.782616,3.124795,2.503042,3.378299,10.55191,9.460439,12.31182,6.837599,4.041694,3.319493
54,10.15793,11.48047,8.734497,5.292338,3.4325,2.944628,11.42765,10.75282,11.31572,5.885962,4.907283,2.515335,12.34236,10.87446,9.406277,8.541796,4.251902,3.961991,16.63593,12.30358,11.3452,6.79667,3.457244,3.072659,13.88251,15.83399,14.4838,8.674871,4.648248,5.272678,23.12223,17.54122,15.71759,8.065716,4.568985,3.497483,7.682792,14.38649,9.416612,4.412962,4.952856,4.364582,15.2703,11.06771,10.36789,5.831034,3.441795,3.156194,12.72766,13.59604,13.5641,10.12746,10.46751,6.601941,19.60629,18.00744,19.47313,13.61204,8.728951,3.891461,10.9163,15.73832,12.05596,7.636028,4.691028,5.814455,19.96492,12.72424,10.19775,7.604948,5.436107,2.697346,10.03688,13.93484,10.42839,6.972807,3.247696,4.279901,16.15479,13.68669,13.95071,6.859308,5.394077,2.990588,7.741318,12.25085,6.068618,3.132231,2.396767,3.383687,11.01857,10.23451,12.69228,7.089851,4.045731,3.34794
57,12.14926,12.92751,9.833591,5.946636,3.623669,3.033164,13.2283,12.02966,12.63113,6.284229,4.802525,2.570332,12.65941,11.84191,9.762589,8.74229,4.273011,3.896955,18.11064,12.90503,11.58387,6.738774,3.496389,3.952688,14.94611,17.7443,15.50069,9.304022,4.819666,5.337366,25.59148,18.61075,16.34943,8.632182,4.575632,3.341771,8.147551,14.9022,9.16612,4.531425,5.056454,4.234548,15.13509,11.32095,10.44779,5.90302,3.170368,3.848195,14.72081,15.55256,15.18726,11.81306,10.94451,6.848397,21.51079,19.92341,21.98539,14.54345,9.139047,3.79366,11.19043,16.35322,12.17061,7.62929,4.600542,6.159878,21.42917,13.27963,10.80872,7.829412,5.416674,2.782118,10.47094,14.16495,11.13784,7.475612,3.511899,4.324085,17.18232,14.48002,14.15543,7.233823,5.452261,2.994966,8.607461,12.91028,6.280367,3.177774,2.367766,3.322149,12.003,10.55839,13.07248,7.128716,4.123423,3.204111
60,13.59397,13.96424,10.63357,6.344052,3.873864,3.126942,15.16815,14.14244,13.2877,6.889879,5.369956,2.447446,13.78164,12.0162,9.85888,8.821674,4.229502,3.777719,18.41031,13.6828,11.94215,6.885752,3.407277,3.491518,16.48683,18.90362,16.45319,9.43845,4.623769,5.195723,27.16762,19.14267,17.01991,8.60265,4.444217,3.290112,8.374475,14.82876,9.815621,4.559947,5.046431,4.399972,15.94111,11.43061,10.44588,5.987989,3.487671,3.786134,17.02649,17.69645,16.28781,12.73919,11.75797,7.016695,24.83048,22.20833,23.80575,16.36206,10.15322,4.058668,12.31577,16.72577,12.7236,7.897591,4.833135,5.890918,22.01577,13.35766,11.41416,8.02638,5.360098,2.757951,10.96945,14.52941,11.39794,7.339318,3.130843,4.338085,17.96136,14.30865,14.79371,7.193198,5.348907,3.029286,8.730794,12.9832,6.661013,3.235366,2.370088,3.431998,11.96393,10.7091,13.44794,7.422482,4.023316,3.332074
63,14.80251,16.09543,11.62986,7.046031,4.042513,3.378587,17.47085,15.71285,14.913,7.278479,5.613603,2.501442,14.45852,12.90609,10.08241,8.9434,4.222392,3.697476,19.07544,14.18724,12.01092,6.87714,3.260876,3.784745,16.263,19.53815,17.3465,9.94366,4.643316,5.187262,28.29617,20.24746,17.80001,8.782445,4.444786,3.181978,8.278625,15.17529,9.929531,4.456865,5.034608,4.48076,16.01098,11.50749,10.51241,5.928326,3.404614,3.107062,20.10863,19.99986,18.37202,13.94306,12.90158,7.226995,26.78782,24.46567,26.44169,17.95918,10.74833,4.060193,12.64303,17.55607,13.28246,8.016205,4.8373,5.99412,22.7136,13.98286,11.92638,8.265642,5.365509,2.835355,11.5248,14.81091,11.77022,7.780486,3.153697,4.434307,18.38615,14.8618,15.03817,7.390885,5.429991,3.009345,9.349816,13.76706,6.735496,3.324706,2.458957,3.373109,12.58761,11.2029,13.64321,7.446361,4.051725,3.343114
66,16.94915,17.92278,13.24936,7.644192,4.237734,3.345694,20.05545,17.43881,16.22831,7.622241,5.970871,2.510153,14.91474,13.30187,10.6231,8.879479,4.208643,3.776618,20.11097,14.40094,12.13819,6.852289,3.19279,3.458746,17.85589,20.95446,18.10785,10.22977,4.823308,5.145073,30.3926,21.9496,18.52603,9.060109,4.392171,3.230282,8.614381,15.29285,9.988155,4.545409,5.03061,4.384029,16.26151,11.61669,10.66633,5.999228,3.398104,2.875935,21.67441,23.04927,19.87934,15.07015,13.75023,7.345434,31.02056,27.1341,29.17094,19.8835,11.49319,4.197512,13.09438,18.1305,13.46543,7.889502,4.833097,6.241888,23.84576,14.47769,12.3066,8.380689,5.295473,2.665591,11.98533,15.46141,12.2999,7.856252,3.086916,4.483719,19.31677,15.08422,15.5962,7.516936,5.491385,3.011022,9.221049,14.21517,7.017402,3.368921,2.457196,3.372775,13.35765,11.25536,13.85958,7.739231,4.161469,3.24589
69,19.56409,21.1221,15.03621,8.316519,4.455947,3.344366,23.24063,19.8987,17.61931,8.239379,6.322601,2.423248,15.30905,13.56239,10.70633,9.191395,4.350847,3.525868,20.74929,14.86267,12.50683,6.832075,3.095012,3.036069,19.16346,22.39798,18.55403,10.01477,4.998133,5.07509,32.41389,22.82569,18.84709,9.388643,4.278011,3.145146,8.529965,15.30106,9.797024,4.537912,5.108749,4.493507,16.45779,11.61767,10.53301,5.997907,3.312163,2.790381,25.93961,26.42538,21.27473,16.45429,14.64165,7.397397,33.9015,29.93809,31.86069,21.54685,12.02941,4.164291,13.56248,18.72546,13.87285,8.292548,4.769631,6.125148,24.74955,15.06648,12.56226,8.726151,5.342829,2.738571,12.56565,15.23758,12.77643,8.235935,3.309416,4.547564,20.03793,15.71055,15.84462,7.727811,5.261016,2.998858,10.02411,14.63089,7.246814,3.521627,2.525708,3.273966,14.13088,11.9085,14.37151,7.769659,4.17109,3.249866
72,22.81744,24.63604,16.98626,9.02906,4.724544,3.19691,26.22707,23.42683,19.93927,8.442895,7.032381,2.524721,16.64744,14.64368,11.1474,9.418433,4.416491,3.76834,21.73053,15.64474,12.94744,7.00382,3.100552,3.269208,20.79062,22.98965,19.24159,10.59963,5.131407,5.325096,34.84365,23.95153,20.12176,9.515459,4.370546,3.033702,8.929104,15.30937,9.932103,4.614542,5.131422,4.603411,16.75756,11.81597,10.65094,6.29347,3.369899,2.807924,29.43977,29.97888,23.4277,18.0891,15.84599,7.854492,39.59593,34.15795,35.73318,24.03891,12.853,4.304796,13.75975,19.36726,14.21903,8.54801,5.133865,6.370238,26.32809,15.82922,13.20108,9.009286,5.555472,2.726726,12.87755,16.08127,13.39479,8.373306,3.196797,5.1498,20.61189,16.03382,16.52819,8.046261,5.413009,2.943581,10.45665,15.14056,7.67283,3.772429,2.734542,3.4291,14.82405,12.45508,14.4152,8.43014,4.267335,3.25772
