Elapsed,WT UT 1uM,WT UT 2uM,WT UT 4uM,WT UT 8uM,WT UT 16uM,WT UT 32uM,WT UT 1uM,WT UT 2uM,WT UT 4uM,WT UT 8uM,WT UT 16uM,WT UT 32uM,WT E 1uM,WT E 2uM,WT E 4uM,WT E 8uM,WT E 16uM,WT E 32uM,WT E 1uM,WT E 2uM,WT E 4uM,WT E 8uM,WT E 16uM,WT E 32uM,WT EA 1uM,WT EA 2uM,WT EA 4uM,WT EA 8uM,WT EA 16uM,WT EA 32uM,WT EA 1uM,WT EA 2uM,WT EA 4uM,WT EA 8uM,WT EA 16uM,WT EA 32uM,WT UT 0uM,WT E 0uM,WT EA 0uM,WT UT 0.5uM,WT E 0.5uM,WT EA 0.5uM,WT UT 0uM,WT E 0uM,WT EA 0uM,WT UT 0.5uM,WT E 0.5uM,WT EA 0.5uM,KO UT 1uM,KO UT 2uM,KO UT 4uM,KO UT 8uM,KO UT 16uM,KO UT 32uM,KO UT 1uM,KO UT 2uM,KO UT 4uM,KO UT 8uM,KO UT 16uM,KO UT 32uM,KO E 1uM,KO E 2uM,KO E 4uM,KO E 8uM,KO E 16uM,KO E 32uM,KO E 1uM,KO E 2uM,KO E 4uM,KO E 8uM,KO E 16uM,KO E 32uM,KO EA 1uM,KO EA 2uM,KO EA 4uM,KO EA 8uM,KO EA 16uM,KO EA 32uM,KO EA 1uM,KO EA 2uM,KO EA 4uM,KO EA 8uM,KO EA 16uM,KO EA 32uM,KO UT 0uM,KO E 0uM,KO EA 0uM,KO UT 0.5uM,KO E 0.5uM,KO EA 0.5uM,KO UT 0uM,KO E 0uM,KO EA 0uM,KO UT 0.5uM,KO E 0.5uM,KO EA 0.5uM
30,0.2103707,0.1718886,0.3788618,0.2840226,0.4983029,0.5664746,0.2734033,0.2082707,0.3391165,0.3767619,0.4595307,0.2803178,0.4354752,0.4587966,0.3972833,0.7619065,1.328654,1.003025,0.4827326,0.3716742,0.4097465,0.5545919,1.180821,1.067099,0.4769108,0.6046834,0.8963717,1.197467,1.438518,1.400804,0.2957174,0.4308996,0.4652159,0.6166343,1.18398,1.222103,0.1538939,0.2824007,0.3345239,0.2342213,0.2508502,0.371145,0.2394627,0.3773936,0.2220143,0.1449478,0.3196023,0.3445626,0.4464871,0.3674231,0.3845983,0.3374433,0.5316973,0.7439972,0.3264826,0.4475798,0.3524503,0.4340752,0.3970102,0.6225927,0.6662819,1.104267,1.098701,1.246176,1.501516,1.958264,0.6870083,0.7607285,0.9578507,1.048183,1.770924,1.312708,0.6755866,0.8456314,1.012569,1.218688,1.630006,1.866037,0.7248416,0.763409,0.7824622,1.08844,1.374426,1.710316,0.3081635,0.471106,0.5713232,0.3430773,0.6335705,0.5602942,0.2345116,0.3998443,0.5820449,0.4414677,0.5563163,0.6503531
33,0.2215363,0.1887907,0.3564453,0.2874542,0.569872,0.584401,0.2724643,0.1950223,0.3518698,0.3964468,0.5148124,0.3420871,0.4812814,0.5495725,0.4511138,0.8437876,1.574502,1.195879,0.5136343,0.4158927,0.5084954,0.6654453,1.503974,1.272895,0.5120977,0.6530505,1.006218,1.262839,1.638167,1.643135,0.3171608,0.5035101,0.521539,0.6708062,1.429537,1.423835,0.1610474,0.2949663,0.3700694,0.2326848,0.2735229,0.3796813,0.245882,0.411027,0.228741,0.1539622,0.3107927,0.3708547,0.4533162,0.3933396,0.3724596,0.3670816,0.5878496,0.8445558,0.3306313,0.4130928,0.3664841,0.4344508,0.5346168,0.6934789,0.7593114,1.248344,1.238732,1.392728,1.758291,2.166535,0.786406,0.8771819,1.138617,1.216793,1.939757,1.511708,0.811281,0.9950693,1.133239,1.389177,1.946979,2.035706,0.814576,0.7802427,0.8587433,1.226423,1.636766,1.860574,0.3491211,0.5674989,0.6496019,0.3759424,0.7368949,0.6783012,0.2282288,0.4649428,0.6155929,0.4212706,0.6225586,0.7299975
36,0.2088171,0.1906175,0.4127684,0.2790544,0.6479799,0.6777549,0.2489381,0.2277166,0.3395262,0.3922469,0.5556504,0.4271778,0.5336265,0.6178465,0.5413434,1.003896,1.821477,1.546059,0.6147051,0.5150001,0.624283,0.8002349,1.897826,1.603953,0.5699744,0.7438264,1.098974,1.174077,1.853044,1.941037,0.375618,0.5360679,0.6235317,0.7729526,1.690358,1.637313,0.1525623,0.3176731,0.4016369,0.2124023,0.3363165,0.3904713,0.2321726,0.4423896,0.2422285,0.1615938,0.3320313,0.4152952,0.4645159,0.3893104,0.3484553,0.3918542,0.6352778,0.9864988,0.3326459,0.4200584,0.3824813,0.4374385,0.5499481,0.8343804,0.8353365,1.477136,1.361963,1.596902,1.96849,2.368301,0.9424169,1.032527,1.318752,1.411969,2.143435,1.662222,0.9005886,1.171107,1.294014,1.58478,2.250208,2.203548,1.008147,0.9639457,0.9948133,1.441847,1.881539,2.023021,0.3611062,0.7018616,0.6767988,0.3230851,0.9063081,0.783128,0.2195217,0.5042101,0.7235611,0.3853154,0.7577237,0.8579067
39,0.2258045,0.1980271,0.3789814,0.2819909,0.6824499,0.792279,0.2404358,0.2426041,0.3451431,0.4043003,0.5882594,0.5673111,0.5637258,0.7576896,0.6283804,1.0545,2.000314,1.849049,0.706898,0.621722,0.7617358,0.8788208,2.078798,1.898475,0.5909569,0.8130395,1.185021,1.224596,2.025377,2.20937,0.4452749,0.5870472,0.6847035,0.8027617,1.97211,1.904741,0.1485672,0.3546356,0.4242412,0.2139389,0.3528429,0.4268193,0.2327872,0.4911324,0.2747862,0.1594255,0.3462699,0.4360215,0.4628599,0.4002199,0.3275411,0.4668207,0.7636138,1.126393,0.3332092,0.3613452,0.4278266,0.4234388,0.6245049,0.8917108,0.9474022,1.657817,1.514372,1.781134,2.233033,2.685803,1.121493,1.201138,1.522703,1.642913,2.371613,1.881488,1.039851,1.398465,1.495131,1.845771,2.545687,2.520812,1.127674,1.223332,1.181538,1.640864,2.14463,2.21695,0.3644183,0.8609798,0.7522262,0.3590574,1.086323,0.8426437,0.2070073,0.5845205,0.8351828,0.357794,0.9223223,0.9280246
42,0.2569111,0.225924,0.4047954,0.320251,0.7636821,0.9183955,0.2584476,0.2283142,0.3309557,0.4160122,0.6712501,0.9028423,0.6040176,0.8611164,0.6954764,1.153539,2.203053,2.175856,0.787362,0.6922667,0.8338341,0.9808307,2.214236,2.363605,0.6205269,0.9242685,1.274499,1.348937,2.251967,2.551167,0.5526627,0.6376168,0.8221393,0.9504924,2.295963,2.263525,0.1624816,0.4196658,0.4915934,0.2260435,0.3734839,0.4939835,0.2392237,0.5227,0.3027002,0.1631645,0.4081417,0.4545796,0.4606575,0.3693182,0.3554551,0.520139,0.781728,1.385387,0.3700182,0.4050173,0.4026271,0.503715,0.7083834,1.112598,1.145617,1.940406,1.706526,2.064405,2.559072,2.946743,1.391448,1.438961,1.755491,1.897587,2.520726,2.126601,1.250836,1.57498,1.798992,2.124194,2.788974,2.649558,1.253363,1.375946,1.375297,1.88497,2.509014,2.542579,0.4249583,1.102918,0.8428144,0.3541063,1.227976,1.002752,0.2098585,0.6513433,0.8861109,0.3555917,1.084514,1.073228
45,0.2866689,0.2364579,0.3985297,0.319295,0.774916,1.071777,0.3021368,0.2353994,0.3481138,0.4307119,0.7115931,1.068499,0.7475483,0.9823502,0.8645992,1.234993,2.312421,2.441748,0.9070251,0.8171198,0.978082,1.055712,2.28589,2.748921,0.6801963,1.074099,1.372617,1.402904,2.439562,2.877086,0.7003934,0.7825134,0.9525069,1.082192,2.509612,2.606671,0.1605182,0.4742303,0.5092636,0.2116511,0.4089953,0.5544382,0.2397188,0.5475408,0.3381945,0.1685936,0.446709,0.4937786,0.4758181,0.363889,0.3551136,0.5577162,0.8620895,1.602058,0.3979321,0.3600647,0.4709524,0.5108002,0.7913229,1.265451,1.305623,2.194261,1.907814,2.283534,2.779788,3.258902,1.675778,1.675692,2.022235,2.128428,2.737209,2.359252,1.401487,1.781287,2.023345,2.265096,3.04568,2.909302,1.551812,1.619403,1.595775,2.08158,2.808078,2.707588,0.4075783,1.304923,0.931883,0.3683279,1.447925,1.127195,0.2298678,0.7207953,1.054756,0.3280191,1.276924,1.194223
48,0.3000027,0.2571501,0.3677133,0.3191072,0.852358,1.226252,0.3092391,0.2451821,0.367167,0.4520187,0.755675,1.243939,0.9245076,1.249863,1.028259,1.352693,2.43456,2.853492,0.9632969,0.9739845,1.102764,1.172199,2.380764,3.042248,0.7954033,1.22393,1.555893,1.634496,2.539541,3.071391,0.8785989,0.9812233,1.059519,1.190501,2.698215,2.811817,0.1725203,0.5531065,0.5563675,0.2203924,0.4571747,0.5960787,0.2473844,0.6043761,0.3889348,0.1607401,0.5284876,0.5228877,0.4678451,0.3262948,0.3298118,0.5984006,0.9300904,1.854956,0.4372166,0.3487796,0.4209121,0.5229048,0.8959789,1.440259,1.536327,2.541623,2.14982,2.474903,3.020685,3.535463,1.952135,1.938442,2.302536,2.3879,2.941229,2.614097,1.600999,2.06234,2.216438,2.486786,3.232592,3.190286,1.80058,1.852498,1.752998,2.267366,3.060755,2.920383,0.3918542,1.483077,1.063224,0.3975053,1.695053,1.346017,0.2032172,0.8142175,1.207369,0.3201315,1.411269,1.340554
51,0.2949663,0.2581403,0.3512381,0.2847909,0.8750819,1.344447,0.284808,0.2589427,0.369284,0.473906,0.7940204,1.463614,1.063617,1.450776,1.287509,1.459039,2.557569,3.141475,1.12023,1.131566,1.288994,1.303079,2.467306,3.161553,0.999679,1.326144,1.738128,1.85371,2.637999,3.293406,1.09515,1.084275,1.222735,1.316191,2.814122,2.975767,0.1882444,0.6288072,0.5802352,0.2092609,0.5142489,0.6685355,0.2384554,0.6640113,0.402815,0.1506672,0.6116832,0.575967,0.4422872,0.3482162,0.3466797,0.6251878,0.9812917,2.094163,0.4392824,0.4212877,0.4427482,0.4813838,0.9220321,1.633062,1.786973,2.8139,2.326438,2.644333,3.19015,3.8544,2.368796,2.295673,2.533206,2.580088,3.085391,2.84166,1.80338,2.246623,2.390359,2.719983,3.431388,3.390874,2.058823,2.121582,1.954218,2.437889,3.232234,3.046585,0.3896006,1.703299,1.176911,0.399537,1.946245,1.569773,0.2246094,0.9492802,1.30844,0.3249631,1.56151,1.49607
54,0.316495,0.2925761,0.384991,0.3237339,0.9389511,1.421223,0.2915858,0.2883079,0.3576575,0.513788,0.7259171,1.544796,1.252219,1.615033,1.512135,1.598745,2.716671,3.371172,1.29625,1.325701,1.439593,1.445961,2.543348,3.36098,1.098547,1.543703,1.929564,2.133277,2.73166,3.626513,1.241839,1.243581,1.405499,1.370653,2.969757,3.097939,0.205283,0.7009909,0.6502677,0.2014416,0.585596,0.7429217,0.2484429,0.7105858,0.4580283,0.1600572,0.6388801,0.6154051,0.4324533,0.4328289,0.32189,0.6457263,1.086238,2.38819,0.5041589,0.4020467,0.4601794,0.5280949,0.9165004,1.821665,2.058737,3.148424,2.595215,2.83717,3.329805,4.139566,2.720785,2.615019,2.707963,2.760325,3.309966,3.036512,1.980407,2.496193,2.543945,2.885162,3.583694,3.534849,2.393688,2.368369,2.084483,2.581198,3.421537,3.186923,0.4111123,1.877988,1.327544,0.4427311,2.107036,1.804677,0.2132389,1.132983,1.433942,0.3327483,1.845345,1.610816
57,0.3371189,0.2968101,0.4034637,0.3588184,0.9890769,1.474814,0.3036051,0.3311264,0.3747815,0.5243219,0.8299927,1.6487,1.490094,1.992307,1.804797,1.700226,2.807583,3.445285,1.517855,1.589799,1.563046,1.553076,2.641192,3.573314,1.235386,1.720782,2.164401,2.234416,2.855762,3.772246,1.477853,1.42293,1.566785,1.535815,3.157336,3.268889,0.2435089,0.8504801,0.7164418,0.191437,0.6737086,0.7860475,0.2599841,0.8120493,0.5417873,0.1668693,0.7128906,0.6439337,0.4478529,0.4199048,0.3130293,0.6465458,1.112871,2.609453,0.5401483,0.3795277,0.422295,0.518244,0.9580556,1.983788,2.295349,3.486584,2.757321,3.013276,3.419898,4.31137,2.945377,2.872596,3.045099,2.945446,3.369362,3.134748,2.151203,2.808215,2.705932,3.079569,3.652617,3.532015,2.645135,2.697771,2.294051,2.719863,3.555609,3.294908,0.4409384,2.146269,1.518162,0.4579771,2.302178,2.026794,0.2342555,1.343661,1.55072,0.3069855,2.052147,1.761705
60,0.3354458,0.3182364,0.4083294,0.3617379,1.033432,1.574758,0.3623525,0.3573331,0.4182487,0.5345997,0.8925815,1.786153,1.766315,2.414756,2.045693,1.847564,2.88721,3.531878,1.778675,1.876554,1.794382,1.722301,2.793054,3.624959,1.393906,1.906312,2.404819,2.460528,3.022358,3.897372,1.789619,1.66678,1.739527,1.716496,3.299603,3.370558,0.2355872,0.9535484,0.835456,0.2019709,0.817615,0.9113104,0.3095293,0.9130688,0.6063223,0.1579061,0.7660552,0.7319609,0.4580454,0.5163659,0.3250143,0.5939105,1.14449,2.81629,0.5265754,0.4088416,0.4276217,0.5005565,1.013474,2.037396,2.521153,3.915913,2.928834,3.178164,3.655331,4.500519,3.310803,3.077742,3.245653,3.086125,3.440214,3.241522,2.352491,3.062531,2.772618,3.258253,3.830925,3.65178,3.004791,2.957772,2.458974,2.73248,3.708377,3.383243,0.449048,2.388959,1.652781,0.4490822,2.532097,2.289834,0.2576622,1.50913,1.715813,0.2979711,2.231957,1.901838
63,0.3536966,0.355438,0.4334947,0.4261705,1.080314,1.63412,0.3850251,0.3678158,0.5559236,0.6077394,0.9003667,1.88649,1.955327,2.746804,2.275527,1.985922,3.071545,3.610567,2.003575,2.251745,2.040606,1.955361,2.915637,3.701479,1.48236,2.166552,2.540275,2.64855,3.078033,3.980107,2.077551,1.83254,1.989797,1.835579,3.447522,3.4361,0.2534623,1.132932,0.9108835,0.1940491,1.006901,1.039476,0.2964686,1.049617,0.6608016,0.2042074,0.8990692,0.8051348,0.568455,0.5367679,0.3230851,0.5868082,1.170492,3.057426,0.535146,0.4127855,0.5174586,0.4961518,1.056583,2.181934,2.748067,4.232903,3.01529,3.300593,3.731237,4.498044,3.62723,3.253746,3.420666,3.141083,3.534149,3.235136,2.555247,3.292911,2.953846,3.33298,3.901009,3.722445,3.296837,3.219105,2.600849,2.789008,3.806528,3.471953,0.4694329,2.619373,1.851918,0.4996688,2.725463,2.491925,0.2685035,1.756276,1.918245,0.3567185,2.429865,2.094556
