Sample,p-MEK,p-JNK,p-Erk,p-Src,p-Abl,p-mTOR,p-Stat3,Akt,p-YAP,tAXL,p-AXL
Y634F.0.UT,542,16,,60,100,91,62,1950.5,,,47
Y634F.5.A,,,,,,,,,,,62
Y634F.5.AE,,,,,,,,,,,56
Y634F.10.A,2431,19.5,,95.5,108,99,67,2035,2066,282,
Y634F.10.AE,373.5,20,,114.5,117,105,65,413,2160,326.5,
Y634F.60.A,631,18.5,,92,114,104.5,62,1897,,,
Y634F.60.AE,38,17,,63.5,111,62.5,58,639,1660.5,325,
Y634F.120.A,,,,,,,,,1589,282,75
Y634F.120.AE,,,,,,,,,,,99
Y643F.0.UT,501,17,,45.5,107,91,57,1818,1885,404.5,
Y643F.10.AE,,,,,,,,,2571,296,
Y643F.120.A,,,,,,,,,,,79.5
Y643F.120.AE,96,13,,33,122,47,52,139,1328,315.5,38
Y643F.30.A,797,18,,73.5,116,104,61,1590,2158,287.5,
Y643F.30.AE,,,,,,,,,2216,269,176
Y643F.5.A,1255.5,17,,48,106.5,94.5,55,1249.5,,,
Y643F.5.AE,,,,,,,,,2152,340,
Y643F.120.A,,,,,,,,,1328,315.5,
Y643F.240.A,,,,,,,,,1513,357.5,
Y643F.240.AE,,,,,,,,,1563,286,
Y643F.60.AE,46,17,,60,113,61,52,618,,,
Y698F.0.UT,446,13,,51.5,105.5,86,51,1747,1950.5,551.5,
Y698F.10.A,1982,21,,71,112,80,59,2469,,,
Y698F.10.AE,156,16,,69,109.5,83,54.5,945.5,,,
Y698F.120.A,874.5,19,,46,115,93.5,65,2542,,,
Y698F.120.AE,91,12,,29.5,108,45.5,46,203.5,,,
Y698F.30.A,588,17,,69,115,95,59,1956,,,
Y698F.5.A,1537.5,19,,51.5,117,97,67,1590,,,
Y698F.5.AE,647,17,,56,115,89,58,406,,,89
Y698F.60.A,,,,,,,,,,,130.5
Y698F.60.AE,48,18,,59,113,84,61,1265,,,
Y698F.240.A,,,,,,,,,1592,576.5,
Y698F.30.AE,,,,,,,,,1875.5,479,
Y698F.5.AE,,,,,,,,,2217.5,568.5,
Y726F.0.UT,567,15,,67,107.5,108,63.5,1901,,,
Y726F.10.A,2394,17,,71,108.5,108,60,2190,2484.5,610,
Y726F.10.AE,,,,,,,,,2309,484.5,
Y726F.60.A,,,,,,,,,1522,473.5,
Y726F.120.A,,,,,,,,,1580,705,
Y726F.120.AE,118,14,,45.5,128,64,54,247,1039,349,47
Y726F.240.A,335.5,13.5,,31,86,66,47,2089,,,
Y726F.240.AE,40,14.5,,67.5,95,54,49,791.5,,,
Y726F.30.A,506,15,,82.5,105,93,56,2233.5,,,176
Y726F.30.AE,,,,,,,,,,,141
Y726F.5.AE,417,15,,64,107,97,52,429,,,
Y750F.0.UT,,,,,,,,,1828,462,
Y750F.5.A,,,,,,,,,1760.5,547.5,
Y750F.5.AE,,,,,,,,,2087,419,78
Y750F.10.AE,,,,,,,,,2318,457,
Y750F.60.AE,,,,,,,,,1607.5,327.5,142.5
Y750F.120.A,544,17,,60,105.5,79,55,2282,,,
Y750F.120.AE,106,16,,46,105,42.5,53,176,788,310,31
Y750F.240.A,396,19,,55,103.5,77.5,58,2024,1412,405.5,60.5
Y750F.240.AE,42,17,,52,97,44,55,636,,,79
Y750F.30.A,466.5,13.5,,57,87,72,46,1527.5,,,
Y750F.30.AE,36,14,,74,101.5,57,52,836.5,,,181
Y750F.60.A,510.5,16,,78.5,117,103.5,60,2090.5,1347.5,559.5,
Y821F.0.UT,,,,,,,,,1728,560,
Y821F.5.A,,,,,,,,,1523,203,71
Y821F.10.A,,,,,,,,,2111,295,57
Y821F.10.AE,,,,,,,,,2260,292.5,
Y821F.120.A,392,13,,40.5,95,63,47.5,1506,1439,202,
Y821F.120.AE,76.5,15,,27,119,32,52,58,,,
Y821F.240.A,276,16,,43,94,56,51.5,1430,,,71
Y821F.240.AE,,,,,,,,,1179,401.5,60
Y821F.30.A,,,,,,,,,,,78.5
Y821F.30.AE,65.5,14,,74,106.5,59,48,156.5,1758.5,239,102
Y821F.5.AE,341,18,,52.5,103.5,78.5,54.5,38.5,1914,349.5,
Y821F.60.A,466.5,16,,70.5,116,84.5,56,1532,,,
Y821F.60.AE,,,,,,,,,1449,248,
