Elapsed,UT,UT,UT,UT,E-500;CX4945-05,E-500;CX4945-05,E-500;RXDX106-67,E-500;RXDX106-67,E-500;CX4945-1,E-500;CX4945-1,E-500;RXDX106-125,E-500;RXDX106-125,E-500;CX4945-2,E-500;CX4945-2,E-500;RXDX106-250,E-500;RXDX106-250,E-500;CX4945-4,E-500;CX4945-4,E-500;RXDX106-500,E-500;RXDX106-500,E-500;CX4945-8,E-500;CX4945-8,E-500;RXDX106-1000,E-500;RXDX106-1000,UT,UT,UT,UT,E-1000;CX4945-05,E-1000;CX4945-05,E-1000;RXDX106-67,E-1000;RXDX106-67,E-1000;CX4945-1,E-1000;CX4945-1,E-1000;RXDX106-125,E-1000;RXDX106-125,E-1000;CX4945-2,E-1000;CX4945-2,E-1000;RXDX106-250,E-1000;RXDX106-250,E-1000;CX4945-4,E-1000;CX4945-4,E-1000;RXDX106-500,E-1000;RXDX106-500,E-1000;CX4945-8,E-1000;CX4945-8,E-1000;RXDX106-1000,E-1000;RXDX106-1000
72,0.09776293,0.08947501,0.1068568,0.1144037,0.2913367,0.264266,0.5075341,0.542416,0.2559147,0.2559147,0.5140527,0.5140527,0.230977,0.193085,0.4973302,0.5638189,0.1550297,0.1779403,0.5314375,0.5683746,0.03987743,0.04662829,0.6201881,0.710643,0.0914761,0.08500292,0.07150316,0.08308826,0.2730609,0.3269209,0.4273018,0.4594566,0.2094506,0.200455,0.5814229,0.4653979,0.2038362,0.2065077,0.4998751,0.5101303,0.1395365,0.1265319,0.5787688,0.5761747,0.0372427,0.02002615,0.6422423,0.5559947
75,0.09688558,0.08743401,0.1031178,0.1150704,0.2949502,0.2654005,0.5110454,0.5574387,0.2554722,0.2554722,0.5293894,0.5293894,0.230555,0.1924458,0.506479,0.570291,0.1544413,0.181427,0.5537971,0.5903383,0.04187835,0.04707628,0.6437696,0.717123,0.08735719,0.08282039,0.06674034,0.08880859,0.2698064,0.3330422,0.4306692,0.4668211,0.2104127,0.2025212,0.6007205,0.4703025,0.2060035,0.2035907,0.5118946,0.5127743,0.1469338,0.1301295,0.5907263,0.5763648,0.03579902,0.01898256,0.6607596,0.5573204
78,0.09388456,0.08876971,0.1021207,0.1147814,0.3000545,0.2744151,0.527346,0.5690411,0.2506963,0.2506963,0.5278109,0.5278109,0.2310061,0.1955248,0.5310134,0.5979508,0.1558922,0.1804485,0.560445,0.5964665,0.03974588,0.0430771,0.6398705,0.7293031,0.08357626,0.08160697,0.06821208,0.08907837,0.2689421,0.3352301,0.4397911,0.4736806,0.2148822,0.2007399,0.6108316,0.4813836,0.2107082,0.2127034,0.531685,0.522344,0.1461945,0.1365662,0.5982977,0.6062154,0.035461,0.02114793,0.6784239,0.5667621
81,0.09194393,0.08255845,0.09951916,0.1156531,0.3004061,0.281233,0.5382892,0.5705017,0.2564451,0.2564451,0.5402573,0.5402573,0.2321481,0.1963753,0.5482614,0.6103861,0.1577444,0.1824371,0.5768195,0.6118799,0.03950923,0.0450324,0.6599087,0.7392118,0.08010702,0.07901554,0.06424303,0.08674277,0.2739857,0.3410951,0.4486597,0.468905,0.2165797,0.201872,0.6217994,0.4935096,0.2095739,0.2160638,0.5434047,0.5268566,0.1523895,0.1423818,0.6154643,0.621287,0.03362959,0.01813861,0.6860058,0.5664905
84,0.08785675,0.08279888,0.0988941,0.1111341,0.3026457,0.2811358,0.5377997,0.5951367,0.252219,0.252219,0.5591887,0.5591887,0.2402119,0.1987622,0.5478032,0.6116813,0.1567947,0.1850327,0.5902164,0.6198031,0.04178051,0.04567987,0.6726642,0.7375507,0.07711185,0.07502481,0.06274652,0.0816907,0.275613,0.3460943,0.4605235,0.4680678,0.214563,0.2057531,0.6301918,0.5131171,0.2087012,0.2157138,0.5603331,0.5425996,0.151105,0.1484973,0.6091032,0.6333101,0.03272697,0.01780904,0.6979768,0.5860295
87,0.08285152,0.08119477,0.0952996,0.1011472,0.3093856,0.2899595,0.5486926,0.5977348,0.253482,0.253482,0.5645503,0.5645503,0.2405005,0.204219,0.5536832,0.6440036,0.1556525,0.1885723,0.5965371,0.6107902,0.04289644,0.04832628,0.6895043,0.7456056,0.07627048,0.07364894,0.06000073,0.07986309,0.2841051,0.35689,0.46242,0.4855608,0.2157262,0.2058832,0.6454072,0.5187806,0.2085499,0.2134698,0.5662173,0.5470901,0.1517528,0.1472057,0.6224476,0.6534094,0.03222519,0.01745745,0.6942627,0.5924409
90,0.07876612,0.07902993,0.09046124,0.1017164,0.3122674,0.2904446,0.5448431,0.6175712,0.2533368,0.2533368,0.5683779,0.5683779,0.2431909,0.2061617,0.5644931,0.6438348,0.1565452,0.1867217,0.600659,0.6265138,0.03945062,0.04695774,0.6980535,0.7588962,0.07366588,0.07127863,0.05665274,0.07416449,0.2838468,0.3645766,0.4639198,0.4898623,0.2178129,0.2082381,0.6602694,0.5245684,0.2064316,0.2147435,0.5857854,0.5422978,0.1522825,0.137279,0.6327792,0.6508522,0.03213576,0.01536594,0.6947295,0.5855117
93,0.07737821,0.07514767,0.08621843,0.1042454,0.3152958,0.2923431,0.549394,0.6257302,0.2540821,0.2540821,0.5754908,0.5754908,0.2386874,0.2059987,0.5624045,0.6412508,0.1607732,0.1904677,0.6136728,0.6379546,0.03961092,0.04468659,0.7047484,0.7710174,0.07137884,0.0712437,0.05409102,0.07058452,0.2825512,0.3650743,0.4763613,0.4891308,0.2194151,0.2099094,0.652995,0.5379452,0.2101925,0.2167239,0.5913777,0.5438186,0.1569092,0.1361429,0.6401403,0.6714741,0.03126391,0.0177808,0.7089813,0.5681294
96,0.07748983,0.0750043,0.0825205,0.09907424,0.3156523,0.3017778,0.5504705,0.6279544,0.2533477,0.2533477,0.5821325,0.5821325,0.2450082,0.2070554,0.5663053,0.6524988,0.1537522,0.1864838,0.6248966,0.6576384,0.03906152,0.04610251,0.7089611,0.7875898,0.07217731,0.06941055,0.05221031,0.07192688,0.2898102,0.3610233,0.4768005,0.495584,0.2233717,0.2089322,0.6723547,0.5486643,0.2067885,0.2161945,0.5907587,0.5558761,0.1564604,0.1397626,0.6433321,0.6738761,0.030597,0.01717571,0.6971833,0.5717912
99,0.07564276,0.0746238,0.08150519,0.09957562,0.3208841,0.3008243,0.5480579,0.6243362,0.2539837,0.2539837,0.5907105,0.5907105,0.2406013,0.2025209,0.5740088,0.6524554,0.1588475,0.1863597,0.6335461,0.6453326,0.04285424,0.0485673,0.718661,0.767255,0.07168491,0.06898097,0.05217059,0.07522678,0.2933667,0.3543234,0.486764,0.4890575,0.220754,0.2090739,0.6672432,0.5501286,0.2050201,0.2100288,0.600794,0.5467556,0.1546395,0.1402308,0.646156,0.689669,0.03270934,0.01686155,0.7062615,0.5915816
102,0.0744917,0.07459377,0.08080199,0.100635,0.3192777,0.302992,0.5552594,0.6425884,0.2544301,0.2544301,0.5864655,0.5864655,0.2381673,0.2086875,0.5875486,0.65871,0.1532992,0.1846386,0.6433115,0.6672715,0.04100383,0.04987285,0.7252157,0.770552,0.07180121,0.06872122,0.05263448,0.07126004,0.2905965,0.3568379,0.4954601,0.5025385,0.2249071,0.2130743,0.6788698,0.5692712,0.2076636,0.2106977,0.6017444,0.5379335,0.1523718,0.1438592,0.6393526,0.6855198,0.03394968,0.01385479,0.7020575,0.5889498
