Elapsed,UT,UT,UT,UT,UT,UT,UT,UT,E-500;CX4945-05,E-500;CX4945-05,E-500;CX4945-05,E-500;CX4945-05,E-500;RXDX106-67,E-500;RXDX106-67,E-500;RXDX106-67,E-500;RXDX106-67,E-500;CX4945-1,E-500;CX4945-1,E-500;CX4945-1,E-500;CX4945-1,E-500;RXDX106-125,E-500;RXDX106-125,E-500;RXDX106-125,E-500;RXDX106-125,E-500;CX4945-2,E-500;CX4945-2,E-500;CX4945-2,E-500;CX4945-2,E-500;RXDX106-250,E-500;RXDX106-250,E-500;RXDX106-250,E-500;RXDX106-250,E-500;CX4945-4,E-500;CX4945-4,E-500;CX4945-4,E-500;CX4945-4,E-500;RXDX106-500,E-500;RXDX106-500,E-500;RXDX106-500,E-500;RXDX106-500,E-500;CX4945-8,E-500;CX4945-8,E-500;CX4945-8,E-500;CX4945-8,E-500;RXDX106-1000,E-500;RXDX106-1000,E-500;RXDX106-1000,E-500;RXDX106-1000,UT,UT,UT,UT,UT,UT,UT,UT,E-1000;CX4945-05,E-1000;CX4945-05,E-1000;CX4945-05,E-1000;CX4945-05,E-1000;RXDX106-67,E-1000;RXDX106-67,E-1000;RXDX106-67,E-1000;RXDX106-67,E-1000;CX4945-1,E-1000;CX4945-1,E-1000;CX4945-1,E-1000;CX4945-1,E-1000;RXDX106-125,E-1000;RXDX106-125,E-1000;RXDX106-125,E-1000;RXDX106-125,E-1000;CX4945-2,E-1000;CX4945-2,E-1000;CX4945-2,E-1000;CX4945-2,E-1000;RXDX106-250,E-1000;RXDX106-250,E-1000;RXDX106-250,E-1000;RXDX106-250,E-1000;CX4945-4,E-1000;CX4945-4,E-1000;CX4945-4,E-1000;CX4945-4,E-1000;RXDX106-500,E-1000;RXDX106-500,E-1000;RXDX106-500,E-1000;RXDX106-500,E-1000;CX4945-8,E-1000;CX4945-8,E-1000;CX4945-8,E-1000;CX4945-8,E-1000;RXDX106-1000,E-1000;RXDX106-1000,E-1000;RXDX106-1000,E-1000;RXDX106-1000
30,3.768671,47.98343,4.232162,3.927474,5.14714,5.04331,3.124945,1.674661,3.589366,6.510271,4.61059,5.541411,5.676423,5.150227,4.421096,1.710869,5.192485,4.940217,82.84001,4.82262,5.033394,5.6875,3.840431,22.35858,22.33113,4.489634,4.43959,5.546247,5.202005,4.750095,4.174565,1.948413,2.877322,3.67772,4.47282,4.154283,5.014955,4.530526,4.818127,1.914936,2.391554,2.642319,3.019408,3.380491,3.660347,4.211661,4.337699,1.745028,2.83128,4.64729,4.865002,5.7811,4.311762,4.338505,5.126297,1.399189,3.760749,5.700748,5.187732,5.533749,3.930562,4.592261,4.098981,2.347287,3.440354,4.999809,4.989565,5.445271,4.482572,4.824151,4.064713,2.502786,3.593586,4.734879,4.489701,4.550467,5.185998,4.726781,3.461908,1.84334,2.565109,3.826199,4.105646,3.455023,4.094952,4.185123,3.617925,2.185738,1.941434,1.955133,1.99914,2.193755,3.248839,2.909787,2.529119,1.362393
33,4.130982,53.0087,4.67619,4.257771,5.552052,5.774734,3.398137,1.778587,3.756461,6.440437,4.954736,5.904201,5.823084,5.270419,4.636036,1.820381,5.402398,5.194302,78.87547,5.185205,5.189357,5.780485,3.974268,25.47837,34.13331,4.695531,4.733336,6.032643,5.431927,4.891868,4.280499,2.036782,2.90737,3.938319,4.598216,4.462576,5.263235,4.698686,5.15035,1.99074,2.401388,2.748224,3.034159,3.593928,3.713164,4.322088,4.465499,1.848202,2.993103,4.960514,5.350114,6.198576,4.645296,4.720143,5.860413,1.572266,3.914636,6.016061,5.490371,5.891745,4.027931,4.794075,4.363308,2.484293,3.730127,5.282356,5.272345,5.693414,4.686461,4.942225,4.292954,2.612626,4.226262,5.002841,4.684085,4.847069,5.317771,4.838409,3.712003,1.936981,2.601043,4.023423,4.32426,3.535047,4.224432,4.324287,3.696665,2.217971,1.886705,1.962112,1.984894,2.249727,3.295441,3.015953,2.51527,1.430985
36,4.491709,64.69311,4.978679,4.79652,5.824601,6.202687,3.63075,1.959613,3.845867,6.644231,5.137811,6.181176,5.947961,5.348135,4.856097,1.766772,5.595321,5.46823,75.34166,5.506022,5.333588,5.96401,4.175781,18.59856,27.70879,4.832455,4.872145,6.328671,5.579122,5.106165,4.33005,2.139177,2.884602,3.973954,4.646047,4.538161,5.414212,4.901128,5.233228,2.122938,2.259875,2.658162,3.112243,3.447416,3.705228,4.41439,4.592138,1.869195,3.232367,5.667408,5.796943,6.897468,5.08005,5.214871,6.528819,1.773301,4.090185,6.305302,5.785361,6.103994,4.104157,4.882758,4.417436,2.551164,3.844529,5.459817,5.525732,5.913543,4.836074,5.209531,4.467084,2.762825,4.576446,5.154434,4.849664,5.090404,5.464912,4.840663,3.909364,1.98402,2.679742,4.113582,4.359498,3.673268,4.267427,4.43892,3.750751,2.357736,1.85092,1.989319,1.942048,2.081403,3.37851,3.109184,2.624358,1.494168
39,5.05537,56.8269,5.289567,5.098653,6.440259,7.054523,4.146348,2.148014,4.071527,6.901291,5.482654,6.517837,6.264586,5.577278,5.079176,1.87052,5.773328,5.66017,73.49485,5.859674,5.425398,6.037355,4.330201,30.7865,32.22892,4.999057,5.188989,6.633482,5.758331,5.259042,4.523314,2.218887,3.050303,4.086825,4.830515,4.687814,5.502418,4.854362,5.388794,2.176532,2.189603,2.518889,2.881569,3.370438,3.812514,4.480264,4.685136,1.939685,3.60708,6.290742,6.15838,7.600442,5.61324,5.618171,6.886883,1.902986,4.204709,6.520761,5.962945,6.284063,4.260448,5.083697,4.540251,2.59655,3.992925,5.645814,5.767851,6.781863,4.832537,5.369687,4.577033,2.790524,4.051355,5.381583,5.169321,5.315778,5.583096,4.936475,4.03898,2.052584,2.747938,4.103147,4.512005,3.710924,4.359457,4.544881,3.86914,2.406509,1.855947,1.942649,2.076281,2.118157,3.371817,3.116532,2.595307,1.494864
42,5.381842,58.37251,5.698672,5.379699,6.961565,7.435874,4.305712,2.250601,4.248484,7.543364,5.644558,6.807118,6.29006,5.673473,5.163516,1.865671,6.132949,5.903039,75.5964,6.072061,5.502295,6.229457,4.397877,27.78728,34.98294,5.206034,5.419675,6.910661,5.918775,5.378728,4.546998,2.246053,3.09349,4.16159,4.933444,4.88792,5.617214,5.381843,5.565873,2.173281,2.23051,2.4829,2.781591,3.347042,3.860563,4.543487,4.770883,1.968326,3.981466,6.804373,6.596755,8.356751,6.01628,6.042149,7.350619,2.120479,4.420755,6.728461,6.474458,6.55115,4.432405,5.140161,4.573741,2.616382,4.202933,5.841319,6.015748,6.49903,5.021361,5.413571,4.723571,2.86843,4.821719,5.589762,5.305343,5.446951,5.68272,5.011992,4.079422,2.068715,2.806545,4.233064,4.635885,3.78644,4.424853,4.602614,3.939945,2.471113,1.825489,1.899598,2.044362,2.072989,3.400431,3.206198,2.733433,1.518056
45,6.072102,54.49104,6.165729,5.918734,7.580515,8.159896,4.638453,2.390024,4.427024,7.611123,6.021689,7.245739,6.405348,5.815983,5.333465,1.943127,6.252731,6.039896,78.77464,6.260489,5.610344,6.245739,4.541466,24.05806,39.76182,5.403122,5.645391,7.416111,6.009315,5.462016,4.605264,2.349063,3.075557,4.286781,4.992051,4.758591,5.70587,5.124426,5.68485,2.261924,2.163967,2.511623,2.82904,3.276333,3.905936,4.607367,4.821924,2.030253,4.325407,7.573207,7.552462,9.196665,6.422914,6.694916,7.882279,2.317253,4.571965,6.8293,6.630054,6.818619,4.472232,5.20908,4.733487,2.693537,4.255326,6.09827,6.335514,6.788625,5.087863,5.485946,4.781291,2.979007,4.621203,5.785566,5.469351,5.67462,5.764136,5.044908,4.176054,2.183826,2.855196,4.415004,4.785483,3.934864,4.529652,4.650022,4.018138,2.593026,1.828152,1.901866,2.214092,2.014464,3.460992,3.255572,2.796738,1.512921
48,6.596359,54.61046,6.845431,6.51822,8.320764,8.793624,5.033285,2.506692,4.624125,8.010612,6.153299,7.554223,6.53547,5.85107,5.264205,2.018862,6.454299,6.233705,74.25269,6.389258,5.690396,6.225114,5.535238,27.04253,29.40236,5.687158,5.91062,7.723639,6.042149,5.498456,4.741832,2.357941,3.25855,4.308826,5.264109,5.113267,5.775732,5.189958,5.768766,2.309181,2.149749,2.41073,2.793624,3.321146,4.007239,4.681545,4.827128,2.053909,4.71696,8.001024,8.149611,9.938592,7.265352,7.250232,8.823439,2.382826,4.646402,7.079695,6.879643,6.92798,4.57639,5.289432,4.791521,2.8044,4.432269,6.288406,6.595743,7.136419,5.194028,5.532684,4.848844,3.032233,4.732777,6.002349,5.679414,5.892291,5.815778,5.14337,4.234252,2.161864,2.957673,4.472916,4.895514,4.022481,4.563278,4.677256,4.083383,2.492447,1.851521,1.850128,2.344433,2.12078,3.46233,3.243663,2.699,1.532124
51,7.011568,49.65504,7.379834,7.264806,9.18246,9.446787,5.527767,2.564685,4.713901,8.547968,6.253128,7.749057,6.479498,5.894722,5.456976,2.032042,6.741327,6.474295,74.99927,6.790783,5.772782,6.370165,4.564549,31.59911,31.45156,5.750928,6.025076,7.864182,6.105127,5.629357,4.793993,2.364592,3.251857,4.388003,5.226808,5.299552,5.924565,5.139095,5.954559,2.349063,2.118881,2.308471,2.806395,3.227259,4.021225,4.710773,4.895843,2.058703,5.085937,8.549675,8.807199,10.73406,7.860685,8.011978,9.618417,2.506692,4.793638,7.376488,7.157847,7.324287,4.553403,5.362188,4.906345,2.832618,4.555821,6.506967,6.741381,7.576922,5.280786,5.666657,4.976303,3.065969,4.626038,6.116996,5.918255,6.193974,5.85887,5.223585,4.272017,2.194329,2.992679,4.570367,4.930698,4.121886,4.631009,4.723216,4.142073,2.606753,1.768698,1.829313,2.331021,2.112352,3.500778,3.310738,2.791493,1.537792
54,7.626106,49.05228,7.86025,7.727409,10.00609,10.31479,5.941037,2.700093,4.847096,8.633043,6.589652,8.144175,6.574464,5.932159,5.52901,2.126598,6.89322,6.589037,73.27179,7.127854,5.73238,6.354266,4.637825,14.73413,36.14272,5.93231,6.205966,8.092875,6.170577,5.574219,4.818919,2.440368,3.340718,4.617379,5.45542,5.36869,5.961101,5.266731,5.918829,2.398342,2.094173,2.275472,2.760899,3.265679,4.103665,4.619291,4.94788,2.045632,5.511159,9.335595,9.564043,11.89583,8.499522,8.490548,10.91257,2.644244,4.957741,7.574122,7.414266,7.535565,4.615494,5.349787,5.002225,2.846959,4.706499,6.741681,6.895132,7.887469,5.289773,5.662382,5.000355,3.087699,5.112011,6.221276,6.033818,6.385462,5.90935,5.269722,4.363377,2.172298,3.068073,4.583466,5.045754,4.296752,4.632471,4.762715,4.23148,2.596495,1.773588,1.778546,2.352491,2.162314,3.514874,3.330405,2.779488,1.514218
57,8.339037,55.28968,8.664923,8.71237,10.76892,10.92933,6.78192,2.856479,4.957932,8.12974,6.762647,8.497705,6.575489,5.937718,5.595239,2.084776,7.054195,6.746066,77.04741,7.434058,5.745902,6.453712,4.739142,24.48597,34.29517,6.107189,6.422353,8.330229,6.230386,5.651825,4.886199,2.486096,3.340062,4.668733,5.62877,5.317881,5.946173,5.456758,5.990453,2.440696,1.986205,2.327715,2.849473,3.296438,4.03588,4.605277,4.948235,2.057405,6.121886,10.25269,10.37395,12.96174,9.043295,9.20225,11.71837,2.739797,4.934522,7.762128,7.510311,7.662724,4.628346,5.323918,5.075175,2.83296,4.775281,6.881883,7.043296,8.204163,5.326186,5.767373,5.031468,3.192403,5.051464,6.454913,6.114127,6.588245,5.911672,5.254275,4.415633,2.240043,3.1337,4.633837,5.217056,4.619905,4.706266,4.790224,4.275199,2.661891,1.713232,1.804196,2.399817,2.204942,3.515147,3.369277,2.791999,1.525978
60,9.353392,56.39849,9.344118,9.4011,11.66032,12.23023,7.451075,3.080815,4.94213,8.630572,6.962686,8.760312,6.520624,5.934851,5.66245,2.094515,7.017892,6.920072,76.15354,7.65125,5.764682,6.442157,4.746831,22.14967,33.61816,6.233187,6.565819,8.627062,6.229963,5.671493,4.907261,2.50855,3.368758,4.786891,5.687213,5.44773,6.014218,5.155198,5.907547,2.462754,1.988909,2.287137,2.76572,3.275008,4.032042,4.670263,4.936735,2.045209,6.84965,10.94905,11.37955,14.33778,9.813729,9.906824,12.76166,3.060478,5.087276,7.815532,7.658531,7.825612,4.712085,5.364415,5.113377,2.873429,4.778436,6.934577,7.2671,8.342398,5.304141,5.765816,5.056272,3.207727,5.297244,6.530608,6.308703,6.706484,5.933252,5.213833,4.479799,2.28267,3.148355,4.658244,5.381624,4.715732,4.705119,4.820449,4.247159,2.679879,1.637579,1.806613,2.516554,2.283189,3.506433,3.36279,2.779065,1.605141
63,10.07731,65.68446,10.29662,10.37249,12.57746,13.48379,7.898287,3.390038,5.070312,8.696869,7.09655,8.933252,6.588696,5.932842,5.680507,2.10006,7.221453,7.007375,77.57556,7.842411,5.792436,6.361,4.756706,30.93064,38.94492,6.372391,6.839133,8.887251,6.222054,5.594255,4.91734,2.548131,3.490303,4.8234,5.819165,5.672408,6.052966,5.240125,6.003333,2.510885,1.969569,2.2214,2.759957,3.372009,4.055302,4.65483,4.923882,2.07527,7.301955,12.08849,12.66006,15.56683,10.8893,10.85117,13.92234,3.420919,5.128837,7.972929,7.714816,7.95016,4.608378,5.377608,5.201882,2.86268,4.866668,6.958778,7.416781,8.505859,5.339953,5.763658,5.035211,3.256501,5.016308,6.626625,6.498292,6.766035,5.910483,5.22629,4.490985,2.302844,3.163229,4.685233,5.481916,5.028464,4.677351,4.79753,4.293406,2.709053,1.630723,1.85469,2.490712,2.30873,3.493444,3.34726,2.77804,1.518548
66,10.92487,63.5954,11.25213,11.2931,14.02122,15.05197,8.951937,3.762142,5.104444,8.882116,7.312909,9.077675,6.570995,5.917477,5.758509,2.099828,7.322825,7.174539,72.15663,8.10611,5.785539,6.401237,4.808034,32.75652,43.01157,6.427011,6.97338,9.154719,6.184823,5.621353,4.963368,2.570613,3.449765,4.904775,6.046479,5.751256,6.033996,5.285594,6.068796,2.524585,1.983678,2.21274,2.780649,3.400978,4.022208,4.66144,4.949355,2.061393,8.127649,13.58901,13.55026,16.8078,11.68301,11.9377,15.16309,3.891322,5.130736,8.026333,8.072812,8.167395,4.73223,5.395391,5.238978,2.86533,4.970061,7.025582,7.573794,8.756843,5.330871,5.792122,5.076008,3.21233,5.088792,6.701035,6.562036,6.956512,5.830951,5.198331,4.510216,2.295331,3.160416,4.703753,5.521483,5.046916,4.721659,4.811913,4.269545,2.695326,1.617802,1.815436,2.528163,2.316816,3.49216,3.339666,2.772591,1.504548
69,12.20032,67.15985,12.64964,12.4626,15.83879,16.39748,10.16062,4.228557,5.242774,9.161604,7.551422,9.360726,6.624522,6.106288,5.708833,2.169758,7.143861,7.187404,82.93045,8.346304,5.873579,6.325202,4.929742,24.88803,36.10001,6.704313,7.155076,9.415851,6.175644,5.696419,4.952565,2.68287,3.601781,4.92361,6.367378,5.915797,6.006446,5.386909,6.124835,2.683717,1.908872,2.17406,2.782876,3.386364,4.024625,4.679674,4.891116,2.087549,8.780047,14.96467,15.20568,18.46349,13.11296,13.3785,16.66671,4.401237,5.194274,8.179509,8.203151,8.430807,4.671957,5.37067,5.38945,2.964557,5.111888,7.167531,7.739687,9.057883,5.319807,5.723339,5.195736,3.292983,5.095185,6.971454,6.715226,7.172161,5.800043,5.262237,4.641854,2.369414,3.158135,4.801177,5.577251,5.372828,4.678212,4.880668,4.27748,2.731507,1.592712,1.891089,2.804141,2.787205,3.640557,3.383646,2.764887,1.537546
