Elapsed,UT,UT,E-500,E-500,E-67,E-67,E-500;R428-67,E-500;R428-67,E-125,E-125,E-500;R428-125,E-500;R428-125,E-250,E-250,E-500;R428-250,E-500;R428-250,E-500,E-500,E-500;R428-500,E-500;R428-500,E-1000,E-1000,E-500;R428-1000,E-500;R428-1000,AF154,AF154,E-1000,E-1000,E-67+AF154,E-67+AF154,E-1000;R428-67,E-1000;R428-67,E-125+AF154,E-125+AF154,E-1000;R428-125,E-1000;R428-125,E-250+AF154,E-250+AF154,E-1000;R428-250,E-1000;R428-250,E-500+AF154,E-500+AF154,E-1000;R428-500,E-1000;R428-500,E-1000+AF154,E-1000+AF154,E-1000;R428-1000,E-1000;R428-1000
63,12.40384,10.86256,4.310014,3.818796,6.021048,5.935438,5.234429,3.900745,6.087125,5.0743,5.783858,4.157096,6.290961,6.077142,4.477396,2.871777,6.288666,7.289063,5.408422,3.266568,5.997445,5.70856,4.127813,3.338054,14.45065,16.87704,6.232203,3.863868,7.817157,7.709407,5.563183,3.666972,7.437608,7.278655,5.340281,3.64098,6.859443,6.536767,4.51303,3.592274,7.076608,5.911973,5.384055,3.822224,4.820722,3.437445,2.754726,2.249139
66,13.74592,12.08021,4.360317,3.802311,6.148124,5.994386,5.336032,3.946309,6.345279,5.225552,5.744427,4.113199,6.261008,6.217097,4.530047,2.878961,6.367187,7.420386,5.475906,3.347205,6.081171,5.847342,4.191283,3.327688,16.27153,18.35218,6.24298,3.954217,8.025813,7.882635,5.569096,3.715295,7.43511,7.37642,5.305411,3.640393,7.088778,6.701813,4.552037,3.612708,7.193987,5.935192,5.469406,3.852423,4.88945,3.433006,2.761295,2.305234
69,15.6938,13.76651,4.571869,3.973954,6.124822,6.201226,5.451841,4.137046,6.376939,5.232176,5.736041,4.380859,6.142605,6.374057,4.614087,2.967616,6.447566,7.366996,5.638071,3.390297,6.297599,5.988527,4.260926,3.460541,18.48907,20.28388,6.420195,4.107804,8.038993,8.226713,5.825925,3.810014,7.407288,7.53349,5.500614,3.761869,7.273041,6.871805,4.561803,3.734867,7.176791,6.073058,5.415947,3.908777,4.863909,3.457891,2.991682,2.327114
72,17.8353,14.92898,4.751925,4.399653,6.31784,6.501283,5.784268,4.497651,6.549497,5.508358,6.119537,4.657137,6.574874,6.496708,4.860221,3.380545,6.678595,7.65192,5.930671,3.844842,6.558005,6.200899,4.528819,3.783982,20.91842,22.67986,6.532219,4.238431,8.701773,8.639068,5.939399,3.951705,7.755258,7.765297,5.668133,3.918925,7.673923,7.094269,4.778846,3.74847,7.374509,6.185546,5.689644,4.164745,5.322251,3.784282,3.033435,2.590431
75,19.2095,16.63351,4.796765,4.334353,6.440286,6.69452,5.789062,4.506883,6.615439,5.470949,6.043692,4.650514,6.654679,6.64438,4.819575,3.363663,6.75168,7.662383,5.790702,3.891663,6.603665,6.243417,4.505722,3.797284,22.92937,25.57049,6.621886,4.218886,8.918882,9.062731,6.076691,3.906823,7.773492,7.944875,5.668939,3.976208,7.690217,7.111724,4.709339,3.821187,7.484621,6.212768,5.670113,4.158967,5.411167,3.812104,3.032998,2.610782
78,21.22927,18.18725,4.749194,4.307583,6.441624,6.903395,5.776483,4.556927,6.651292,5.557092,5.989783,4.677966,6.570258,6.772181,4.89251,3.339366,6.705351,7.704695,5.86884,3.847588,6.602751,6.225716,4.540838,3.83016,25.23523,28.09468,6.673596,4.335486,8.955924,9.201636,6.025376,4.092521,7.738008,7.910866,5.651742,3.987516,7.690505,7.139573,4.743881,3.892441,7.467234,6.270787,5.643684,4.183266,5.400486,3.731152,3.148615,2.541234
81,23.11212,20.02547,4.659719,4.238459,6.549566,6.859074,5.762469,4.507348,6.759206,5.546315,5.901852,4.630654,6.541041,6.773328,4.880586,3.250683,6.808825,7.689234,5.933757,3.924129,6.676982,6.347616,4.642592,3.882321,26.68567,31.20781,6.740056,4.3613,9.207604,9.224664,6.086648,4.045591,7.679155,8.043309,5.670413,4.028286,7.766594,7.204532,4.748743,3.83957,7.580925,6.28364,5.66689,4.107654,5.354594,3.818455,3.134055,2.517428
84,24.97558,21.73355,4.659405,4.019886,6.756009,7.119933,5.68134,4.491231,6.83102,5.503209,5.905157,4.522509,6.684809,6.914008,4.869564,3.316269,6.80115,7.635695,5.8498,3.829996,6.71371,6.291165,4.639095,3.985891,28.79686,34.61922,6.745397,4.388003,9.401415,9.455474,5.97648,4.058648,7.773791,8.212371,5.571651,4.036795,7.969514,7.246216,4.73417,3.825762,7.582358,6.246339,5.685779,4.114251,5.432678,3.860618,3.1138,2.448645
87,27.16524,23.48976,4.629466,3.911494,6.724731,7.115972,5.69941,4.44788,6.759069,5.54163,5.853242,4.69198,6.818387,6.788558,4.870424,3.250928,6.766403,7.599568,5.825625,3.913066,6.718695,6.341893,4.590703,3.965636,32.67831,37.52575,6.661208,4.423459,9.420291,9.611752,5.99414,3.98768,7.764819,8.260052,5.605714,4.062582,8.115535,7.193523,4.677489,3.795482,7.627199,6.280444,5.707987,4.037574,5.352559,3.782138,3.143493,2.390256
90,29.32441,25.49283,4.606944,3.933607,6.903354,7.24089,5.633085,4.399721,6.823003,5.590827,5.834845,4.74526,6.785784,6.879152,4.88325,3.227341,6.805521,7.597314,5.811871,3.811339,6.788652,6.398889,4.527794,3.970771,35.96449,40.27265,6.677133,4.398833,9.984757,9.853077,5.976207,3.986451,7.821609,8.213668,5.617365,4.05522,8.074342,7.242911,4.65315,3.774394,7.481753,6.30619,5.629316,4.019599,5.337904,3.831676,3.135708,2.367433
