Date Time,Elapsed,YAP Reporter-ECR,YAP Reporter-ECR,YAP Reporter-ECR,YAP Reporter-ECR,YAP KO-ECR,YAP KO-ECR,YAP KO-ECR,YAP KO-ECR,YAP Reporter-EXR,YAP Reporter-EXR,YAP Reporter-EXR,YAP Reporter-EXR,YAP KO-EXR,YAP KO-EXR,YAP KO-EXR,YAP KO-EXR,YAP Reporter-EDR,YAP Reporter-EDR,YAP Reporter-EDR,YAP Reporter-EDR,YAP KO-EDR,YAP KO-EDR,YAP KO-EDR,YAP KO-EDR,YAP Reporter-ETR,YAP Reporter-ETR,YAP Reporter-ETR,YAP Reporter-ETR,YAP KO-ETR,YAP KO-ETR,YAP KO-ETR,YAP KO-ETR,YAP Reporter-ETC,YAP Reporter-ETC,YAP Reporter-ETC,YAP Reporter-ETC,YAP KO-ETC,YAP KO-ETC,YAP KO-ETC,YAP KO-ETC,YAP Reporter-ETD,YAP Reporter-ETD,YAP Reporter-ETD,YAP Reporter-ETD,YAP KO-ETD,YAP KO-ETD,YAP KO-ETD,YAP KO-ETD,YAP Reporter-ETX,YAP Reporter-ETX,YAP Reporter-ETX,YAP Reporter-ETX,YAP KO-ETX,YAP KO-ETX,YAP KO-ETX,YAP KO-ETX,YAP Reporter-EA,YAP Reporter-EA,YAP Reporter-EA,YAP KO-EA,YAP KO-EA,YAP KO-EA,YAP KO-EA,YAP Reporter-EA,YAP KO-EA,YAP KO-EA,YAP KO-EA
1/14/23 1:31,80,1.392916,2.686862,1.707533,2.171861,0.4239511,0.963553,2.10246,3.544307,1.935984,2.562811,1.903597,3.360741,0.2178827,0.6763378,0.6101467,1.174948,0.2001782,0.3379896,0.4108221,0.2317116,1.543617,0.5956861,1.248617,4.944308,2.197453,4.969883,3.776172,4.289483,0.9768527,1.58029,1.978888,2.716158,2.694766,2.762135,2.941075,6.127349,1.109201,1.424108,1.93134,3.952944,0.2422626,0.3460138,0.5240316,1.867949,0.7032274,1.002632,0.5660989,1.433976,1.032476,2.386244,1.603953,3.111171,1.324113,1.700209,1.908514,0.2333336,10.82385,12.22375,12.69323,1.287321,1.703009,4.445579,2.046189,7.294358,3.451773,2.331321,6.043044
1/14/23 5:31,84,1.569619,2.801829,1.635384,2.156701,0.4857203,0.7562896,1.979588,3.53927,1.554646,2.430377,1.747432,3.182672,0.212317,0.8450509,0.631573,1.201547,0.2517551,0.3099391,0.443192,0.1830713,1.770224,0.6688258,1.11072,4.802775,2.151869,4.715073,3.435041,4.229232,1.024605,1.750505,2.122982,2.938702,2.550364,2.709022,2.893237,5.724756,1.01233,1.404116,2.367737,2.894808,0.2900322,0.3618232,0.4160805,1.596219,0.8100176,1.130422,0.7461484,1.103959,1.032971,2.237096,1.662632,2.956269,1.472782,1.59557,1.844064,0.2491259,11.3419,11.70115,12.74399,1.16187,1.925365,4.517712,2.278378,8.149926,4.191689,2.260128,3.655553
1/14/23 9:31,88,1.626608,2.931634,1.899346,2.168959,0.5519114,0.8128687,2.001509,3.396252,1.587614,2.241074,1.778744,3.264211,0.2523526,0.7947546,0.7607968,1.12711,0.2291166,0.3926737,0.4361581,0.1767032,1.721533,0.6281925,1.25379,4.981988,2.110758,4.670734,3.451773,4.254398,1.116235,1.560929,2.157691,2.957226,2.438196,2.628541,2.754879,5.582301,1.033176,1.492297,2.581949,2.328862,0.334319,0.341814,0.3958322,1.657612,0.834517,1.279109,0.6679893,0.9235857,1.303523,2.185724,1.762371,2.914151,1.360512,1.662905,1.643988,0.2255996,11.44114,11.63619,12.547,1.389416,1.99719,4.167548,2.253503,8.355789,3.217893,2.484566,2.970764
1/14/23 13:31,92,1.788953,2.958097,1.949591,2.16621,0.4103611,0.9733528,1.884714,3.171233,1.560485,2.028382,1.941191,3.549378,0.3499747,0.8437876,0.744646,1.132898,0.2329238,0.2750252,0.3999638,0.2893834,1.725443,0.6450263,1.407086,5.733174,2.089365,4.697829,3.419966,4.139122,1.132966,1.913345,2.233699,2.675593,2.334428,2.502919,2.677727,5.648287,1.116474,1.637296,2.712744,2.014416,0.3032978,0.4132464,0.5457482,1.682658,1.015744,1.157363,0.5921007,0.8945961,1.283821,2.149154,1.758547,2.905068,1.45839,1.494448,1.832335,0.1673302,11.43922,11.86016,13.01857,1.398021,1.814665,4.070814,2.397905,8.179427,3.664806,2.398861,2.607131
1/14/23 17:31,96,1.377875,2.699222,2.008185,2.242713,0.5227341,0.8437364,1.726928,2.698556,1.465236,2.096485,1.864005,3.184652,0.403071,0.7924327,0.7356145,1.055131,0.2689303,0.3008222,0.3948249,0.2764594,1.817567,0.5006419,1.408862,6.709036,2.136794,4.442454,3.189262,4.166695,0.9749747,1.812787,2.081461,2.685188,2.127438,2.541094,2.665538,5.426477,1.150175,1.543942,3.00817,1.969515,0.3271484,0.3512893,0.7729526,1.581485,1.11953,1.053014,0.4950762,0.9361683,1.193199,2.142752,1.505101,2.718617,1.521952,1.58939,1.64742,0.2469064,10.79767,12.33842,12.69943,1.282592,1.786051,4.060929,2.311909,8.191959,3.045697,2.595556,2.491003
1/14/23 21:31,100,1.412345,3.020771,1.837696,2.139218,0.5295973,1.068192,2.338406,2.258796,1.264068,2.007536,1.70207,3.292535,0.2671888,0.9264539,0.7330877,1.086477,0.2245582,0.3051758,0.4070319,0.2872152,1.817823,0.5278218,1.546229,7.384264,2.06012,4.353385,3.247275,4.123928,0.9850988,1.741935,2.114821,2.825458,1.946962,2.565594,2.473896,5.080788,1.120964,1.663502,3.112571,1.758717,0.3219925,0.3032124,0.6492774,1.383372,1.228403,1.056719,0.5600722,0.8391096,1.209008,2.297961,1.618584,2.97283,1.530352,1.566512,1.684912,0.1843688,11.6326,12.28567,13.88587,1.39604,2.074768,3.970922,2.240596,8.971331,3.091605,2.451633,2.564211
1/15/23 1:31,104,1.310028,2.661389,1.985905,2.56964,0.4959299,0.9068885,2.133687,2.168515,1.398243,2.049415,1.867164,3.308617,0.3854348,0.8831573,0.6406215,1.011169,0.1751666,0.3046124,0.3813203,0.3298118,1.785556,0.484952,1.746015,7.728689,2.055596,4.244667,3.392701,4.052701,0.9587384,1.62176,1.999716,2.823921,2.029526,2.536211,2.683208,5.295478,1.180309,1.486185,3.403559,1.707021,0.3857592,0.3325434,0.7204026,1.640522,1.122262,0.8716503,0.4900056,0.8628066,1.202777,2.266735,1.531035,2.563613,1.586743,1.739954,1.605506,0.2317458,10.81369,12.20367,13.27493,1.314091,1.436059,3.886633,2.10637,8.430859,2.810007,2.319353,2.348547
1/15/23 5:31,108,1.400257,2.812739,1.81417,1.909453,0.6130832,0.7899401,1.735123,2.066437,1.248139,2.030977,1.709053,3.60442,0.3837788,0.7177905,0.5614722,1.009888,0.2003319,0.2657548,0.411522,0.4793351,1.916572,0.5311851,1.906636,7.632228,1.908838,4.190989,3.337675,4.344388,0.9532069,1.688651,1.941703,2.860013,2.017165,2.53756,2.631938,5.08533,1.119308,1.529823,3.440932,1.7867,0.3441871,0.3609525,0.7027665,1.4707,1.016888,0.9708772,0.5822156,0.8069104,1.172711,2.314795,1.53573,2.784193,1.517121,1.888846,1.653464,0.2755887,12.00021,13.07764,13.76391,1.466688,1.537949,4.005733,2.011975,9.011282,2.82189,2.25632,2.315819
1/15/23 9:31,112,1.229717,2.724234,1.826582,2.192519,0.665377,0.7988861,1.832284,1.975832,1.253944,1.979724,1.816014,3.656185,0.4582673,0.8312391,0.59193,1.059331,0.2196924,0.3229144,0.3614818,0.4374897,1.782107,0.4922421,2.04752,7.291217,2.037038,4.216753,3.296564,4.286785,1.072597,1.443315,2.009345,2.618126,1.86532,2.519377,2.695295,5.569428,1.095594,1.466534,3.21832,2.077739,0.416661,0.2687425,0.7451581,1.749686,1.072358,0.8344658,0.4900397,0.753558,1.240268,2.313599,1.543413,2.534896,1.605028,1.658722,1.59808,0.2335043,12.43652,12.85834,13.64334,1.302123,1.534074,3.885421,2.071593,9.178305,2.877291,2.041767,2.234979
1/15/23 13:31,116,1.16467,2.577664,1.892585,2.172049,0.789701,0.8130736,1.966493,1.946228,1.325359,1.915616,1.821477,3.50661,0.4228755,0.849063,0.5944568,1.057504,0.1925467,0.3072245,0.3995199,0.4387873,1.844184,0.4538967,2.123699,6.659302,2.026572,3.997026,3.492013,4.375648,1.091206,1.299648,2.123016,2.619424,1.870083,2.388669,2.736355,6.560024,1.137644,1.483965,3.314951,2.074632,0.3795618,0.2818714,0.7807037,1.710367,0.9570995,0.9191126,0.5472506,0.7149734,1.206533,2.261152,1.452944,2.572013,1.430374,1.463649,1.591694,0.2330945,12.29859,13.63271,14.10607,1.325632,1.744171,3.730605,2.046615,9.430844,2.776835,1.948123,2.135889
