Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,MTOR UP.V1 UP,0.42526818122890736,1.402151582375864,0.18518518518518517,0.2982973753764829,0.85,31/170,15.81%,MCM6;PCNA;PSAT1;COMTD1;NEIL3;CDK1;IDH3A;EEF1E1;UBE2C;MCM5;HELLS;SCGB3A2;TMEM97;TFRC;FABP5;GPX2;PREP;HTT;IDI1;HMGCS1;NQO2;LTV1;TMEM40;CYP51A1;TIPIN;LDLR;FGFBP1;SQLE;MSMO1;DHCR7;ADORA2B
gsea,LTE2 UP.V1 DN,0.3488909343207875,1.4018829332199676,0.04878048780487805,0.28532792427315756,0.85,40/196,25.61%,CHN1;PSAT1;OAS3;NCBP1;MOCOS;SLC7A11;CHD1;GART;N4BP2L2;RFWD3;TRIM14;CAP2;TDRD7;MTMR6;EPB41L2;AMMECR1;ID1;LPGAT1;CDK8;HSPA13;ELF4;SAMD9;RNF6;ARHGAP12;ENST00000630362.2;USP25;ENST00000635371.2;ZNF268;ENST00000618924.4;NOTCH1;EIF2AK2;RPS6KA3;GAL;PLSCR1;IFRD1;SP110;PRSS23;LAMA3;RRN3;STC2
gsea,CAHOY ASTROCYTIC,0.3878749028771478,1.3932953011610039,0.10869565217391304,0.2915821501014199,0.87,15/100,21.40%,GOT2;LYRM4;SLC7A11;CORO1C;RAN;LPGAT1;CKAP5;NCEH1;NRARP;ADORA2B;IMPA2;VEGFA;ATP1A1;SPIRE1;BCAT1
gsea,CSR EARLY UP.V1 DN,-0.3878536007888046,-1.3929671101582155,0.09433962264150944,1.0,0.84,25/154,20.34%,ACYP1;NR1H3;OTUD1;ENST00000643983.1;ING4;NYNRIN;BBC3;TRIM56;DHRS3;ZFYVE1;NBPF3;INCA1;KIAA1147;STX16;TXNIP;PEX6;YPEL2;STAT2;AKIP1;LDB1;ADAMTSL4;DDX17;KIAA0319L;ADM;ZFP64
gsea,EGFR UP.V1 DN,0.31820063978036306,1.392402962693536,0.05,0.281992337164751,0.87,20/196,11.23%,CHN1;DTL;KIF11;DEPDC1;E2F8;NET1;SNX7;MOCOS;NCAPG2;NUP205;ELOVL5;STIL;RFWD3;EPB41L2;GOLGA8A;EZH2;ID1;HSPA4L;FANCL;SLC39A8
gsea,PRC2 EDD UP.V1 UP,0.38588223189357523,1.3607818870264303,0.12244897959183673,0.3293632218581509,0.91,20/193,5.62%,KIF4A;BUB1B;ORC1;NUP188;PLK1;CDCA8;MYBL2;CLSPN;MCM2;RAD54L;TACC3;MCM5;GLE1;INSIG1;MCM10;ASF1B;HELLS;CHAF1B;INCENP;PC
gsea,TBK1.DN.48HRS DN,0.4332748723067865,1.3582994196989095,0.10869565217391304,0.3206203724571991,0.91,25/50,39.98%,CDK1;ATG3;DCK;BPHL;GALE;RALB;BIRC5;IL13RA1;XBP1;TERF2IP;PDHX;UFM1;CTNNAL1;DLD;CRYZ;TRIB3;CPNE3;TOR1A;ATP6V1D;BIRC2;GTF2A2;PAFAH1B3;INPP4B;COASY;H2AFV
gsea,ALK DN.V1 UP,0.41605695109761914,1.3571571396287272,0.1346153846153846,0.31176148620367683,0.91,12/145,20.24%,PSAT1;CLSPN;GRPR;SLC7A11;SLC7A5;DECR2;MTHFD2;ADAM12;SLC1A5;VEGFA;XBP1;EPAS1
gsea,IL15 UP.V1 DN,-0.40856138361379746,-1.3502477286830143,0.0392156862745098,1.0,0.9,21/190,30.00%,PBXIP1;TCEAL4;ASPHD1;PRSS16;FSTL3;PIK3IP1;CST2;TXNIP;TNS3;DOCK3;TBC1D2;ARL4C;SLPI;EFNA1;TOM1;CCNG2;FZD2;SNAI2;PRDM11;TSC22D3;PDCD4
gsea,PTEN DN.V2 DN,-0.40591252859374516,-1.3465441224550816,0.13513513513513514,1.0,0.91,17/144,20.87%,TRPM4;MAFK;ENC1;MAPK3;UNC119;BAMBI;GPRC5C;REPS2;CRIP2;MXD3;SMAD7;BARX2;MEGF8;CRBN;AP1G2;DYRK4;TRAF2
