Gene_ID,PC9_CTRL_NOTX_1,PC9_CTRL_NOTX_2,PC9_CTRL_NOTX_3,PC9_CTRL_OT_1,PC9_CTRL_OT_2,PC9_CTRL_OT_3,PC9_YAP14_NOTX_1,PC9_YAP14_NOTX_2,PC9_YAP14_NOTX_3,PC9_YAP14_OT_1,PC9_YAP14_OT_2,PC9_YAP14_OT_3,s4006_CTRL_NOTX_1,s4006_CTRL_NOTX_2,s4006_CTRL_NOTX_3,s4006_CTRL_OT_1,s4006_CTRL_OT_2,s4006_CTRL_OT_3,s4006_YAP30_NOTX_1,s4006_YAP30_NOTX_2,s4006_YAP30_NOTX_3,s4006_YAP30_OT_1,s4006_YAP30_OT_2,s4006_YAP30_OT_3
TXN,1582.53,1565.99,1619.29,1465.97,1555.72,1469.52,1354.72,1347.23,1344.93,1204.3,1180.39,1097.46,484.094,509.29,483.066,172.902,213.216,217.577,555.467,566.38,533.887,192.607,188.438,206.473
SDF2,31.4787,34.9775,33.1459,37.7087,41.1528,40.5037,35.2441,38.6972,37.5771,42.1454,46.506,41.5063,49.6673,48.4552,43.5719,48.2526,58.3874,58.5838,48.0253,47.568,49.3067,56.1925,56.5154,57.8641
TMEM136,2.06079,2.02877,2.20936,3.35918,3.29853,3.44124,1.973,2.02248,1.90461,4.06612,3.56251,3.36662,1.32664,1.46933,1.62278,4.81335,4.73507,5.10505,0.990537,1.36835,1.201,6.49924,6.86231,6.23043
C5orf22,14.0508,13.4786,13.6474,12.8428,12.545,12.7177,14.9203,15.5284,14.5037,13.2748,12.5645,13.4168,7.50226,6.79826,7.68024,7.66801,6.80854,7.30886,7.4883,7.01054,6.59622,7.01086,6.87016,6.75858
LOC101928388,0,0.0256059,0,0.0471092,0,0.0212529,0.078881,0.05015,0,0.0482767,0.0499084,0.04183,0,0.0258968,0.0260503,0.0710862,0.0727679,0.0533563,0,0,0.044342,0.0474514,0.0250154,0
FBXO39,0,0,0.0390556,0,0,0.0667309,0.0412772,0.078728,0.0337912,0.0378937,0.156698,0.0328335,0.124678,0.0813119,0.0817941,0.0557974,0.0380783,0.0418808,0.0990395,0.132925,0.0348068,0.0372476,0,0.07633
ZC3H7B,16.6244,15.9828,16.1552,23.422,22.4089,21.609,18.0133,17.2487,16.911,21.1399,19.9549,21.057,12.9183,12.8852,12.4085,24.1292,21.9815,20.6815,11.8794,12.2801,12.266,13.4968,12.8181,12.7641
PATL2,0,0.0673033,0.0653901,0.278603,0.243407,0.418974,0.0691111,0.0988618,0.0282886,0.348953,0.262362,0.384815,0.0347919,0,0.10271,1.16778,0.605674,1.33231,0.0276372,0.0556395,0.0874146,1.87089,1.38078,2.14066
ASPSCR1,26.9046,24.6001,24.9622,31.8355,32.1851,30.9998,21.9735,20.9298,23.7459,27.2202,26.5579,28.2577,18.409,19.9054,17.4799,15.6072,20.1785,19.4519,18.3605,18.9378,17.434,17.8114,17.8904,18.5175
TNFSF11,0.116084,0.0589503,0.0286352,0.0813434,0,0.0244632,0.121071,0.11546,0.0991139,0.0555751,0.0861767,0.120384,8.04558,7.24435,7.82711,0.490997,0.362998,0.276398,7.32022,7.57862,7.81006,0.437003,0.287968,0.251879
CPSF4,30.1226,30.5519,29.0531,19.1075,19.2346,18.9974,28.5106,27.0605,30.3084,15.4711,17.1507,15.8471,22.0322,19.9346,20.2007,8.88016,8.8214,9.49985,20.0538,20.5426,21.05,9.8802,9.74548,8.18318
FRRS1,1.09904,0.973791,1.08453,0.589905,0.558332,0.492831,1.46334,1.16293,1.41757,0.425406,0.717542,0.717797,2.75024,2.01774,2.24717,1.00554,1.01245,0.742368,2.92592,2.33656,2.71455,0.748235,0.835319,1.05986
HIRA,5.93603,5.70544,6.41183,5.06398,4.6148,4.17224,6.95126,6.96884,6.4165,5.69826,5.6504,5.65525,9.98006,9.98066,10.0712,8.81862,7.65417,7.10111,9.63742,10.0962,9.94661,7.74377,7.66031,7.26898
CCDC66,4.52412,4.87054,4.88196,3.46522,3.44214,3.34847,4.72178,5.10064,5.21111,3.49444,3.47883,3.65707,2.15804,1.86627,2.11328,1.4977,1.74806,1.51287,2.3249,2.18281,2.59369,1.83806,1.93088,1.5893
OR10A7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOVA2,0,0,0,0,0,0.0291694,0.0721735,0,0.0295421,0.0331287,0,0,0.0363335,0.0710861,0.0357538,0.0975622,0.13316,0.183072,0.0288619,0.0290525,0.152147,0.325633,0.274659,0.233561
MEN1,15.0765,15.571,14.9175,16.7302,16.1556,16.0345,10.8546,10.501,11.3647,10.7261,13.0506,11.6687,10.3616,10.7356,10.7436,11.6513,11.7159,11.1466,11.4375,10.9739,11.8553,13.6251,12.3044,12.6044
TMEM5,8.90644,7.90919,7.58465,7.15304,7.14812,8.28716,10.1231,8.42842,9.43821,7.67163,8.6841,7.49156,14.1725,13.2469,15.4506,9.34569,11.359,11.2097,13.3711,15.4656,15.2052,12.9101,11.909,11.6383
SREBF2,21.555,22.8522,23.5769,35.0816,32.5639,33.6129,11.5044,11.2031,10.8671,18.9826,19.3164,20.0595,16.6292,16.1369,16.0331,16.1881,13.4684,12.9731,16.2763,15.4732,16.8619,9.65933,9.78257,9.41727
LOC100129083,0.221375,0.112426,0.218515,0.206839,0,0.0933392,0.692674,0.110095,0.189017,0,0,0,0,0,0,0,0,0,0,0.0929423,0,0,0,0
ZNF518A,2.55266,2.14578,2.37049,1.61926,1.76296,1.85965,2.72845,2.78172,2.93511,2.70894,2.48079,2.66783,3.33231,2.71603,3.46615,4.77552,3.95486,4.03252,3.52855,3.38963,3.20067,5.29476,5.00148,4.76805
FASTKD5,14.7934,13.7188,14.4907,12.3585,11.8872,12.5736,18.0126,17.7597,16.8291,12.8106,12.21,12.8462,14.0956,12.09,14.5895,10.0088,10.5843,11.0275,10.7977,10.869,11.0776,9.11091,7.72819,8.32101
SEC16B,0.257345,0.123005,0.194191,0.367743,0.430956,0.280751,0.205253,0.271024,0.155103,0.507307,0.419562,0.527475,0.38152,0.233248,0.437977,1.73943,1.51477,1.10535,0.252553,0.36862,0.279566,1.06847,1.18667,0.992681
MIR1343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDM4,1.96983,1.88651,1.86134,1.67865,1.64396,1.71968,2.33474,2.21022,2.39111,2.19237,2.23828,2.06277,1.92763,1.77527,1.74565,3.2892,2.75946,3.02252,2.23317,2.10701,1.76543,3.54119,3.75763,3.68054
TOX4,8.21817,7.87143,8.42643,10.5236,9.7043,10.9335,8.71106,8.41381,8.03407,11.0984,11.7827,11.915,14.2804,15.0549,13.5329,21.2297,21.1717,20.5168,14.0215,13.2843,14.1249,21.5709,21.197,21.3038
ERH,475.122,488.809,483.701,297.556,327.925,320.338,571.129,576.973,541.8,323.604,316.728,309.685,365.838,387.036,371.385,146.501,170.428,182.918,375.441,385.108,363.91,161.018,168.332,172.739
PDZD11,51.385,47.7298,48.6265,47.7512,49.7937,50.3099,51.3319,53.2672,51.4241,49.9996,51.8546,46.9215,156.45,165.626,140.631,90.8331,103.429,102.282,152.715,154.237,154.319,87.8307,88.5677,94.4406
DPYS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUC22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF695,7.25697,6.68306,7.23823,2.20917,2.62123,3.63977,8.00594,6.861,7.10061,1.51477,1.67545,2.10074,3.01772,3.08831,3.07899,0.201431,0.454627,0.501681,2.70277,3.4392,2.45756,0.369686,0.38461,0.4576
ALOX15,0.72314,0.758191,0.621519,1.4058,1.54241,1.50441,0.754227,0.719269,0.497937,2.97063,2.82858,3.08679,0.0244963,0.0958499,0.0964183,1.01954,1.16711,1.22194,0,0.0195874,0.020515,1.92094,1.86334,1.78839
GATA3,10.4382,10.728,10.8576,26.2138,25.2504,22.0706,13.0355,12.69,13.8248,30.8105,32.8681,34.7158,2.7145,2.19755,2.16887,6.01892,5.90319,5.76652,3.26657,3.44078,3.83514,9.17494,8.79332,8.66085
MIR7153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL15,3.05764,2.92754,3.32281,4.38301,4.60626,4.57476,2.5812,2.30344,2.23171,3.12612,3.14526,2.90048,4.24463,4.00268,3.39343,3.82683,4.69754,4.88671,3.74219,3.8889,3.38639,2.83279,3.66135,3.47379
SLC30A1,15.0913,14.421,15.3019,9.0028,10.6653,10.033,16.8382,18.9457,17.5439,10.1119,10.1378,11.3027,6.80146,6.0307,7.58307,7.69212,7.27548,7.22544,4.97697,6.10825,5.07888,8.07748,8.2631,7.7228
MAGI1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC101927497,1.57181,2.53468,2.78934,0.704623,3.81281,1.9799,2.23184,1.48988,1.29566,0.614669,1.4827,1.42023,0.269645,0.219949,0,0.724046,0,0,0.425756,0.646829,0,0.967351,0,0.247621
NT5C3B,35.5805,36.4002,37.5248,33.8675,33.0356,32.3042,35.3996,38.2091,34.1356,31.9883,30.7151,30.2057,19.2287,22.3809,19.3888,18.5215,22.6577,21.0173,15.5344,18.2186,16.2769,17.197,17.7828,17.9529
THRIL,0,0,0,0.0101441,0,0,0.0679424,0,0,0,0.0322406,0,0,0,0,0,0,0,0,0,0,0,0,0
CCL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPEF1,1.50732,1.70111,2.066,2.46461,1.99946,2.71809,2.40185,2.24888,2.57401,3.92886,3.81297,4.13368,0.0439687,0.0860262,0.216341,0.059032,0.0805714,0.0886172,0,0,0.0368248,0.197036,0.124641,0.0403774
PCK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-76P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUBB3,41.815,41.8421,37.2032,31.8743,30.1137,30.3941,53.0286,53.0749,53.0857,41.2703,45.115,43.2535,98.4161,105.95,97.1859,133.903,132.488,136.091,81.2126,83.4084,89.8533,101.407,106.021,105.642
TRMT10C,43.1769,41.9203,46.6468,29.5643,28.3779,32.2374,49.0434,51.5069,52.558,33.6746,32.4383,31.6653,34.4132,34.4981,37.6553,17.1583,18.4297,20.6433,39.3127,37.4101,35.2433,20.8161,19.8467,20.1045
FAXC,0.393155,0.417761,0.381976,0.20345,0.238849,0.362017,0.826421,0.607632,0.712694,0.44015,0.38318,0.331193,1.27034,1.49111,1.49995,3.93982,3.83515,3.9365,1.44302,1.25956,1.44147,2.76635,2.79087,3.05061
LINC00906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6632,0,0,0,0,0
PGAM1,135.083,133.08,136.397,78.1673,80.6549,79.3001,129.877,127.323,129.639,64.4694,64.8118,62.6802,224.911,241.772,216.767,105.972,107.563,106.901,200.49,202.074,204.486,81.5449,84.3003,81.875
USP27X,1.06659,0.894933,1.07539,1.36485,1.2776,1.15328,0.991522,1.36069,1.16806,1.30987,1.37709,1.40426,2.65402,3.28692,2.89909,4.52764,4.93035,4.5639,2.74653,2.84254,2.44698,5.14986,5.36081,5.34406
GDE1,48.5744,49.4448,49.7291,68.2652,70.4009,67.8387,46.7331,44.2724,46.3538,78.7118,80.8903,78.8682,40.3404,40.9395,42.8226,63.4561,61.9994,61.8408,47.5552,48.9089,46.7948,83.7791,81.5087,83.5821
LOC101927311,0,0,0,0,0,0,0,0,0.0882535,0,0.102313,0.0857521,0,0,0,0.218592,0,0,0,0,0,0.0973005,0.205128,0.0996766
CDK5R2,0,0.025286,0.0736995,0.0930413,0.114311,0.0419747,0.129826,0.123808,0.0850246,0.381388,0.640703,0.433727,0.0261427,0.0255732,0.0514496,0.0526485,0.0479058,0.105379,0.0207667,0.0418077,0,0.0234292,0.0494057,0.0480149
CACNA1G,0.0233513,0.0395348,0.0230419,0.0286981,0.0142942,0.0131213,0.0793936,0.0464597,0.0520058,0.0149036,0.0462359,0.0452115,0.0163454,0.00799104,0.0160832,0,0.00748511,0.00823262,0.00648949,0.00653234,0.00684136,0,0,0.00732911
MRPL32,78.6983,75.9933,82.9198,67.3048,67.5469,65.3624,97.8291,93.0431,92.3305,74.3032,76.1466,70.1193,152.442,162.235,151.777,84.7329,98.4445,103.901,153.671,154.474,144.162,107.188,96.5885,102.166
NRXN1,0,0,0,0,0,0,0,0,0,0.0103064,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBL2,17.6242,18.0358,17.5224,18.8221,18.7436,18.0236,17.69,15.8652,16.1373,19.445,18.6273,18.1606,11.3274,11.4055,12.4433,8.54649,9.19052,8.46677,11.305,10.6599,11.398,9.20076,9.39726,8.97526
SLC9C1,0,0,0,0,0,0,0.0153895,0.0146762,0,0,0,0.0122414,0,0,0,0.0832127,0.0851813,0.109302,0.0369253,0.0123897,0,0.124974,0.0439241,0.0284584
OSGIN2,13.5615,13.8082,14.9201,23.4061,23.8329,25.0128,12.8522,12.912,13.442,20.6224,19.8808,20.543,5.79349,6.01044,6.59453,5.68259,5.74472,6.24924,7.01317,7.48952,6.62776,5.16716,5.24249,5.34444
SNORD18B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL21A1,0.0145692,0,0.0575061,0.108901,0.0802772,0.196511,0.0455866,0.0434736,0.037319,0.139499,0.0721071,0.0966968,1.57584,1.3918,1.83663,8.84286,9.51815,9.25063,1.77437,1.78609,1.69125,16.3846,16.7554,16.8598
ZNF2,0.969532,1.12774,1.01885,1.27193,1.55481,1.40946,1.01209,1.29141,1.21517,1.33259,1.22547,1.38709,0.689703,0.77996,0.847965,1.41663,1.07194,1.3149,0.72474,0.759914,0.743495,1.46641,1.06613,1.17556
CYP1A2,0,0,0,0.0184888,0.0363446,0.0500454,0,0.0196822,0,0.018947,0,0,0.0207799,0,0,0.0557979,0.028559,0.125644,0,0,0,0.0186228,0.0196354,0.0190827
IL21R-AS1,0,0,0,0,0,0,0,0,0,0,0.0475239,0,0,0,0,0,0,0,0,0,0,0,0,0
APOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALD1,34.6743,34.238,35.9665,59.9527,56.3132,56.912,30.1741,29.1768,30.3604,38.5693,36.016,37.0414,27.2565,24.2874,29.8352,35.1471,34.588,36.5778,26.57,26.6956,25.69,26.2437,25.5482,26.3879
CATSPER2,0.802696,0.814168,0.773681,0.547508,0.431312,0.589661,0.529225,0.658571,0.43242,0.908691,0.615282,0.477089,0.231765,0.226728,0.255968,0.571199,0.509069,0.700664,0.280425,0.430987,0.368503,0.893208,0.947914,1.04093
FBLN5,0.309627,0.120958,0.0705095,0.178029,0.153108,0.120473,0.0248414,0.16583,0.101681,0.228051,0.0943035,0.0987989,0.250112,0.318061,0.0984453,0.772338,1.30622,1.109,0.0198679,0.119995,0.0209463,0.515548,0.519941,0.528273
GABRA3,2.3758,2.36758,2.58773,3.91607,3.43737,3.3822,3.1091,3.05417,2.90885,5.1076,5.05837,5.85734,0.0706097,0.0690709,0.0463203,0.0474001,0.12939,0.189748,0,0,0,0.0632804,0,0
MTRNR2L10,0.252867,0,0.218367,0.374084,0.203192,0.124368,0,0.0838378,0,0.302649,0.0938632,0.15734,0,0.043298,0.0653321,0.430787,0.39536,0.345642,0.193357,0.053082,0.148275,0.297511,0.407738,0.497865
KMT2A,4.03251,3.57614,3.41798,4.23582,3.6898,3.17032,3.44331,3.25825,2.955,4.10034,3.48512,3.71537,1.72638,1.47129,1.76064,4.05105,2.36589,2.09814,1.97955,1.9255,1.86144,2.46017,2.26851,2.29651
GPR114,0.0162627,0,0.0320954,0.0455846,0,0.0274193,0.0169618,0,0.0138857,0.0155715,0.0321955,0.0134921,0,0,0,0,0,0,0,0,0,0,0.0161372,0
KLHL4,0.222233,0.250757,0.292328,0.576549,0.566721,0.728054,0.437723,0.417343,0.421552,1.20495,1.53885,1.3514,2.59161,2.05346,1.81004,2.2091,2.27921,1.82753,1.8723,1.74047,2.3006,1.97401,1.32195,1.80885
TMCO5B,0,0,0,0,0.0816329,0,0.0927128,0,0,0,0,0,0.186694,0.0913319,0,0,0,0,0,0,0,0,0,0
SLC35E2B,7.84696,7.56584,7.37284,13.1764,11.8658,11.783,5.24015,5.45346,5.2275,11.6307,10.5599,10.6466,3.96211,3.72728,4.28667,13.1641,11.6681,10.2079,4.41559,4.18906,4.21125,14.0768,13.9276,13.3555
SNORA2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACRC,0.155588,0.118523,0.0959576,0.109029,0.178604,0.18035,0.141992,0.174099,0.149452,0.242083,0.288767,0.145216,0.857775,0.639294,0.743566,0.836312,0.729788,0.884988,0.924733,0.881848,0.974911,1.73879,1.77545,1.95053
IL31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IFNA22P,0,0,0,0,0,0,0,0,0,0,0.0854908,0,0.0906958,0,0,0,0,0,0,0,0,0,0,0
NUP214,5.25998,5.549,5.02063,5.27973,4.27062,4.11786,5.44534,5.63607,5.12512,5.38065,5.62439,5.74499,3.39789,3.36382,4.15097,6.81542,4.66238,4.07756,4.38774,4.10171,4.36447,5.70393,5.3745,4.8162
GATA6-AS1,1.42533,1.37348,1.51478,4.09768,4.2289,3.85145,0.876717,1.16324,1.31061,3.84929,3.03881,3.79008,0.0383788,0.0375441,0.2266,0.103054,0.0351641,0.0773511,0.0609732,0.0920637,0.12857,0.171983,0,0
SRD5A3-AS1,0.0803611,0.0816233,0,0.150169,0.147598,0.203278,0.251447,0,0,0.384727,0.0795459,0.133341,0,0.247695,0.166109,0.16995,0.309281,0.340166,0.0670352,0.0674779,0.141373,0.0756433,0.159482,0.154993
PKD2L2,0,0,0,0,0.0251483,0,0,0,0,0.0550224,0,0.0238374,0,0,0,0.0772177,0,0,0,0,0,0.0270412,0.0285108,0
TYK2,7.1208,8.1331,7.91553,9.40539,8.9161,8.41368,7.76993,6.84091,7.23982,7.65328,9.18579,9.68001,9.05433,8.3427,7.69774,13.6582,11.3776,10.925,8.32553,8.21242,8.36218,12.232,11.5494,12.417
ULK4P3,4.26E-06,0,1.23E-05,4.35E-06,0,3.59E-06,5.18E-06,4.73E-06,4.06E-06,0,0,3.53E-06,0.322797,0.793713,0.887808,0.888477,1.21005,1.35408,0.502778,0.448246,0.998487,1.38539,0.548276,0.569028
XPO7,15.0783,15.3529,15.0625,11.5489,11.1916,11.1941,14.2833,14.5162,13.6373,10.7181,10.4907,10.5738,9.7741,9.28033,9.46358,10.1044,7.9882,7.99793,10.7456,9.47229,10.2807,7.94172,8.33682,8.41329
MAP4K3,9.20688,8.50843,9.9263,9.60819,9.58942,10.2016,10.4279,10.4487,10.7414,11.0196,8.92506,10.6816,9.75017,8.63872,10.1103,12.6205,11.56,12.8642,8.65894,8.7424,8.14305,12.4782,11.9871,11.3687
C6orf226,14.0675,11.3967,13.8883,14.0827,15.2257,14.2661,11.7029,12.3265,13.1553,19.5629,20.0584,19.3125,4.57247,6.36813,5.02083,10.6251,12.7295,14.0007,7.26437,6.32799,4.56785,13.8761,13.959,14.3735
CAMK2N2,2.30521,2.03601,2.17607,1.17057,1.33461,1.64777,2.45657,2.34271,1.96826,0.911679,0.942491,0.623633,8.36736,8.95797,6.36991,1.41308,2.02511,1.80308,8.90406,11.1931,10.49,1.32066,1.09398,1.69143
TGFBR3,0.303461,0.290765,0.233939,0.224233,0.287391,0.202357,0.326398,0.245242,0.2753,0.236076,0.158405,0.291653,0.627387,0.740324,0.774106,0.434536,0.350206,0.441562,0.480239,0.589255,0.508718,0.580089,0.536397,0.585295
STMN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403979,0.082715,0,0,0,0.0251924,0.026959,0,0
MIR3202-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC101927322,0.405272,1.1173,0.799936,0.324567,0.478516,0.292882,0.422695,0.403103,0.296602,0.221741,0.0573088,0.144097,0.486383,0.654276,0.358994,0.0408134,0.0557052,0.183804,0.724431,0.486143,0.305534,0.16348,0.114899,0.223328
XRCC2,8.48617,7.41813,6.79357,1.6449,1.85406,1.95162,7.00077,6.81752,7.11764,0.734578,0.859326,0.698457,3.13775,3.02787,3.29617,0.270411,0.320515,0.0640949,3.78086,2.78868,3.16041,0.133001,0.0801334,0.155755
VPS35,41.8248,41.3949,43.9583,34.9041,34.0825,36.177,46.9317,46.9224,47.3642,40.7121,37.0895,38.0555,44.4534,41.3629,43.4994,45.4569,48.3881,47.3399,40.6205,42.9222,41.8093,48.0537,47.109,45.5837
LOC101929260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMAHP,0.0727711,0.258702,0.0930405,0.239852,0.108264,0.214869,0.0646043,0.108573,0.0654914,0.0489387,0.147506,0.175782,0,0,0,0.054071,0.0245885,0.0540879,0,0,0,0.034245,0.0722103,0.105266
MUC12,0.057373,0.0254949,0.0424591,0.0201022,0.019758,0.0272048,0.0598394,0.0534992,0.0336786,0.0377673,0.0674393,0.0505734,0.056483,0.0773482,0.100037,0.0859449,0.0172506,0.0379465,0.047859,0.0812955,0.100907,0.0371191,0.0462558,0.0276638
UBE3C,26.0331,26.2768,25.7114,18.0935,16.8023,17.7447,21.5424,20.1049,21.3352,13.6812,12.8097,13.4734,14.1874,14.0269,14.032,12.9634,11.2889,10.6521,15.3301,14.7681,15.0174,11.0198,10.236,10.228
TNFSF15,0.252075,0.416493,0.304012,0.233213,0.257422,0.385486,0.506762,0.39089,0.567163,0.478612,0.545245,0.518953,11.1967,9.8392,11.1125,10.7674,11.6994,11.7316,13.0565,11.8472,11.7206,16.5855,17.2809,15.5252
