Cell Line,Treatment,ImageNumber,ObjectNumber,Math_logNucbyCyto,
WT,UT,5,216,0.101398459,
WT,UT,5,217,0.126564356,
WT,UT,5,218,0.047181392,
WT,UT,5,219,0.327157939,
WT,UT,5,220,0.095375117,
WT,UT,5,221,0.190639037,
WT,UT,5,222,-0.081813671,
WT,UT,5,223,0.139834197,
WT,UT,5,224,0.209960333,
WT,UT,5,225,0.241587719,
WT,UT,5,226,0.239861125,
WT,UT,5,227,0.048215773,
WT,UT,5,228,0.09638577,
WT,UT,5,229,0.205867949,
WT,UT,5,230,0.202873099,
WT,UT,5,231,0.082918033,
WT,E,1,1,0.099292713,
WT,E,1,2,0.114387857,
WT,E,1,3,-0.020373197,
WT,E,1,4,0.083543938,
WT,E,1,5,0.082269228,
WT,E,1,6,0.140868947,
WT,E,1,7,0.086732221,
WT,E,1,8,0.05800337,
WT,E,1,9,0.123402953,
WT,E,1,10,0.078103037,
WT,E,1,11,0.150137193,
WT,E,1,12,0.164505729,
WT,E,1,13,0.092019781,
WT,E,1,14,0.185545311,
WT,E,1,15,0.108140934,
WT,E,1,16,0.121702302,
WT,E,1,17,0.188526746,
WT,E,1,18,0.052342443,
WT,E,1,19,0.045581429,
WT,E,1,20,0.029336908,
WT,E,1,21,0.077040514,
WT,E,1,22,0.008775839,
WT,E,1,23,0.061103309,
WT,E,2,1,0.054964495,
WT,E,2,2,0.07707638,
WT,E,2,3,0.046494105,
WT,E,2,4,0.141425338,
WT,E,2,5,0.082000722,
WT,E,2,6,0.042169149,
WT,E,2,7,0.084047704,
WT,E,2,8,0.116642222,
WT,E,2,9,0.105481193,
WT,E,2,10,0.054556159,
WT,E,2,11,0.119429651,
WT,E,2,12,0.199215405,
WT,E,2,13,0.099777481,
WT,E,2,14,0.12696669,
WT,E,2,15,-0.015153465,
WT,E,2,16,0.058571008,
WT,E,2,17,0.064543846,
WT,E,2,18,0.203499324,
WT,E,2,19,0.076040843,
WT,E,2,20,0.181771927,
WT,E,2,21,0.006265911,
WT,E,2,22,-0.00097348,
WT,E,2,23,0.046930883,
WT,E,2,24,0.081309272,
WT,E,2,25,0.048311461,
WT,E,2,26,0.08824685,
WT,E,2,27,0.083046818,
WT,E,2,28,-0.186414379,
WT,E,2,29,-0.076628983,
WT,E,2,30,0.048754731,
WT,E,2,31,0.179659355,
WT,E,2,32,0.117081095,
WT,E,2,33,0.143140853,
WT,E,2,34,0.085001229,
WT,E,2,35,0.053219695,
WT,E,2,36,0.087793415,
WT,E,2,37,0.084579367,
WT,E,2,38,0.146897538,
WT,E,2,39,0.069515935,
WT,E,3,1,-0.063360697,
WT,E,3,2,0.041667135,
WT,E,3,3,-0.083056628,
WT,E,3,4,0.084058967,
WT,E,3,5,0.033022063,
WT,E,3,6,0.059452364,
WT,E,3,7,0.026687046,
WT,E,3,8,0.072606994,
WT,E,3,9,0.042481816,
WT,E,3,10,0.063704789,
WT,E,3,11,0.087532666,
WT,E,3,12,0.047036153,
WT,E,3,13,0.016483831,
WT,E,3,14,0.089501027,
WT,E,3,15,0.0815615,
WT,E,3,16,0.112388007,
WT,E,3,17,0.074908354,
WT,E,3,18,0.061917279,
WT,E,3,19,0.018293593,
WT,E,3,20,0.173959015,
WT,E,3,21,0.037850512,
WT,E,3,22,0.195930817,
WT,E,3,23,0.092453851,
WT,E,3,24,0.205029872,
WT,E,3,25,0.106011896,
WT,E,3,26,0.182874569,
WT,E,3,27,0.080343188,
WT,E,3,28,0.031924636,
WT,E,3,29,0.073022038,
WT,E,3,30,0.086519039,
WT,E,4,1,0.025160413,
WT,E,4,2,0.025945002,
WT,E,4,3,0.04171744,
WT,E,4,4,0.087155403,
WT,E,4,5,0.015379526,
WT,E,4,6,0.026359856,
WT,E,4,7,0.083083777,
WT,E,4,8,0.126096639,
WT,E,4,9,0.048721478,
WT,E,4,10,0.05529576,
WT,E,4,11,0.090902682,
WT,E,4,12,0.06278144,
WT,E,4,13,0.065567759,
WT,E,4,14,0.054140287,
WT,E,4,15,0.042837038,
WT,E,4,16,-0.018820751,
WT,E,4,17,0.053163358,
WT,E,4,18,0.060232387,
WT,E,4,19,0.033917709,
WT,E,4,20,0.067159826,
WT,E,4,21,0.052339635,
WT,E,4,22,0.058033102,
WT,E,4,23,0.053032969,
WT,E,4,24,-0.100923598,
WT,E,4,25,0.042347086,
WT,E,4,26,0.042298845,
WT,E,4,27,0.051689028,
WT,E,4,28,0.045513717,
WT,E,4,29,0.070067462,
WT,E,4,30,0.085583175,
WT,E,4,31,0.086268702,
WT,E,4,32,0.054321355,
WT,E,4,33,0.099266436,
WT,E,4,34,0.092171384,
WT,E,4,35,0.018348737,
WT,E,4,36,0.07246195,
WT,E,4,37,0.057985591,
WT,E,4,38,0.031021935,
WT,E,4,39,0.124989016,
WT,E,4,40,0.049270154,
WT,E,4,41,0.083432213,
WT,E,4,42,-0.024234422,
WT,E,4,43,0.082238547,
WT,E,4,44,0.048996313,
WT,E,4,45,0.037828045,
WT,E,4,46,0.047453304,
WT,E,4,47,0.04403751,
WT,E,4,48,-0.022035451,
WT,E,4,49,0.04119594,
WT,E,4,50,0.102738556,
WT,E,4,51,0.00128028,
WT,E,4,52,-0.074892737,
WT,E,4,53,0.028147397,
WT,E,4,54,0.075526347,
WT,E,4,55,0.0827277,
WT,E,4,56,0.057630613,
WT,E,4,57,0.057443704,
WT,E,4,58,0.013513338,
WT,E,4,59,0.036185664,
WT,E,4,60,0.084062774,
WT,E,4,61,0.019298335,
WT,E,4,62,-0.052557491,
WT,E,4,63,-0.01115393,
WT,E,4,64,0.117840813,
WT,E,4,65,-0.003694461,
WT,E,4,66,-0.049909949,
WT,E,4,67,0.000637043,
WT,E,4,68,0.114325709,
WT,E,4,69,0.036373559,
WT,E,4,70,-0.013968741,
WT,E,4,71,-0.018385664,
WT,E,4,72,0.072068999,
WT,E,4,73,0.036086522,
WT,E,5,1,0.007890203,
WT,E,5,2,0.023571807,
WT,E,5,3,0.035441716,
WT,E,5,4,0.014189772,
WT,E,5,5,-0.1656385,
WT,E,5,6,0.00894805,
WT,E,5,7,0.107873756,
WT,E,5,8,0.100197486,
WT,E,5,9,0.049824823,
WT,E,5,10,0.018593132,
WT,E,5,11,0.067199516,
WT,E,5,12,0.039615432,
WT,E,5,13,0.051701668,
WT,E,5,14,0.059947628,
WT,E,5,15,0.030508845,
WT,E,5,16,-0.0410084,
WT,E,5,17,-0.038053213,
WT,E,5,18,0.0498465,
WT,E,5,19,0.0451931,
WT,E,5,20,0.03828079,
WT,E,5,21,0.038441756,
WT,E,5,22,0.084979461,
WT,E,5,23,0.064649934,
WT,E,5,24,0.033772337,
WT,E,5,25,0.037514959,
WT,E,5,26,-0.072377905,
WT,E,5,27,0.001942598,
WT,E,5,28,0.110362518,
WT,E,5,29,0.049820523,
WT,E,5,30,0.025259658,
WT,E,5,31,0.083094499,
WT,E,5,32,0.142310644,
WT,E,5,33,0.022735633,
WT,E,5,34,-0.090412127,
WT,E,5,35,0.04924225,
WT,E,5,36,0.027489832,
WT,E,5,37,0.018996629,
WT,E,5,38,0.048955739,
WT,E,5,39,0.088821773,
WT,E,6,1,0.083694739,
WT,E,6,2,0.127292997,
WT,E,6,3,0.081900856,
WT,E,6,4,0.114501275,
WT,E,6,5,0.230803554,
WT,E,6,6,0.150429264,
WT,E,6,7,0.029716709,
WT,E,6,8,0.156312459,
WT,E,6,9,0.290987311,
WT,E,6,10,0.159181291,
WT,E,6,11,0.032667471,
WT,E,6,12,0.129031307,
WT,E,6,13,0.187302446,
WT,E,6,14,0.214734234,
WT,E,6,15,0.322196427,
WT,E,6,16,0.308280195,
WT,E,6,17,0.251876322,
WT,E,6,18,0.262786686,
WT,E,6,19,0.169138566,
WT,E,6,20,0.243121215,
WT,E,6,21,0.130731936,
WT,E,6,22,0.133840087,
WT,E,6,23,0.291575507,
WT,E,6,24,0.081031721,
WT,E,6,25,0.183774581,
WT,E,6,26,0.222081559,
WT,E,6,27,0.163979478,
WT,E,6,28,0.184782456,
WT,E,6,29,0.311452597,
WT,E,6,30,0.195361666,
WT,E,6,31,0.329536016,
WT,E,6,32,0.306568653,0.075519362
WT,EA,1,1,0.132482737,
WT,EA,1,2,0.277209649,
WT,EA,1,3,0.063219213,
WT,EA,1,4,0.099912567,
WT,EA,1,5,0.061069654,
WT,EA,1,6,0.100625493,
WT,EA,1,7,0.109706041,
WT,EA,1,8,0.21847496,
WT,EA,1,9,0.233765567,
WT,EA,1,10,0.135334835,
WT,EA,1,11,0.085396735,
WT,EA,1,12,0.155545508,
WT,EA,1,13,0.138874938,
WT,EA,1,14,0.157345754,
WT,EA,1,15,0.10531957,
WT,EA,1,16,0.046349449,
WT,EA,1,17,0.159492668,
WT,EA,1,18,0.161916407,
WT,EA,1,19,0.193687472,
WT,EA,1,20,0.223070802,
WT,EA,1,21,0.104431264,
WT,EA,1,22,0.088868834,
WT,EA,2,1,0.046749043,
WT,EA,2,2,-0.067283254,
WT,EA,2,3,0.108246951,
WT,EA,2,4,0.126621242,
WT,EA,2,5,0.196685209,
WT,EA,2,6,0.079338327,
WT,EA,2,7,0.193535121,
WT,EA,2,8,0.132038378,
WT,EA,2,9,0.154352553,
WT,EA,2,10,-0.026959778,
WT,EA,2,11,0.161851697,
WT,EA,2,12,0.126682827,
WT,EA,2,13,0.194849594,
WT,EA,2,14,0.123020024,
WT,EA,2,15,0.187748518,
WT,EA,2,16,0.119892458,
WT,EA,2,17,0.119603247,
WT,EA,2,18,0.118522086,
WT,EA,2,19,0.166073286,
WT,EA,2,20,0.134887371,
WT,EA,2,21,0.258331777,
WT,EA,2,22,0.131246344,
WT,EA,3,1,0.046814681,
WT,EA,3,2,0.050476817,
WT,EA,3,3,0.12621705,
WT,EA,3,4,0.166801853,
WT,EA,3,5,0.199436725,
WT,EA,3,6,0.193728769,
WT,EA,3,7,0.101812209,
WT,EA,3,8,0.17347653,
WT,EA,3,9,0.204433831,
WT,EA,3,10,0.104637991,
WT,EA,3,11,0.12860148,
WT,EA,3,12,0.163179481,
WT,EA,3,13,0.121784149,
WT,EA,3,14,0.165542442,
WT,EA,3,15,0.178401609,
WT,EA,3,16,0.166438025,
WT,EA,3,17,-0.023357637,
WT,EA,3,18,-0.050918238,
WT,EA,3,19,0.19792095,
WT,EA,3,20,-0.010392262,
WT,EA,3,21,0.17562006,
WT,EA,3,22,0.123416044,
WT,EA,3,23,0.119712404,
WT,EA,3,24,0.190888666,
WT,EA,3,25,0.171906155,
WT,EA,3,26,0.180842974,
WT,EA,3,27,0.126763615,
WT,EA,3,28,0.14840035,
WT,EA,3,29,0.011291617,
WT,EA,3,30,0.101166018,
WT,EA,3,31,0.116757548,
WT,EA,3,32,0.157289101,
WT,EA,3,33,0.129661798,
WT,EA,3,34,0.090635764,
WT,EA,3,35,0.172489989,
WT,EA,4,1,-0.018584507,
WT,EA,4,2,-0.065065773,
WT,EA,4,3,0.151662187,
WT,EA,4,4,0.141565296,
WT,EA,4,5,-0.020041841,
WT,EA,4,6,0.084480029,
WT,EA,4,7,0.107420448,
WT,EA,4,8,0.17823819,
WT,EA,4,9,0.179636921,
WT,EA,4,10,0.138522585,
WT,EA,4,11,0.117369156,
WT,EA,4,12,0.119551574,
WT,EA,4,13,0.090645235,
WT,EA,4,14,-0.025036997,
WT,EA,4,15,0.099662735,
WT,EA,4,16,0.085038542,
WT,EA,4,17,0.132589036,
WT,EA,4,18,0.09064508,
WT,EA,4,19,0.107998599,
WT,EA,4,20,0.151006356,
WT,EA,4,21,0.119490742,
WT,EA,4,22,0.098684,
WT,EA,4,23,0.066539061,
WT,EA,4,24,0.133080296,
WT,EA,4,25,0.080254399,
WT,EA,4,26,0.079208705,
WT,EA,4,27,0.31070162,
WT,EA,4,28,0.051873805,
WT,EA,5,1,0.100367623,
WT,EA,5,2,0.076720281,
WT,EA,5,3,0.043278096,
WT,EA,5,4,0.067114991,
WT,EA,5,5,0.06616368,
WT,EA,5,6,0.069939511,
WT,EA,5,7,0.114126006,
WT,EA,5,8,-0.025391045,
WT,EA,5,9,0.100832119,
WT,EA,5,10,0.037068902,
WT,EA,5,11,0.059827272,
WT,EA,5,12,0.023450541,
WT,EA,5,13,0.127041685,
WT,EA,5,14,0.10222736,
WT,EA,5,15,0.127150758,
WT,EA,5,16,0.132682093,
WT,EA,5,17,0.109240041,
WT,EA,5,18,0.101442455,
WT,EA,5,19,0.09730095,
WT,EA,5,20,0.198532286,
WT,EA,5,21,0.089284793,
WT,EA,5,22,0.049525741,
WT,EA,5,23,0.154791011,
WT,EA,5,24,0.112838119,
WT,EA,5,25,0.108687784,
WT,EA,5,26,0.146160143,
WT,EA,5,27,0.170662992,
WT,EA,5,28,0.150400754,
WT,EA,5,29,0.168604844,
WT,EA,5,30,0.148853625,
WT,EA,6,1,0.025304933,
WT,EA,6,2,-0.02926662,
WT,EA,6,3,0.106939287,
WT,EA,6,4,0.127916187,
WT,EA,6,5,0.132959748,
WT,EA,6,6,0.153829237,
WT,EA,6,7,0.133638665,
WT,EA,6,8,0.123022616,
WT,EA,6,9,0.187107234,
WT,EA,6,10,0.146542256,
WT,EA,6,11,0.141722669,
WT,EA,6,12,0.157490337,
WT,EA,6,13,0.152459379,
WT,EA,6,14,0.101037211,
WT,EA,6,15,0.201011153,
WT,EA,6,16,0.105395771,
WT,EA,6,17,0.164634067,
WT,EA,6,18,0.135973931,
WT,EA,6,19,0.172063943,
WT,EA,6,20,0.08426224,
WT,EA,6,21,0.056396637,
WT,EA,6,22,0.19739628,
WT,EA,6,23,0.100585832,
WT,EA,6,24,0.091514385,
WT,EA,6,25,0.060888818,
WT,EA,6,26,0.086925642,
WT,EA,6,27,0.094666612,
WT,EA,7,1,0.11650601,
WT,EA,7,2,0.123256821,
WT,EA,7,3,0.060932309,
WT,EA,7,4,0.201437716,
WT,EA,7,5,0.182555568,
WT,EA,7,6,0.142265287,
WT,EA,7,7,0.101593907,
WT,EA,7,8,0.19256313,
WT,EA,7,9,0.186248574,
WT,EA,7,10,0.154998577,
WT,EA,7,11,0.186797829,
WT,EA,7,12,0.269638257,
WT,EA,7,13,0.132787438,
WT,EA,7,14,0.207022366,
WT,EA,7,15,0.065261623,
WT,EA,7,16,0.214766583,
WT,EA,7,17,0.172248813,
WT,EA,7,18,0.223519877,
WT,EA,7,19,0.236639436,
WT,EA,7,20,0.223025805,
WT,EA,7,21,0.277817363,
WT,EA,7,22,0.269432967,
WT,EA,7,23,0.11746889,
WT,EA,7,24,0.216566346,
WT,EA,7,25,0.083524886,
WT,EA,7,26,0.058990296,
WT,EA,7,27,0.225115842,
WT,EA,7,28,0.251118769,
WT,EA,7,29,0.145898496,
WT,EA,7,30,0.214829823,
WT,EA,7,31,0.07109823,
WT,EA,7,32,0.053342458,
WT,EA,7,33,0.07983565,
WT,EA,7,34,0.138400063,
WT,EA,7,35,0.10022363,
WT,EA,7,36,0.150179704,
WT,EA,7,37,0.267507371,
WT,EA,7,38,0.17305727,
WT,EA,7,39,0.10764345,
WT,EA,7,40,0.10560753,
WT,EA,7,41,0.108967769,
WT,EA,7,42,0.043433,
WT,EA,7,43,0.06201334,
WT,EA,7,44,0.130925167,
WT,EA,7,45,0.057183636,
WT,EA,7,46,0.10314353,
WT,EA,8,1,0.210269701,
WT,EA,8,2,0.099705604,
WT,EA,8,3,0.162902871,
WT,EA,8,4,-0.025064089,
WT,EA,8,5,0.058330265,
WT,EA,8,6,0.107460116,
WT,EA,8,7,0.139995219,
WT,EA,8,8,0.065242401,
WT,EA,8,9,0.104426076,
WT,EA,8,10,0.10819122,
WT,EA,8,11,-0.002773794,
WT,EA,9,1,0.034468979,
WT,EA,9,2,0.082612835,
WT,EA,9,3,0.085711231,
WT,EA,9,4,0.061495632,
WT,EA,9,5,0.145765481,
WT,EA,9,6,0.043643604,
WT,EA,9,7,0.168852753,
WT,EA,9,8,0.089946533,
WT,EA,9,9,0.175028991,
WT,EA,9,10,0.129400605,
WT,EA,9,11,0.106859042,
WT,EA,9,12,0.105415586,
WT,EA,9,13,0.146286367,
WT,EA,9,14,0.098216401,
WT,EA,9,15,0.234296372,
WT,EA,9,16,0.063452338,
WT,EA,9,17,0.130962569,
WT,EA,9,18,0.029555326,
WT,EA,9,19,0.141482813,
WT,EA,9,20,0.104802759,
WT,EA,9,21,0.027789325,
WT,EA,9,22,0.10262242,
WT,EA,9,23,0.077569469,
WT,EA,9,24,0.106648141,
WT,EA,9,25,0.15377033,
WT,EA,9,26,0.137575083,
WT,EA,9,27,0.035406876,
WT,EA,9,28,0.221930395,
WT,EA,9,29,0.075383327,
WT,EA,9,30,0.12025913,
WT,EA,9,31,0.031662384,
WT,EA,9,32,-0.09929565,
WT,EA,9,33,0.077249523,
WT,EA,9,34,0.018607599,
WT,EA,9,35,0.156383411,
WT,EA,9,36,0.019493456,
WT,EA,9,37,0.048428324,
WT,EA,9,38,-0.052244566,
WT,EA,10,1,0.039369748,
WT,EA,10,2,0.057770354,
WT,EA,10,3,0.123673799,
WT,EA,10,4,0.120361984,
WT,EA,10,5,0.134867407,
WT,EA,10,6,0.109180081,
WT,EA,10,7,0.19723941,
WT,EA,10,8,0.063786504,
WT,EA,10,9,0.136726123,
WT,EA,10,10,0.17241468,
WT,EA,10,11,0.132904067,
WT,EA,10,12,0.013927625,
WT,EA,10,13,0.036242875,
WT,EA,10,14,0.102844503,
WT,EA,10,15,0.152146685,
WT,EA,10,16,0.217414296,
WT,EA,10,17,0.002716354,
WT,EA,10,18,0.184596706,
WT,EA,10,19,0.190654742,
WT,EA,10,20,0.092406857,
WT,EA,10,21,0.051168652,
WT,EA,10,22,0.140643162,
WT,EA,10,23,0.192731994,
WT,EA,10,24,0.099337112,
WT,EA,10,25,0.117393568,
WT,EA,10,26,0.230884194,
WT,EA,10,27,0.124345621,
WT,EA,10,28,0.133425086,
WT,EA,10,29,0.176613113,
WT,EA,10,30,0.157596691,
WT,EA,10,31,0.138374293,
WT,EA,10,32,0.13002665,
WT,EA,10,33,0.056013292,
WT,EA,10,34,0.110930398,
AXL KO,UT,1,1,0.120580937,
AXL KO,UT,1,2,0.143165794,
AXL KO,UT,1,3,0.173820499,
AXL KO,UT,1,4,0.169119494,
AXL KO,UT,1,5,0.131176789,
AXL KO,UT,1,6,0.078440838,
AXL KO,UT,1,7,0.115861747,
AXL KO,UT,1,8,0.059524633,
AXL KO,UT,1,9,0.057867656,
AXL KO,UT,1,10,0.153054019,
AXL KO,UT,1,11,0.135091208,
AXL KO,UT,1,12,0.258314106,
AXL KO,UT,1,13,0.090199046,
AXL KO,UT,1,14,0.189772983,
AXL KO,UT,1,15,0.036299049,
AXL KO,UT,1,16,0.132499193,
AXL KO,UT,1,17,0.18267885,
AXL KO,UT,1,18,0.220846627,
AXL KO,UT,1,19,0.000801488,
AXL KO,UT,1,20,0.096804404,
AXL KO,UT,1,21,0.15607729,
AXL KO,UT,1,22,-0.000235001,
AXL KO,UT,1,23,0.055452689,
AXL KO,UT,1,24,0.181655397,
AXL KO,UT,1,25,0.080797728,
AXL KO,UT,1,26,0.140224192,
AXL KO,UT,1,27,0.083950243,
AXL KO,UT,1,28,0.121267873,
AXL KO,UT,1,29,0.112735081,
AXL KO,UT,1,30,0.054702329,
AXL KO,UT,1,31,0.127112443,
AXL KO,UT,1,32,-0.010137226,
AXL KO,UT,1,33,0.134025187,
AXL KO,UT,1,34,0.231620965,
AXL KO,UT,1,35,0.236127239,
AXL KO,UT,1,36,0.142027964,
AXL KO,UT,1,37,0.084334046,
AXL KO,UT,1,38,0.092896748,
AXL KO,UT,1,39,0.14134543,
AXL KO,UT,1,40,0.133458411,
AXL KO,UT,1,41,0.052638338,
AXL KO,UT,1,42,0.094560979,
AXL KO,UT,1,43,0.10599997,
AXL KO,UT,1,44,0.199349065,
AXL KO,UT,1,45,0.115443961,
AXL KO,UT,1,46,0.260175856,
AXL KO,UT,1,47,0.115105566,
AXL KO,UT,1,48,0.045896193,
AXL KO,UT,1,49,0.126485688,
AXL KO,UT,1,50,0.091400853,
AXL KO,UT,1,51,0.101666701,
AXL KO,UT,1,52,0.209342577,
AXL KO,UT,1,53,0.126301695,
AXL KO,UT,1,54,0.238495585,
AXL KO,UT,1,55,0.258934925,
AXL KO,UT,1,56,0.038331841,
AXL KO,UT,1,57,0.1791544,
AXL KO,UT,1,58,0.156635912,
AXL KO,UT,1,59,0.032973722,
AXL KO,UT,1,60,0.087757017,
AXL KO,UT,1,61,0.16201407,
AXL KO,UT,1,62,0.08537077,
AXL KO,UT,1,63,0.063084162,
AXL KO,UT,1,64,0.094857931,
AXL KO,UT,1,65,0.182581314,
AXL KO,UT,1,66,0.130480394,
AXL KO,UT,1,67,0.022809114,
AXL KO,UT,1,68,0.184130513,
AXL KO,UT,1,69,0.150383502,
AXL KO,UT,1,70,0.130840758,
AXL KO,UT,1,71,0.124558575,
AXL KO,UT,1,72,0.077511287,
AXL KO,UT,1,73,0.143622418,
AXL KO,UT,1,74,0.060009159,
AXL KO,UT,1,75,0.121514332,
AXL KO,UT,1,76,0.110144036,
AXL KO,UT,1,77,0.113269379,
AXL KO,UT,1,78,0.103344383,
AXL KO,UT,1,79,0.119794772,
AXL KO,UT,1,80,0.057093459,
AXL KO,UT,2,1,0.004687228,
AXL KO,UT,2,2,0.013063089,
AXL KO,UT,2,3,-0.00857746,
AXL KO,UT,2,4,0.030770013,
AXL KO,UT,2,5,-0.026631392,
AXL KO,UT,2,6,0.046323758,
AXL KO,UT,2,7,0.030924292,
AXL KO,UT,2,8,-0.007638616,
AXL KO,UT,2,9,0.10169094,
AXL KO,UT,2,10,0.026537928,
AXL KO,UT,2,11,0.017427803,
AXL KO,UT,2,12,0.056635582,
AXL KO,UT,2,13,0.056491756,
AXL KO,UT,2,14,0.018493414,
AXL KO,UT,2,15,0.045256534,
AXL KO,UT,2,16,0.019629476,
AXL KO,UT,2,17,0.072316421,
AXL KO,UT,2,18,-0.010492968,
AXL KO,UT,2,19,0.025423382,
AXL KO,UT,2,20,-0.045131863,
AXL KO,UT,2,21,0.090685055,
AXL KO,UT,2,22,-0.015286243,
AXL KO,UT,2,23,-0.0034428,
AXL KO,UT,2,24,0.083109276,
AXL KO,UT,2,25,0.009317495,
AXL KO,UT,2,26,0.033615407,
AXL KO,UT,2,27,0.031097674,
AXL KO,UT,2,28,-0.029171528,
AXL KO,UT,2,29,-0.01477619,
AXL KO,UT,2,30,0.016139677,
AXL KO,UT,2,31,0.010409484,
AXL KO,UT,2,32,0.060177753,
AXL KO,UT,2,33,0.034931534,
AXL KO,UT,2,34,0.006001884,
AXL KO,UT,2,35,0.051802597,
AXL KO,UT,2,36,0.042544986,
AXL KO,UT,2,37,0.004444357,
AXL KO,UT,2,38,-0.004676784,
AXL KO,UT,2,39,0.042300885,
AXL KO,UT,2,40,0.031559171,
AXL KO,UT,2,41,0.023075323,
AXL KO,UT,2,42,0.077899267,
AXL KO,UT,2,43,-0.026048916,
AXL KO,UT,2,44,0.074588192,
AXL KO,UT,2,45,0.061083018,
AXL KO,UT,2,46,0.071217917,
AXL KO,UT,2,47,-0.008780581,
AXL KO,UT,2,48,-0.000301366,
AXL KO,UT,2,49,0.03055831,
AXL KO,UT,2,50,0.01834105,
AXL KO,UT,2,51,0.140731076,
AXL KO,UT,2,52,0.028846739,
AXL KO,UT,2,53,0.007530731,
AXL KO,UT,2,54,0.005845376,
AXL KO,UT,2,55,-0.005772519,
AXL KO,UT,2,56,-0.00886151,
AXL KO,UT,2,57,0.048202519,
AXL KO,UT,2,58,-1.13E-05,
AXL KO,UT,2,59,0.01123945,
AXL KO,UT,2,60,0.066797354,
AXL KO,UT,2,61,0.11996424,
AXL KO,UT,2,62,0.041523776,
AXL KO,UT,2,63,0.062901073,
AXL KO,UT,2,64,0.016215723,
AXL KO,UT,2,65,-0.01614897,
AXL KO,UT,2,66,-0.029214989,
AXL KO,UT,2,67,0.019204866,
AXL KO,UT,2,68,0.064083183,
AXL KO,UT,2,69,0.01050663,
AXL KO,UT,2,70,0.05987267,
AXL KO,UT,2,71,0.060188881,
AXL KO,UT,2,72,0.018237036,
AXL KO,UT,2,73,0.063727047,
AXL KO,UT,2,74,-0.043136827,
AXL KO,UT,2,75,-0.008445826,
AXL KO,UT,2,76,0.02365124,
AXL KO,UT,2,77,0.04322878,
AXL KO,UT,2,78,0.038999255,
AXL KO,UT,2,79,0.101283423,
AXL KO,UT,2,80,-0.035267739,
AXL KO,UT,2,81,0.005679841,
AXL KO,UT,2,82,0.096203822,
AXL KO,UT,2,83,0.118605118,
AXL KO,UT,2,84,0.005176631,
AXL KO,UT,2,85,-0.05786884,
AXL KO,UT,2,86,0.071905074,
AXL KO,UT,2,87,0.064129014,
AXL KO,UT,2,88,0.038836584,
AXL KO,UT,2,89,0.03883777,
AXL KO,UT,2,90,0.070160646,
AXL KO,UT,2,91,0.033569087,
AXL KO,UT,2,92,0.081114792,
AXL KO,UT,2,93,0.011497309,
AXL KO,UT,2,94,0.051743952,
AXL KO,UT,2,95,0.032403802,
AXL KO,UT,2,96,0.015614608,
AXL KO,UT,2,97,0.017235958,
AXL KO,UT,2,98,-0.080409046,
AXL KO,UT,2,99,0.012202033,
AXL KO,UT,2,100,0.05659104,
AXL KO,UT,2,101,0.062548916,
AXL KO,UT,2,102,-0.005698511,
AXL KO,UT,2,103,0.039185504,
AXL KO,UT,2,104,-0.018353217,
AXL KO,UT,2,105,0.112893566,
AXL KO,UT,2,106,0.019768344,
AXL KO,UT,2,107,0.014878398,
AXL KO,UT,2,108,0.062060276,
AXL KO,UT,2,109,-0.010359536,
AXL KO,UT,2,110,0.064796768,
AXL KO,UT,2,111,0.013899227,
AXL KO,UT,2,112,0.033753427,
AXL KO,UT,2,113,0.032413204,
AXL KO,UT,2,114,0.043240992,
AXL KO,UT,2,115,0.000330488,
AXL KO,UT,2,116,0.108537634,
AXL KO,UT,2,117,-0.019122309,
AXL KO,UT,2,118,0.050818301,
AXL KO,UT,2,119,0.038684298,
AXL KO,UT,2,120,0.014812067,
AXL KO,UT,2,121,0.013738267,
AXL KO,UT,2,122,0.035190928,
AXL KO,UT,2,123,0.040291038,
AXL KO,UT,2,124,-0.026668178,
AXL KO,UT,2,125,0.029558382,
AXL KO,UT,2,126,0.072512734,
AXL KO,UT,2,127,0.050572419,
AXL KO,UT,2,128,0.044585165,
AXL KO,UT,2,129,0.06353757,
AXL KO,UT,2,130,-0.001447218,
AXL KO,UT,2,131,0.044467927,
AXL KO,UT,2,132,0.061594638,
AXL KO,UT,2,133,-0.000936429,
AXL KO,UT,2,134,0.042600493,
AXL KO,UT,2,135,0.075678646,
AXL KO,UT,2,136,0.030370665,
AXL KO,UT,2,137,0.023961868,
AXL KO,UT,2,138,0.071724872,
AXL KO,UT,2,139,0.025194318,
AXL KO,UT,2,140,0.110028713,
AXL KO,UT,2,141,0.020750195,
AXL KO,UT,2,142,0.029559704,
AXL KO,UT,2,143,0.021011982,
AXL KO,UT,2,144,0.031622105,
AXL KO,UT,2,145,0.053239136,
AXL KO,UT,2,146,0.094243048,
AXL KO,UT,2,147,0.028941373,
AXL KO,UT,2,148,0.03525493,
AXL KO,UT,2,149,0.021481498,
AXL KO,UT,2,150,0.072447823,
AXL KO,UT,2,151,0.145536816,
AXL KO,UT,2,152,0.036481444,
AXL KO,UT,2,153,0.042522682,
AXL KO,UT,2,154,0.012887522,
AXL KO,UT,2,155,0.038031459,
AXL KO,UT,2,156,0.03467841,
AXL KO,UT,2,157,0.020952432,
AXL KO,UT,2,158,0.032929644,
AXL KO,UT,2,159,0.018750026,
AXL KO,UT,2,160,0.053504397,
AXL KO,UT,2,161,-0.00139788,
AXL KO,UT,2,162,0.018295965,
