Date Time,Elapsed,UT,UT,UT,UT,E,E,E,E,R,R,R,R,C,C,C,C,X,X,X,X,T,T,T,T,D,D,D,D,ER,ER,ER,ER,EC,EC,EC,EC,EX,EX,EX,EX,ET,ET,ET,ET,ED,ED,ED,ED
11/19/22 18:00,100,0.0724134,0.04127887,0.03322681,0.06268504,0.2638679,0.2161641,0.227239,0.2222736,0.08818544,0.07430386,0.02812569,0.06076636,0.01996354,0.02682851,0.02251679,0.01704584,0.01689612,0.01467082,0.01191642,0.02185425,0.2280139,0.1693528,0.2061744,0.2512032,0.01573037,0.06016836,0.05049423,0.05339039,0.4528314,0.3521922,0.4341596,0.4494306,0.1276679,0.1827991,0.1862128,0.2627628,0.1087201,0.124281,0.1477453,0.1361974,0.4999371,0.6283338,0.2635059,0.4930525,0.03405941,0.03877335,0.05837216,0.02124299
11/19/22 22:00,104,0.06624907,0.03782003,0.03154648,0.0627459,0.2597273,0.2201124,0.2332875,0.2222265,0.09499561,0.06539446,0.03227307,0.05963664,0.02278327,0.02512563,0.02062642,0.01578145,0.01370781,0.01664207,0.00993507,0.02217544,0.2300248,0.1624018,0.1915283,0.2570309,0.04744363,0.05258409,0.04404412,0.04435948,0.4893995,0.3597856,0.4343481,0.4676321,0.1336218,0.1613628,0.1707118,0.2591797,0.1110685,0.1306475,0.1445759,0.1401839,0.4963568,0.6079056,0.2861538,0.4886062,0.03388372,0.04938657,0.07848457,0.02209383
11/20/22 2:00,108,0.06419111,0.0352294,0.02735998,0.05491127,0.2513589,0.2297172,0.2552124,0.2134704,0.0893391,0.0627414,0.02806939,0.05854949,0.02130616,0.02296472,0.01904587,0.01452919,0.01301949,0.0163967,0.01327521,0.02073519,0.2391766,0.1505527,0.1883491,0.253785,0.07262697,0.05487875,0.04535491,0.0445684,0.4038875,0.3600037,0.4003189,0.4702098,0.1173127,0.1706048,0.1642998,0.2812361,0.09857451,0.1369371,0.1535861,0.1489064,0.5408467,0.6262553,0.2673425,0.4530962,0.0368268,0.04671496,0.0771922,0.02311749
11/20/22 6:00,112,0.06475264,0.03637291,0.03263862,0.05043172,0.2711678,0.2358934,0.2496854,0.2222354,0.08444595,0.06308975,0.02921915,0.05628511,0.02063808,0.02117804,0.01628281,0.01232467,0.01127449,0.01436704,0.01105121,0.01918549,0.2203958,0.1443897,0.1695886,0.2544503,0.03395849,0.03500899,0.04557876,0.0391978,0.4395933,0.4012758,0.421723,0.5227599,0.1209958,0.1792566,0.1515232,0.2841813,0.1135437,0.1345666,0.153515,0.1599511,0.5204598,0.6096456,0.2651465,0.3923396,0.03044801,0.0416573,0.08264451,0.03283199
11/20/22 10:00,116,0.06052987,0.03590694,0.02825015,0.0438639,0.2737071,0.2208435,0.252451,0.2280453,0.08426232,0.07309046,0.03161094,0.05689077,0.02005085,0.01979824,0.01586257,0.01137181,0.01124651,0.01387642,0.01063123,0.01742715,0.218835,0.1457324,0.1691848,0.2427496,0.03108829,0.03737989,0.05284321,0.04248178,0.5116618,0.3956184,0.4254909,0.5243145,0.1150209,0.1702683,0.1543539,0.307629,0.1129043,0.1373678,0.1460772,0.161774,0.5726525,0.604654,0.2665509,0.3489186,0.0268743,0.03608452,0.08476372,0.02422309
11/20/22 14:00,120,0.0626547,0.0347486,0.03000255,0.0397219,0.2876152,0.2212786,0.2502914,0.2228869,0.08100058,0.07053453,0.03617691,0.05362093,0.01997151,0.01883574,0.0138712,0.009161827,0.01321671,0.01222977,0.008559613,0.01635253,0.2155302,0.1395312,0.1756159,0.2402479,0.02095447,0.03675834,0.04973653,0.05135253,0.4701597,0.3918182,0.4460951,0.5083988,0.1285474,0.161858,0.1798322,0.2958972,0.1169255,0.140601,0.1550036,0.1777034,0.618369,0.6265402,0.2820649,0.3624059,0.0289071,0.04455554,0.08608507,0.02209095
11/20/22 18:00,124,0.05894171,0.03549865,0.02879428,0.04143937,0.2828134,0.234305,0.2615843,0.2234521,0.07096632,0.06319301,0.03889961,0.05523298,0.01772607,0.01759704,0.01396689,0.008164841,0.01193854,0.01083391,0.007427318,0.0170304,0.2363891,0.1392182,0.1794317,0.2344292,0.01844929,0.05069937,0.04770681,0.04716598,0.4956625,0.4064767,0.4632969,0.4855388,0.1329267,0.1868669,0.1619096,0.3217876,0.1144582,0.1426917,0.1522362,0.1781161,0.5708251,0.6405652,0.3073438,0.4042771,0.03615056,0.04334859,0.09169686,0.02605065
11/20/22 22:00,128,0.06457784,0.0340691,0.02690296,0.0423773,0.2789677,0.2329861,0.2630201,0.2394149,0.07376822,0.06575266,0.0430692,0.056945,0.01658705,0.01436406,0.01104846,0.007479462,0.01297419,0.01191385,0.007245874,0.01573856,0.205975,0.1383374,0.1749467,0.2412629,0.0222299,0.06331471,0.04702979,0.03846867,0.5271147,0.4080732,0.4620008,0.5011074,0.1148971,0.192213,0.1783149,0.2907543,0.1207392,0.1504888,0.1570358,0.1950799,0.6474611,0.6631762,0.2746373,0.3875547,0.03214722,0.04053156,0.09007487,0.02729107
11/21/22 2:00,132,0.06187927,0.03545573,0.02633485,0.04559235,0.2842287,0.2431552,0.2683288,0.2526254,0.07660712,0.07128786,0.04157962,0.06405082,0.01424497,0.01306057,0.01076045,0.00616742,0.01239547,0.01404636,0.006591091,0.01546476,0.2024532,0.1443852,0.177066,0.2543072,0.02392987,0.06647093,0.04754468,0.02609624,0.5190017,0.4031963,0.4741195,0.5084451,0.12862,0.1724858,0.1777771,0.3030038,0.1267833,0.1562519,0.1518606,0.2051477,0.639954,0.6704706,0.2909613,0.3726854,0.04791339,0.04242746,0.08509166,0.03078951
11/21/22 6:00,136,0.06390422,0.0419445,0.02988637,0.04446601,0.2804801,0.2504689,0.2645683,0.2522519,0.08293526,0.07042845,0.04748155,0.06795262,0.01125487,0.01239949,0.007734053,0.005333886,0.01203383,0.01408072,0.006271267,0.0141139,0.1998532,0.146889,0.1871296,0.2685804,0.02301091,0.07443,0.04403094,0.02933051,0.5339161,0.409665,0.4458235,0.5124313,0.1168543,0.1952774,0.1857563,0.2967635,0.1407572,0.1636635,0.1638564,0.2151137,0.6079228,0.7002819,0.2819068,0.4107473,0.04426667,0.02887327,0.08969843,0.03936869
