Date Time,Elapsed,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,E,E,E,E,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA
11/30/22 15:02,168,0.000148499,0.01396296,8.26E-05,0.007122974,0.01001568,0.006175878,0.00632837,0.006832242,0.01735663,0.01022106,0.01045358,0.00565463,0.009484514,0.286961,0.2780637,0.3207395,0.2531419,0.1550229,0.2716163,0.3455248,0.1217929,0.2070405,0.3996602,0.09087338,0.1391781,0.474893,0.4608798
11/30/22 19:02,172,4.92E-05,0.01512559,8.65E-05,0.008275881,0.01052544,0.006666197,0.006624455,0.008231365,0.01804149,0.01105138,0.01094319,0.0070007,0.0104802,0.2845162,0.3154359,0.3381708,0.2557231,0.1704649,0.2803924,0.3169165,0.1372583,0.219876,0.4246578,0.09692134,0.1624712,0.4893267,0.4561254
11/30/22 23:02,176,4.10E-05,0.0163068,8.17E-05,0.008329886,0.01212833,0.006973851,0.006790997,0.009440155,0.01843991,0.01309358,0.009989711,0.007294203,0.0108935,0.2495428,0.2742999,0.4061878,0.2417237,0.1839658,0.2924843,0.3230986,0.1528777,0.2358048,0.4159883,0.1170694,0.1837118,0.5210239,0.4774306
12/1/22 3:02,180,3.16E-05,0.01551564,8.06E-05,0.009426892,0.01244728,0.007436079,0.007294196,0.0103375,0.01744502,0.0124671,0.01290252,0.008039201,0.011358,0.3034727,0.2946645,0.4017904,0.2555601,0.1911625,0.3003275,0.3120887,0.1706987,0.2428437,0.3807588,0.1283743,0.1991439,0.5212253,0.5062504
12/1/22 7:02,184,4.15E-05,0.01008657,7.73E-05,0.009742605,0.01362445,0.00763331,0.007720702,0.009741966,0.02081358,0.01249833,0.01197827,0.008817487,0.01255285,0.295886,0.2746431,0.3440826,0.2567581,0.2016235,0.310613,0.3086414,0.1872941,0.2502723,0.393335,0.1364182,0.2148563,0.5320675,0.5333501
12/1/22 11:02,188,0.000127814,0.003274266,7.60E-05,0.009850964,0.01317238,0.007968714,0.007847755,0.01102712,0.0205095,0.01194603,0.01443944,0.010739,0.01267661,0.2792764,0.3093777,0.377425,0.2366994,0.2079988,0.3146071,0.313778,0.2090241,0.2601571,0.3933652,0.1518531,0.2279654,0.5278517,0.5186501
12/1/22 15:02,192,0.000129482,0.0019942,7.24E-05,0.01074008,0.01318766,0.009126911,0.008870642,0.01209472,0.02348626,0.01380519,0.01310386,0.009929428,0.01129405,0.3116857,0.3172764,0.3672923,0.2746588,0.217938,0.3233644,0.3035704,0.2271383,0.2701621,0.3970636,0.1699806,0.2437544,0.5998861,0.5181048
12/1/22 19:02,196,0.00011327,0.001666237,7.28E-05,0.01067544,0.01372634,0.008478932,0.009255313,0.01129294,0.02623424,0.01572352,0.01403022,0.01116713,0.01079465,0.2830422,0.3291558,0.3626596,0.2891921,0.2277927,0.3225591,0.3146655,0.2422281,0.2798162,0.4152544,0.1927935,0.2539045,0.5456324,0.5699811
12/1/22 23:02,200,0.000114891,0.001555059,6.55E-05,0.009816768,0.01444584,0.007449924,0.01021866,0.01216585,0.02653189,0.01430973,0.01795286,0.01155613,0.01388163,0.2679633,0.3502149,0.3669741,0.2675686,0.2338227,0.3295435,0.3095811,0.258357,0.2872846,0.3977425,0.2065123,0.2652762,0.5942242,0.555644
12/2/22 3:02,204,0.000113365,0.001467159,6.58E-05,0.01153484,0.01481733,0.006750202,0.011508,0.01339542,0.02465658,0.01754957,0.01634371,0.01320037,0.01171784,0.2721674,0.3299269,0.3511938,0.291907,0.2415986,0.3335784,0.3081678,0.2729464,0.293763,0.4054666,0.221051,0.2775111,0.5637841,0.5294548
